political_subdivison,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early-votes,election_votes,Absentee Voting Votes,Early Voting Votes
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,JOHN PORRO,,21,21,0,21
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,"ADITYA ""A.D."" ATHOLI",,0,6,0,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,JOE MCDANIEL,,27,39,1,26
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,NATHANIEL MORAN,,114,123,3,111
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,KANDY KAYE HORN,,0,5,0,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,CHAD PRATHER,,6,12,0,6
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,DON HUFFINES,,12,11,0,12
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,ALLEN B. WEST,,18,27,0,18
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,PAUL BELEW,,0,1,0,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,DANNY HARRISON,,0,0,0,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,RICK PERRY,,2,1,0,2
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,GOVERNOR,GREG ABBOTT,,141,148,4,137
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,TRAYCE BRADFORD,,4,17,0,4
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,DANIEL MILLER,,11,19,0,11
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,ZACH VANCE,,3,7,0,3
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST REPUBLICAN PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,DAN PATRICK,,143,143,4,139
