political_subdivision,election_date,election_name,total provisional ballots,total provisioinal ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,"United States Representative, District 13",Kathleen Brown,,28,15
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Governor,Inocencio (Inno) Barrientez,,0,0
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Governor,Joy Diaz,,1,1
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Governor,Beto O'Rourke,,28,15
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Governor,Rich Wakeland,,0,0
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Governor,Michael Cooper,,0,0
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Lieutenant Governor,Carla Brailey,,4,3
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Lieutenant Governor,Michelle Beckley,,11,4
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Lieutenant Governor,Mike Collier,,13,8
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Attorney General,Joe Jaworski,,10,2
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Attorney General,Lee Merritt,,3,1
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Attorney General,Rochelle Mercedes Garza,,7,7
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Attorney General,"S. ""TBone"" Raynor",,1,2
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Attorney General,Mike Fields,,5,3
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Comptroller of Public Accounts,Janet T. Dudding,,12,6
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Comptroller of Public Accounts,Tim Mahoney,,8,4
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Comptroller of Public Accounts,Angel Luis Vega,,6,5
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Commissioner of the General Land Office,Jinny Suh,,8,5
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Commissioner of the General Land Office,Michael Lange,,5,5
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Commissioner of the General Land Office,Sandragrace Martinez,,3,4
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Commissioner of the General Land Office,Jay Kleberg,,8,1
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Commissioner of Agriculture,Susan Hays,,22,10
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Commissioner of Agriculture,Ed Ireson,,6,5
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,Railroad Commissioner,Luke Warford,,25,16
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,"Justice, Supreme Court, Place 3",Erin A. Nowell,,27,16
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,"Justice, Supreme Court, Place 5",Amanda Reichek,,25,16
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,"Justice, Supreme Court, Place 9",Julia Maldonado,,25,14
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,,25,15
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,,23,14
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,121,2083,County Chairman,David Martinez,,25,14
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,122,2862,"United States Representative, District 13",Kathleen Brown,,27,28
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,122,2862,Governor,Inocencio (Inno) Barrientez,,0,0
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,122,2862,Governor,Joy Diaz,,1,2
Potter County,3/1/2022,2022 March 1st Democratic Primary,0,0,122,2862,Governor,Beto O'Rourke,,26,28
