,,,,,#FormatVersion 1,,,,,,
political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Reagan County,3/1/2022,Democratic Party,0,0,1,0,"United States Representative, District No. 23",Priscilla Golden,,0,3
Reagan County,3/1/2022,Democratic Party,0,0,1,0,"United States Representative, District No. 23",John Lira,,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Governor,Joy Diaz,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Governor,Beto O'Rourke,,0,4
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Governor,Inocencio (Inno) Barrientez,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Governor,Rich Wakeland,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Governor,Michael Cooper,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Lieutenant Governor,Mike Collier,,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Lieutenant Governor,Carla Brailey,,0,2
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Lieutenant Governor,Michelle Beckley,,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Attorney General,Joe Jaworski,,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Attorney General,Lee Merritt,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Attorney General,"S. ""TBone"" Raynor",,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Attorney General,Mike Fields,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Attorney General,Rochelle Mercedes Garza,,0,2
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Comptroller of Public Accounts,Tim Mahoney,,0,2
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Comptroller of Public Accounts,Janet T. Dudding,,0,2
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Comptroller of Public Accounts,Angel Luis Vega,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Commissioner of the General Land Office,Jinny Suh,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Commissioner of the General Land Office,Jay Kleberg,,0,0
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Commissioner of the General Land Office,Michael Lange,,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,3
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Commissioner of Agriculture,Ed Ireson,,0,1
Reagan County,3/1/2022,Democratic Party,0,0,1,0,Commissioner of Agriculture,Susan Hays,,0,3
