political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party code,candidate_name,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,DEM,Michael Lange,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,DEM,Sandragrace Martinez,1,4,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,DEM,Jinny Suh,5,1,1,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of Agriculture,DEM,Ed Ireson,3,3,2,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of Agriculture,DEM,Susan Hays,8,4,2,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Railroad Commissioner,DEM,Luke Warford,11,5,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,11,6,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,11,6,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,11,6,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,11,6,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,11,6,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,11,6,4,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,10,5,4,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,"State Senator, District No. 24",DEM,Jeremy Kohlwes,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,County Chairman,DEM,Gene Whittle,10,7,4,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Governor,DEM,Rich Wakeland,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Governor,DEM,Beto O'Rourke,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,DEM,Carla Brailey,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,DEM,Mike Collier,1,3,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,DEM,Michelle Beckley,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,DEM,Mike Fields,1,1,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,DEM,Lee Merritt,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,DEM,"S. ""TBone"" Raynor",0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,DEM,Rochelle Mercedes Garza,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,DEM,Joe Jaworski,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Comptroller of Public Accounts,DEM,Tim Mahoney,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Comptroller of Public Accounts,DEM,Janet T. Dudding,1,4,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,DEM,Jay Kleberg,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,DEM,Michael Lange,1,2,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,DEM,Jinny Suh,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of Agriculture,DEM,Ed Ireson,1,2,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of Agriculture,DEM,Susan Hays,0,4,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,Railroad Commissioner,DEM,Luke Warford,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,0,4,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,"State Senator, District No. 24",DEM,Jeremy Kohlwes,1,2,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,103,364,County Chairman,DEM,Gene Whittle,1,6,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Governor,DEM,Rich Wakeland,1,3,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Governor,DEM,Inocencio (Inno) Barrientez,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Governor,DEM,Joy Diaz,6,4,1,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Governor,DEM,Michael Cooper,1,3,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Governor,DEM,Beto O'Rourke,105,76,16,89
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Lieutenant Governor,DEM,Carla Brailey,31,26,5,26
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Lieutenant Governor,DEM,Mike Collier,38,16,8,30
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Lieutenant Governor,DEM,Michelle Beckley,43,40,5,38
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Attorney General,DEM,Mike Fields,16,10,2,14
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Attorney General,DEM,Lee Merritt,23,25,7,16
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Attorney General,DEM,"S. ""TBone"" Raynor",14,3,0,14
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Attorney General,DEM,Rochelle Mercedes Garza,36,33,6,30
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Attorney General,DEM,Joe Jaworski,23,9,3,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Comptroller of Public Accounts,DEM,Tim Mahoney,28,23,5,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Comptroller of Public Accounts,DEM,Angel Luis Vega,51,25,5,46
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Comptroller of Public Accounts,DEM,Janet T. Dudding,31,32,8,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Commissioner of the General Land Office,DEM,Jay Kleberg,20,7,6,14
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Commissioner of the General Land Office,DEM,Michael Lange,32,20,6,26
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Commissioner of the General Land Office,DEM,Sandragrace Martinez,34,25,3,31
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Commissioner of the General Land Office,DEM,Jinny Suh,23,24,3,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Commissioner of Agriculture,DEM,Ed Ireson,28,19,7,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Commissioner of Agriculture,DEM,Susan Hays,83,60,11,72
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,Railroad Commissioner,DEM,Luke Warford,102,79,18,84
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,100,77,16,84
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,103,79,16,87
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,103,80,16,87
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,103,81,15,88
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,99,80,16,83
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,103,80,17,86
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,83,57,14,69
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,"State Senator, District No. 24",DEM,Jeremy Kohlwes,26,24,2,24
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,104,5215,County Chairman,DEM,Gene Whittle,101,80,16,85
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Governor,DEM,Rich Wakeland,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Governor,DEM,Beto O'Rourke,37,13,12,25
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Lieutenant Governor,DEM,Carla Brailey,5,7,2,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Lieutenant Governor,DEM,Mike Collier,23,4,8,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Lieutenant Governor,DEM,Michelle Beckley,8,3,1,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Attorney General,DEM,Mike Fields,9,1,2,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Attorney General,DEM,Lee Merritt,6,2,2,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Attorney General,DEM,"S. ""TBone"" Raynor",0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Attorney General,DEM,Rochelle Mercedes Garza,9,5,2,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Attorney General,DEM,Joe Jaworski,14,3,6,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Comptroller of Public Accounts,DEM,Tim Mahoney,14,5,4,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Comptroller of Public Accounts,DEM,Angel Luis Vega,8,1,0,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Comptroller of Public Accounts,DEM,Janet T. Dudding,15,6,8,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Commissioner of the General Land Office,DEM,Jay Kleberg,9,5,4,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Commissioner of the General Land Office,DEM,Michael Lange,12,1,3,9
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Commissioner of the General Land Office,DEM,Sandragrace Martinez,9,3,3,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Commissioner of the General Land Office,DEM,Jinny Suh,7,3,2,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Commissioner of Agriculture,DEM,Ed Ireson,11,4,5,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Commissioner of Agriculture,DEM,Susan Hays,27,8,7,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,Railroad Commissioner,DEM,Luke Warford,37,12,12,25
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,37,12,12,25
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,36,12,12,24
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,36,13,12,24
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,35,12,12,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,36,11,12,24
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,35,11,12,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,23,8,7,16
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,"State Senator, District No. 24",DEM,Jeremy Kohlwes,14,4,5,9
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,205,2401,County Chairman,DEM,Gene Whittle,36,11,12,24
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Governor,DEM,Rich Wakeland,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Governor,DEM,Inocencio (Inno) Barrientez,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Governor,DEM,Michael Cooper,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Governor,DEM,Beto O'Rourke,48,19,4,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Lieutenant Governor,DEM,Carla Brailey,18,8,1,17
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Lieutenant Governor,DEM,Mike Collier,10,3,1,9
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Lieutenant Governor,DEM,Michelle Beckley,21,6,2,19
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Attorney General,DEM,Mike Fields,9,1,1,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Attorney General,DEM,Lee Merritt,8,12,0,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Attorney General,DEM,"S. ""TBone"" Raynor",3,0,1,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Attorney General,DEM,Rochelle Mercedes Garza,24,5,1,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Attorney General,DEM,Joe Jaworski,6,1,1,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Comptroller of Public Accounts,DEM,Tim Mahoney,11,8,1,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Comptroller of Public Accounts,DEM,Angel Luis Vega,14,4,0,14
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Comptroller of Public Accounts,DEM,Janet T. Dudding,24,6,3,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Commissioner of the General Land Office,DEM,Jay Kleberg,9,1,3,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Commissioner of the General Land Office,DEM,Michael Lange,8,6,0,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Commissioner of the General Land Office,DEM,Sandragrace Martinez,23,9,1,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Commissioner of the General Land Office,DEM,Jinny Suh,10,2,0,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Commissioner of Agriculture,DEM,Ed Ireson,8,3,1,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Commissioner of Agriculture,DEM,Susan Hays,40,15,3,37
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,Railroad Commissioner,DEM,Luke Warford,47,17,4,43
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,45,16,4,41
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,46,18,4,42
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,47,18,4,43
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,45,18,4,41
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,46,18,4,42
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,47,19,4,43
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,34,14,2,32
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,"State Senator, District No. 24",DEM,Jeremy Kohlwes,14,3,2,12
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,206,3683,County Chairman,DEM,Gene Whittle,44,17,4,40
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Governor,DEM,Rich Wakeland,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Governor,DEM,Inocencio (Inno) Barrientez,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Governor,DEM,Joy Diaz,8,4,2,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Governor,DEM,Michael Cooper,2,2,0,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Governor,DEM,Beto O'Rourke,120,87,20,100
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Lieutenant Governor,DEM,Carla Brailey,33,29,6,27
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Lieutenant Governor,DEM,Mike Collier,33,26,7,26
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Lieutenant Governor,DEM,Michelle Beckley,60,37,9,51
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Attorney General,DEM,Mike Fields,21,21,6,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Attorney General,DEM,Lee Merritt,36,25,6,30
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Attorney General,DEM,"S. ""TBone"" Raynor",7,9,0,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Attorney General,DEM,Rochelle Mercedes Garza,38,31,6,32
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Attorney General,DEM,Joe Jaworski,24,3,4,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Comptroller of Public Accounts,DEM,Tim Mahoney,30,22,5,25
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Comptroller of Public Accounts,DEM,Angel Luis Vega,35,33,7,28
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Comptroller of Public Accounts,DEM,Janet T. Dudding,57,31,10,47
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Commissioner of the General Land Office,DEM,Jay Kleberg,18,14,4,14
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Commissioner of the General Land Office,DEM,Michael Lange,46,22,8,38
