political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party code,candidate_name,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Governor,DEM,Rich Wakeland,2,2,0,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Governor,DEM,Inocencio (Inno) Barrientez,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Governor,DEM,Joy Diaz,6,3,0,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Governor,DEM,Michael Cooper,1,6,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Governor,DEM,Beto O'Rourke,114,91,13,101
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,DEM,Carla Brailey,50,30,5,45
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,DEM,Mike Collier,27,30,2,25
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,DEM,Michelle Beckley,42,42,4,38
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,DEM,Mike Fields,16,14,2,14
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,DEM,Lee Merritt,31,32,4,27
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,DEM,"S. ""TBone"" Raynor",3,9,0,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,DEM,Rochelle Mercedes Garza,62,39,3,59
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,DEM,Joe Jaworski,6,7,2,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Comptroller of Public Accounts,DEM,Tim Mahoney,22,13,5,17
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Comptroller of Public Accounts,DEM,Angel Luis Vega,38,47,1,37
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Comptroller of Public Accounts,DEM,Janet T. Dudding,56,39,5,51
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,DEM,Jay Kleberg,17,12,2,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,DEM,Michael Lange,26,19,6,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,DEM,Sandragrace Martinez,39,42,2,37
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,DEM,Jinny Suh,35,28,1,34
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of Agriculture,DEM,Ed Ireson,24,12,3,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of Agriculture,DEM,Susan Hays,92,90,8,84
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,Railroad Commissioner,DEM,Luke Warford,109,96,10,99
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,109,96,10,99
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,109,95,10,99
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,109,98,10,99
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,111,98,11,100
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,109,97,11,98
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,109,97,11,98
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,93,81,8,85
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,"State Senator, District No. 24",DEM,Jeremy Kohlwes,21,17,2,19
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,101,5882,County Chairman,DEM,Gene Whittle,106,95,10,96
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Governor,DEM,Rich Wakeland,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Governor,DEM,Beto O'Rourke,13,7,6,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,DEM,Carla Brailey,2,3,0,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,DEM,Mike Collier,7,1,5,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,DEM,Michelle Beckley,3,3,0,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,DEM,Mike Fields,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,DEM,Lee Merritt,2,0,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,DEM,"S. ""TBone"" Raynor",0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,DEM,Rochelle Mercedes Garza,5,4,2,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,DEM,Joe Jaworski,3,3,1,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Comptroller of Public Accounts,DEM,Tim Mahoney,4,1,2,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Comptroller of Public Accounts,DEM,Angel Luis Vega,1,2,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Comptroller of Public Accounts,DEM,Janet T. Dudding,6,4,1,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,DEM,Jay Kleberg,5,2,3,2
