political_subdivison,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early-votes,election_votes,Absentee Voting Votes,Early Voting Votes
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,STEPHEN KOCEN,,7,1,3,4
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,GAVIN DASS,,4,1,0,4
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,JRMAR (JJ) JEFFERSON,,7,9,3,4
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,U. S. REPRESENTATIVE DISTRICT 1,VICTOR D. DUNN,,11,5,6,5
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,GOVERNOR,RICH WAKELAND,,1,0,0,1
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,GOVERNOR,BETO O'ROURKE,,24,15,11,13
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,GOVERNOR,INOCENCIO (INNO) BARRIENTEZ,,0,0,0,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,GOVERNOR,JOY DIAZ,,0,0,0,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,GOVERNOR,MICHAEL COOPER,,2,1,0,2
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,CARLA BRAILEY,,10,5,4,6
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,MIKE COLLIER,,10,4,5,5
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,LIEUTENANT GOVERNOR,MICHELLE BECKLEY,,9,7,3,6
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,ATTORNEY GENERAL,"S. ""TBONE"" RAYNOR",,5,0,3,2
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,ATTORNEY GENERAL,ROCHELLE MERCEDES GARZA,,10,5,3,7
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,ATTORNEY GENERAL,MIKE FIELDS,,7,4,4,3
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,ATTORNEY GENERAL,JOE JAWORSKI,,3,0,1,2
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,ATTORNEY GENERAL,LEE MERRITT,,4,6,1,3
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMPTROLLER OF PUBLIC ACCOUNTS,ANGEL LUIS VEGA,,8,10,5,3
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMPTROLLER OF PUBLIC ACCOUNTS,TIM MAHONEY,,12,1,5,7
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMPTROLLER OF PUBLIC ACCOUNTS,JANET T. DUDDING,,8,4,2,6
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMMISSIONER OF THE GENERAL LAND OFFICE,JINNY SUH,,3,5,2,1
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMMISSIONER OF THE GENERAL LAND OFFICE,JAY KLEBERG,,4,3,2,2
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMMISSIONER OF THE GENERAL LAND OFFICE,SANDRAGRACE MARTINEZ,,9,6,3,6
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMMISSIONER OF THE GENERAL LAND OFFICE,MICHAEL LANGE,,13,1,5,8
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMMISSIONER OF AGRICULTURE,SUSAN HAYS,,23,12,11,12
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COMMISSIONER OF AGRICULTURE,ED IRESON,,5,3,1,4
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,RAILROAD COMMISSIONER,LUKE WARFORD,,26,15,12,14
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,"JUSTICE, SUPREME COURT, PLACE 3",ERIN A NOWELL,,27,15,12,15
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,"JUSTICE, SUPREME COURT, PLACE 5",AMANDA REICHEK,,27,15,12,15
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,"JUSTICE, SUPREME COURT, PLACE 9",JULIA MALDONADO,,26,15,12,14
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",DANA HUFFMAN,,27,14,12,15
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",ROBERT JOHNSON,,25,14,12,13
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,1,1752,COUNTY CHAIRMAN,WINIFRED JACKSON,,26,15,12,14
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,U. S. REPRESENTATIVE DISTRICT 1,STEPHEN KOCEN,,4,0,1,3
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,U. S. REPRESENTATIVE DISTRICT 1,GAVIN DASS,,2,5,2,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,U. S. REPRESENTATIVE DISTRICT 1,JRMAR (JJ) JEFFERSON,,2,3,0,2
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,U. S. REPRESENTATIVE DISTRICT 1,VICTOR D. DUNN,,5,5,2,3
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,GOVERNOR,RICH WAKELAND,,2,1,2,0
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,GOVERNOR,BETO O'ROURKE,,10,12,3,7
UPSHUR COUNTY,3/1/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,0,,2,2874,GOVERNOR,INOCENCIO (INNO) BARRIENTEZ,,0,0,0,0
