COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,"REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28",REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 6","REP Judge, Ct of Crim App, Pl 6","REP Judge, Ct of Crim App, Pl 6","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 24","REP State Senator, Dist 24","REP State Senator, Dist 24","REP State Senator, Dist 24","REP State Senator, Dist 24","REP Justice, 4th Ct of App Dist, Pl 6","REP Justice, 4th Ct of App Dist, Pl 6","REP Justice, 4th Ct of App Dist, Pl 6","REP Justice, 4th Ct of App Dist, Pl 7","REP Justice, 4th Ct of App Dist, Pl 7","REP Justice, 4th Ct of App Dist, Pl 7","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 218th Judicial Dist","REP Dist Judge, 218th Judicial Dist","REP Dist Judge, 218th Judicial Dist",REP County Judge,REP County Judge,REP County Judge,REP County Judge,REP County Judge,"REP Judge, County Court at Law","REP Judge, County Court at Law","REP Judge, County Court at Law",REP District Clerk,REP District Clerk,REP District Clerk,REP County Clerk,REP County Clerk,REP County Clerk,REP County Clerk,REP County Treasurer,REP County Treasurer,REP County Treasurer,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP JOP Pct 1,REP JOP Pct 1,REP JOP Pct 1,REP JOP Pct 2,REP JOP Pct 2,REP JOP Pct 2,REP JOP Pct 2,REP JOP Pct 3,REP JOP Pct 3,REP JOP Pct 3,REP JOP Pct 3,REP JOP Pct 4,REP JOP Pct 4,REP JOP Pct 4,REP JOP Pct 4,REP JOP Pct 4,REP County Chair,REP County Chair,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,REP Proposition 10,REP Proposition 10,"DEM US Representative, District 28","DEM US Representative, District 28","DEM US Representative, District 28","DEM US Representative, District 28","DEM US Representative, District 28",DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 9","DEM Justice, Supreme Court, Pl 9","DEM Justice, Supreme Court, Pl 9","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 6","DEM Judge, Ct of Crim App, Pl 6","DEM Judge, Ct of Crim App, Pl 6","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 24","DEM State Senator, Dist 24","DEM State Senator, Dist 24","DEM State Senator, Dist 24","DEM State Representative, Dist 80","DEM State Representative, Dist 80","DEM State Representative, Dist 80","DEM Justice, 4th Ct of App Dist, Pl 6","DEM Justice, 4th Ct of App Dist, Pl 6","DEM Justice, 4th Ct of App Dist, Pl 6","DEM Justice, 4th Ct of App Dist, Pl 7","DEM Justice, 4th Ct of App Dist, Pl 7","DEM Justice, 4th Ct of App Dist, Pl 7",DEM County Judge,DEM County Judge,DEM County Judge,DEM County Commissioner Pct 2,DEM County Commissioner Pct 2,DEM County Commissioner Pct 2,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 3,DEM JOP Pct 3,DEM JOP Pct 3,DEM County Chair,DEM County Chair,DEM County Chair,
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Sandra Whitten,Eric Hohman,Cassy Garcia,Ed Cabrera,Steven Fowler,Willie Vasquez Ng,Rolando Rodriguez,OVER VOTES,UNDER VOTES,Greg Abbott,Paul Belew,Danny Harrison,Allen B. West,Kandy Kaye Horn,Don Huffines,Chad Prather,Rick Perry,OVER VOTES,UNDER VOTES,Zach Vance,Aaron Sorrells,Todd M. Bullis,Daniel Miller,Dan Patrick,Trayce Bradford,OVER VOTES,UNDER VOTES,Louie Gohmert,Ken Paxton,Eva Guzman,George P. Bush,OVER VOTES,UNDER VOTES,Glenn Hegar,Mark V. Goloby,OVER VOTES,UNDER VOTES,Dawn Buckingham,Victor Avila,Don W. Minton,Weston Martinez,Ben Armenta,Tim Westley,Rufus Lopez,Jon Spiers,OVER VOTES,UNDER VOTES,James White,Sid Miller,Carey A. Counsil,OVER VOTES,UNDER VOTES,"Marvin ""Sarge"" Summers",Sarah Stogner,Dawayne Tipton,Wayne Christian,Tom Slocum Jr,OVER VOTES,UNDER VOTES,Debra Lehrmann,OVER VOTES,UNDER VOTES,Rebeca Huddle,OVER VOTES,UNDER VOTES,David J. Schenck,Evan Young,OVER VOTES,UNDER VOTES,Mary Lou Keel,OVER VOTES,UNDER VOTES,Scott Walker,Clint Morgan,OVER VOTES,UNDER VOTES,"Jesse F. McClure, III",OVER VOTES,UNDER VOTES,Lani Popp,"Michael ""Travis"" Stevens",OVER VOTES,UNDER VOTES,Robert Garza,OVER VOTES,UNDER VOTES,Raul Reyes,Pete Flores,Lamar Lewis,OVER VOTES,UNDER VOTES,Todd McCray,OVER VOTES,UNDER VOTES,Lori I. Valenzuela,OVER VOTES,UNDER VOTES,Trent Rowell,Sylvia Rodriguez,Jennifer Ebrom Dillingham,OVER VOTES,UNDER VOTES,Russell Wilson,OVER VOTES,UNDER VOTES,Grant M. Luckman,Weldon P. Cude,Camila Chapa Mares,OVER VOTES,UNDER VOTES,Bob Brendel,OVER VOTES,UNDER VOTES,Margaret E. Littleton,OVER VOTES,UNDER VOTES,Jeremy Fernandez,Theresa Carrasco,OVER VOTES,UNDER VOTES,Laura Pawelek,OVER VOTES,UNDER VOTES,Mark Bowen,Stuart Knowlton,OVER VOTES,UNDER VOTES,"Kennard ""Bubba"" Riley",Ernest Miller,OVER VOTES,UNDER VOTES,"Felix Herrera, III",OVER VOTES,UNDER VOTES,Marian Knowlton,Wayne S. Vaughn,OVER VOTES,UNDER VOTES,Willie Leal Jr,Brenda Ana Arreola,OVER VOTES,UNDER VOTES,R.G. Poth,Rusty Prasifka,Robert M. Evans,OVER VOTES,UNDER VOTES,Robert (Bobby) Duncan,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,Jessica Cisneros,Tannya Judith Benavides,Henry Cuellar,OVER VOTES,UNDER VOTES,Joy Diaz,Rich Wakeland,Beto O'Rourke,Inocencio (Inno) Barrientez,Michael Cooper,OVER VOTES,UNDER VOTES,Mike Collier,Carla Brailey,Michelle Beckley,OVER VOTES,UNDER VOTES,Joe Jaworski,"S. ""TBONE"" Raynor",Rochelle Mercedes Garza,Mike Fields,Lee Merritt,OVER VOTES,UNDER VOTES,Angel Luis Vega,Tim Mahoney,Janet T. Dudding,OVER VOTES,UNDER VOTES,Sandragrace Martinez,Jay Kleberg,Jinny Suh,Michael Lange,OVER VOTES,UNDER VOTES,Susan Hays,Ed Ireson,OVER VOTES,UNDER VOTES,Luke Warford,OVER VOTES,UNDER VOTES,Erin A Nowell,OVER VOTES,UNDER VOTES,Amanda Reichek,OVER VOTES,UNDER VOTES,Julia Maldonado,OVER VOTES,UNDER VOTES,Dana Huffman,OVER VOTES,UNDER VOTES,Robert Johnson,OVER VOTES,UNDER VOTES,Melissa N Ortega,Omar Yanar,Laura Marquez,OVER VOTES,UNDER VOTES,Roland Gutierrez,OVER VOTES,UNDER VOTES,Kathy Jones-Hospod,Jeremy Kohlwes,OVER VOTES,UNDER VOTES,Tracy O King,OVER VOTES,UNDER VOTES,Irene Rios,OVER VOTES,UNDER VOTES,"Rebecca ""Beckie"" Palomo",OVER VOTES,UNDER VOTES,Dustin Delgado,OVER VOTES,UNDER VOTES,Vickie Eckert,OVER VOTES,UNDER VOTES,Charles Urbina Jones,OVER VOTES,UNDER VOTES,Orlando Carrasco,OVER VOTES,UNDER VOTES,Julie Hilberg,OVER VOTES,UNDER VOTES,
ATASC,0001,Precinct 1,0,0,0,0,4,3,1,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,3,0,0,3,0,0,2,1,0,0,3,0,0,2,1,0,0,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ATASC,0001,Precinct 1,0,0,0,0,141,130,11,0,1,49,14,20,15,18,6,0,0,8,91,1,0,17,1,8,6,4,0,2,5,4,2,7,102,3,0,7,26,56,19,26,0,3,98,16,0,16,61,4,13,4,3,11,2,12,0,20,32,74,13,0,11,30,24,12,33,17,0,14,100,0,30,102,0,28,53,53,0,24,97,0,33,71,35,0,24,100,0,30,48,61,0,21,98,0,32,0,0,0,0,0,101,0,29,97,0,33,35,31,52,0,12,101,0,29,24,59,44,0,3,106,0,24,100,0,30,29,81,0,20,104,0,26,0,0,0,0,64,61,0,5,0,0,0,0,0,0,0,0,0,0,0,33,49,38,0,10,99,0,31,123,3,0,4,114,14,0,2,112,16,0,2,119,9,0,2,113,16,0,1,114,14,0,2,125,3,0,2,119,9,0,2,121,8,0,1,121,8,0,1,6,0,4,0,1,0,0,8,0,1,0,2,3,4,1,0,3,0,2,3,2,2,0,2,3,1,5,0,2,5,0,2,2,0,2,8,1,0,2,7,0,4,7,0,4,7,0,4,6,0,5,6,0,5,6,0,5,5,2,2,0,2,6,0,5,0,0,0,0,6,0,5,6,0,5,6,0,5,8,0,3,0,0,0,0,0,0,0,0,0,9,0,2,
ATASC,0001,Precinct 1,0,0,0,0,108,93,15,0,0,30,9,18,9,11,3,4,0,9,54,0,1,12,1,9,9,6,0,1,4,1,2,6,66,7,0,7,6,46,11,24,0,6,68,12,0,13,23,5,10,7,2,17,2,9,0,18,27,48,6,0,12,19,15,7,24,11,0,17,68,0,25,69,0,24,41,30,0,22,64,0,29,47,24,0,22,66,0,27,32,39,0,22,68,0,25,0,0,0,0,0,67,0,26,66,0,27,38,18,25,0,12,71,0,22,16,37,38,0,2,73,0,20,73,0,20,24,51,0,18,76,0,17,0,0,0,0,51,34,0,8,0,0,0,0,0,0,0,0,0,0,0,30,25,30,0,8,69,0,24,83,8,0,2,72,17,0,4,81,11,0,1,79,10,0,4,73,14,0,6,72,15,0,6,86,4,0,3,80,8,0,5,80,11,0,2,83,9,0,1,7,1,7,0,0,0,0,15,0,0,0,0,5,5,4,0,1,1,1,12,0,1,0,0,10,1,3,0,1,9,2,2,2,0,0,11,2,0,2,12,0,3,12,0,3,13,0,2,13,0,2,13,0,2,12,0,3,10,1,3,0,1,13,0,2,0,0,0,0,13,0,2,13,0,2,13,0,2,13,0,2,0,0,0,0,0,0,0,0,0,12,0,3,
ATASC,0001,Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATASC,0002,Precinct 3,0,0,0,0,15,6,9,0,0,0,0,2,2,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,3,0,2,0,0,5,0,0,1,2,0,0,0,0,0,0,3,0,1,2,1,2,0,1,0,0,0,2,2,0,2,5,0,1,5,0,1,2,2,0,2,4,0,2,2,2,0,2,5,0,1,2,2,0,2,0,0,0,0,6,0,0,0,5,0,1,5,0,1,3,0,2,0,1,5,0,1,0,5,1,0,0,5,0,1,5,0,1,0,6,0,0,5,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,1,6,0,0,0,3,3,0,0,6,0,0,0,5,0,0,1,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,1,0,0,6,0,0,0,3,0,6,0,0,0,0,8,0,0,0,1,4,3,1,0,1,3,0,4,0,0,0,2,4,1,2,0,2,4,0,1,2,0,2,5,2,0,2,6,0,3,7,0,2,6,0,3,7,0,2,6,0,3,6,0,3,4,2,1,0,2,0,0,0,5,1,0,3,7,0,2,7,0,2,7,0,2,6,0,3,0,0,0,0,0,0,0,0,0,6,0,3,
ATASC,0002,Precinct 3,0,0,0,0,159,129,30,0,0,40,8,27,16,12,10,4,0,12,87,2,0,17,3,6,5,5,0,4,5,6,7,12,83,9,0,7,24,52,16,31,0,6,89,21,0,19,48,8,14,8,2,9,5,15,0,20,31,72,13,0,13,28,21,13,29,14,0,24,102,0,27,102,0,27,47,50,0,32,90,0,39,65,33,0,31,96,0,33,41,61,0,27,0,0,0,19,84,20,0,6,96,0,33,92,0,37,52,31,37,0,9,100,0,29,28,49,48,0,4,104,0,25,101,0,28,23,90,0,16,103,0,26,0,0,0,0,69,54,0,6,0,0,0,0,0,0,0,0,0,0,0,25,50,47,0,7,97,0,32,117,8,0,4,99,26,0,4,112,16,0,1,108,17,0,4,102,22,0,5,98,25,0,6,123,4,0,2,113,12,0,4,109,18,0,2,115,10,0,4,19,0,11,0,0,1,0,28,0,1,0,0,7,9,12,0,2,5,2,16,6,0,0,1,15,7,6,0,2,15,6,1,7,0,1,26,2,0,2,28,0,2,27,0,3,29,0,1,28,0,2,27,0,3,28,0,2,17,5,7,0,1,0,0,0,21,7,0,2,28,0,2,29,0,1,29,0,1,28,0,2,0,0,0,0,0,0,0,0,0,28,0,2,
ATASC,0002,Precinct 3,0,0,0,0,109,90,19,0,0,21,7,30,7,5,8,5,0,7,55,2,0,13,2,10,2,4,0,2,7,2,5,12,50,3,0,11,17,27,19,21,0,6,61,14,0,15,30,12,8,7,0,4,7,8,0,14,22,51,7,0,10,21,19,3,26,7,0,14,67,0,23,67,0,23,37,36,0,17,63,0,27,45,27,0,18,62,0,28,41,31,0,18,0,0,0,11,71,3,0,5,65,0,25,65,0,25,26,26,26,0,12,65,0,25,11,32,42,0,5,64,0,26,64,0,26,20,63,0,7,69,0,21,0,0,0,0,29,53,0,8,0,0,0,0,0,0,0,0,0,0,0,19,38,23,0,10,63,0,27,77,11,0,2,81,5,0,4,79,8,0,3,80,6,0,4,74,12,0,4,69,17,0,4,87,1,0,2,82,5,0,3,79,9,0,2,84,4,0,2,10,0,9,0,0,2,0,14,0,1,0,2,6,6,4,0,3,3,1,9,2,1,0,3,6,5,4,0,4,10,3,2,0,0,4,13,3,0,3,15,0,4,13,0,6,14,0,5,12,0,7,13,0,6,13,0,6,6,3,3,0,7,0,0,0,10,4,0,5,13,0,6,13,0,6,13,0,6,15,0,4,0,0,0,0,0,0,0,0,0,12,0,7,
ATASC,0002,Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
