political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,inct_number,reg_voters,party_code,party_code,race_name,candidate_name,election_votes,early_votes
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"United States Representative, District No. 19",Jodey C. Arrington,117,148
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Danny Harrison,0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Rick Perry,4,10
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Paul Belew,0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Greg Abbott,92,119
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Don Huffines,4,8
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Chad Prather,8,8
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Kandy Kaye Horn,0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Allen B. West,17,9
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Aaron Sorrells,2,5
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Todd M. Bullis,4,2
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Trayce Bradford,9,5
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Dan Patrick,100,125
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Zach Vance,0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Daniel Miller,1,7
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Eva Guzman,13,36
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Ken Paxton,58,82
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Louie Gohmert,19,10
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,George P. Bush,29,21
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Comptroller of Public Accounts,Mark V. Goloby,18,17
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Comptroller of Public Accounts,Glenn Hegar,83,108
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Victor Avila,7,12
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Jon Spiers,27,32
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Dawn Buckingham,23,34
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Weston Martinez,2,2
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Tim Westley,23,27
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Rufus Lopez,1,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Ben Armenta,2,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of the General Land Office,Don W. Minton,8,12
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of Agriculture,Carey A. Counsil,5,10
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of Agriculture,James White,33,47
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Commissioner of Agriculture,Sid Miller,72,80
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Railroad Commissioner,"Marvin ""Sarge"" Summers",20,20
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Railroad Commissioner,Wayne Christian,37,63
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Railroad Commissioner,Tom Slocum Jr,16,11
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Railroad Commissioner,Sarah Stogner,14,14
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Railroad Commissioner,Dawayne Tipton,14,16
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Justice, Supreme Court, Place 3",Debra Lehrmann,104,127
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Justice, Supreme Court, Place 5",Rebeca Huddle,103,122
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Justice, Supreme Court, Place 9",Evan Young,62,74
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Justice, Supreme Court, Place 9",David J. Schenck,31,42
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,101,123
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,37,47
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,54,66
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",98,120
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Member, State Board of Education, District 15",Aaron Kinsey,48,62
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Member, State Board of Education, District 15",Jay Johnson,48,67
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"State Senator, District No. 28",Charles Perry,111,139
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"State Representative,
District No. 83",Austin Jordan,20,20
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"State Representative,
District No. 83",Dustin Burrows,89,118
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Justice, 7th Court of Appeals District, Place No. 4",Larry Doss,101,125
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"District Judge, 110th Judicial District","William P. ""Bill"" Smith",114,142
floyd county,3/1/2022,primary election,1,0,1,901,284,13,County Judge,Marty C. Lucke,114,142
floyd county,3/1/2022,primary election,1,0,1,901,284,13,District Clerk,Mary Jane Cisneros,117,144
floyd county,3/1/2022,primary election,1,0,1,901,284,13,County Clerk,Ginger Morgan,115,142
floyd county,3/1/2022,primary election,1,0,1,901,284,13,County Treasurer,Elva Martinez,54,58
floyd county,3/1/2022,primary election,1,0,1,901,284,13,County Treasurer,Lori Morales,68,94
floyd county,3/1/2022,primary election,1,0,1,901,284,13,"Justice of the Peace,
Precinct No. 1 and 4",Tali Jackson,119,149
floyd county,3/1/2022,primary election,1,0,1,901,284,13,County Chairman,Kerry D. Pratt,117,149
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Michael Cooper,1,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Inocencio (Inno) Barrientez,0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Rich Wakeland,0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Beto O'Rourke,3,7
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Governor,Joy Diaz,1,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Michelle Beckley,4,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Mike Collier,0,4
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Lieutenant Governor,Carla Brailey,1,2
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Mike Fields,1,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Lee Merritt,2,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,"S. ""TBone"" Raynor",0,0
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Rochelle Mercedes Garza,1,4
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Attorney General,Joe Jaworski,1,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Comptroller of Public Accounts,Angel Luis Vega,3,3
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Comptroller of Public Accounts,Tim Mahoney,2,1
floyd county,3/1/2022,primary election,1,0,1,901,284,13,Comptroller of Public Accounts,Janet T. Dudding,0,3
