,,,,,#FormatVersion 1,,,,,
Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,#Precinct,Registered Voters,Contest Title,Choice Name,Early Vote Totals,Election Day Vote Totals
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"United States Representative, District No. 21",Claudia Andreana Zapata,9,5
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"United States Representative, District No. 21",Coy Gee Branscum II,6,1
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"United States Representative, District No. 21",David Anderson Jr,7,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"United States Representative, District No. 21",Scott William Sturm,1,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"United States Representative, District No. 21",Cherif Gacis,4,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"United States Representative, District No. 21",Ricardo Villarreal,7,4
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Governor,Rich Wakeland,0,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Governor,Michael Cooper,1,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Governor,Beto O'Rourke,31,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Governor,Joy Diaz,2,1
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Governor,Inocencio (Inno) Barrientez,0,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Lieutenant Governor,Carla Brailey,15,2
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Lieutenant Governor,Michelle Beckley,4,5
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Lieutenant Governor,Mike Collier,15,4
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Attorney General,Lee Merritt,6,2
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Attorney General,"S. ""TBone"" Raynor",1,0
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Attorney General,Joe Jaworski,11,1
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Attorney General,Rochelle Mercedes Garza,12,6
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Attorney General,Mike Fields,4,2
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Comptroller of Public Accounts,Janet T. Dudding,15,6
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Comptroller of Public Accounts,Angel Luis Vega,8,3
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Comptroller of Public Accounts,Tim Mahoney,11,1
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Commissioner of the General Land Office,Jinny Suh,9,2
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Commissioner of the General Land Office,Jay Kleberg,13,1
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Commissioner of the General Land Office,Sandragrace Martinez,5,5
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Commissioner of the General Land Office,Michael Lange,5,2
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Commissioner of Agriculture,Ed Ireson,9,3
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Commissioner of Agriculture,Susan Hays,24,8
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,Railroad Commissioner,Luke Warford,32,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Justice, Supreme Court, Place 3",Erin A Nowell,32,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Justice, Supreme Court, Place 5",Amanda Reichek,32,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Justice, Supreme Court, Place 9",Julia Maldonado,32,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,32,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,32,9
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Member, State Board of Education, District No. 1",Omar Yanar,9,2
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Member, State Board of Education, District No. 1",Laura Marquez,11,4
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Member, State Board of Education, District No. 1",Melissa N Ortega,14,5
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"State Senator, District No. 24",Kathy Jones-Hospod,30,7
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"State Senator, District No. 24",Jeremy Kohlwes,4,3
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"State Representative,  District No. 53",Joe P. Herrera,30,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,30,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term","Rebecca ""Beckie"" Palomo",31,10
Bandera County,1-Mar-22,Democratic Primary,2,0,101,1856,County Chairman,Lynn Oliver,33,10
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"United States Representative, District No. 21",Claudia Andreana Zapata,18,19
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"United States Representative, District No. 21",Coy Gee Branscum II,2,2
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"United States Representative, District No. 21",David Anderson Jr,5,3
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"United States Representative, District No. 21",Scott William Sturm,6,3
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"United States Representative, District No. 21",Cherif Gacis,4,0
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"United States Representative, District No. 21",Ricardo Villarreal,8,3
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Governor,Rich Wakeland,0,0
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Governor,Michael Cooper,4,0
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Governor,Beto O'Rourke,37,33
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Governor,Joy Diaz,3,0
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Governor,Inocencio (Inno) Barrientez,0,0
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Lieutenant Governor,Carla Brailey,8,12
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Lieutenant Governor,Michelle Beckley,19,12
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Lieutenant Governor,Mike Collier,18,7
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Attorney General,Lee Merritt,9,5
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Attorney General,"S. ""TBone"" Raynor",3,2
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Attorney General,Joe Jaworski,9,6
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Attorney General,Rochelle Mercedes Garza,17,17
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Attorney General,Mike Fields,6,1
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Comptroller of Public Accounts,Janet T. Dudding,25,15
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Comptroller of Public Accounts,Angel Luis Vega,6,10
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Comptroller of Public Accounts,Tim Mahoney,13,5
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Commissioner of the General Land Office,Jinny Suh,8,9
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Commissioner of the General Land Office,Jay Kleberg,15,6
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Commissioner of the General Land Office,Sandragrace Martinez,7,13
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Commissioner of the General Land Office,Michael Lange,14,2
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Commissioner of Agriculture,Ed Ireson,6,3
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Commissioner of Agriculture,Susan Hays,37,28
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,Railroad Commissioner,Luke Warford,42,30
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"Justice, Supreme Court, Place 3",Erin A Nowell,41,30
Bandera County,1-Mar-22,Democratic Primary,2,0,102,2781,"Justice, Supreme Court, Place 5",Amanda Reichek,41,30
