,,,,,#FormatVersion 1,,,,,,,,
Political Subdivision,Election Date,Election Name,Provisional Ballots,Provisional Ballots Counted,#Precinct,Registered Voters,DEM Ballots Cast,Contest Title,Choice Name,Absentee Voting Votes,Early Voting Votes,EarlyVotes,Election Day Voting Votes
Throckmorton,3/1/2022,Primary,1,0,1,304,1,United States Representative District No. 19,Jodey C. Arrington,4,66,70,73
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Allen B. West,0,6,6,7
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Paul Belew,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Chad Prather,0,6,6,7
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Don Huffines,0,1,1,5
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Rick Perry,1,5,6,6
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Danny Harrison,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Greg Abbott,5,51,56,56
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Kandy Kaye Horn,1,0,1,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Dan Patrick,5,45,50,54
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Aaron Sorrells,0,1,1,2
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Zach Vance,0,3,3,4
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Todd M. Bullis,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Daniel Miller,1,4,5,5
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Trayce Bradford,1,4,5,2
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Louie Gohmert,1,10,11,9
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Eva Guzman,0,9,9,6
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,George P. Bush,3,13,16,25
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Ken Paxton,3,32,35,32
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Comptroller of Public Accounts,Glenn Hegar,4,47,51,49
