political_subdivision,election_date,election_name,total provisional ballots,total provisonal ballots counted,precinct_number,reg_voters,race_name,candidate_name,early_votes,election_name
Bee County,3/1/2022,Primary,16,7,1,2192,"United States Representative, District No. 27",Anthony J Tristan,11,6
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",Victor Melgoza,4,4
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",Maclovio Perez Jr,41,21
Bee County,3/1/2022,Primary,,,1,2192,Governor,Rich Wakeland,1,0
Bee County,3/1/2022,Primary,,,1,2192,Governor,Joy Diaz,3,3
Bee County,3/1/2022,Primary,,,1,2192,Governor,Inocencio (Inno) Barrientez,1,0
Bee County,3/1/2022,Primary,,,1,2192,Governor,Michael Cooper,4,1
Bee County,3/1/2022,Primary,,,1,2192,Governor,Beto O'Rourke,50,28
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Michelle Beckley,27,7
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Carla Brailey,15,16
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Mike Collier,12,6
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Joe Jaworski,4,1
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Rochelle Mercedes Garza,41,23
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Mike Fields,6,3
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Lee Merritt,4,2
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,"S. ""TBone"" Raynor",0,1
Bee County,3/1/2022,Primary,,,1,2192,Comptroller of Public Accounts,Janet T. Dudding,8,6
Bee County,3/1/2022,Primary,,,1,2192,Comptroller of Public Accounts,Tim Mahoney,6,4
Bee County,3/1/2022,Primary,,,1,2192,Comptroller of Public Accounts,Angel Luis Vega,41,20
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Jinny Suh,8,5
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Sandragrace Martinez,31,18
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Jay Kleberg,10,1
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Michael Lange,6,6
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of Agriculture,Susan Hays,47,23
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of Agriculture,Ed Ireson,8,7
Bee County,3/1/2022,Primary,,,1,2192,Railroad Commissioner,Luke Warford,49,28
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 3",Erin A Nowell,50,27
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 5",Amanda Reichek,51,29
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 9",Julia Maldonado,55,28
Bee County,3/1/2022,Primary,,,1,2192,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,52,26
Bee County,3/1/2022,Primary,,,1,2192,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,51,28
Bee County,3/1/2022,Primary,,,1,2192,"Member, State Board of Education, District No. 3",Marisa B. Perez-Diaz,53,30
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Morgan Lamantia,14,11
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Alex Dominguez,15,7
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Sara Stapleton-Barrera,22,11
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Salomon Torres,6,2
Bee County,3/1/2022,Primary,,,1,2192,"Justice, 13th Court of Appeals District, Place No. 3",Leticia Hinojosa,55,31
Bee County,3/1/2022,Primary,,,1,2192,"Justice of the Peace, Precinct No. 3",Abel Suniga,55,27
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",Michael Cloud,113,78
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",Chris Mapp,8,1
