,,,,,#FormatVersion 1,,,,,
political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,#Precinct,Total number of reg voters,race name,Canidate Name,Early Vote totals,Election Day Voting Votes
sabine county,3/1/2022,primary,0,0,1,1963,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,7,1
sabine county,3/1/2022,primary,0,0,1,1963,"United States Representative, District No. 1",Gavin Dass,2,1
sabine county,3/1/2022,primary,0,0,1,1963,"United States Representative, District No. 1",Stephen Kocen,2,1
sabine county,3/1/2022,primary,0,0,1,1963,"United States Representative, District No. 1",Victor D. Dunn,6,0
sabine county,3/1/2022,primary,0,0,1,1963,Governor,Joy Diaz,1,0
sabine county,3/1/2022,primary,0,0,1,1963,Governor,Rich Wakeland,1,0
sabine county,3/1/2022,primary,0,0,1,1963,Governor,Michael Cooper,0,0
sabine county,3/1/2022,primary,0,0,1,1963,Governor,Beto O'Rourke,15,3
sabine county,3/1/2022,primary,0,0,1,1963,Governor,Inocencio (Inno) Barrientez,0,0
sabine county,3/1/2022,primary,0,0,1,1963,Lieutenant Governor,Michelle Beckley,3,1
sabine county,3/1/2022,primary,0,0,1,1963,Lieutenant Governor,Carla Brailey,5,1
sabine county,3/1/2022,primary,0,0,1,1963,Lieutenant Governor,Mike Collier,9,1
sabine county,3/1/2022,primary,0,0,1,1963,Attorney General,Joe Jaworski,3,0
sabine county,3/1/2022,primary,0,0,1,1963,Attorney General,Mike Fields,1,2
sabine county,3/1/2022,primary,0,0,1,1963,Attorney General,Rochelle Mercedes Garza,4,1
sabine county,3/1/2022,primary,0,0,1,1963,Attorney General,"S. ""TBone"" Raynor",3,0
sabine county,3/1/2022,primary,0,0,1,1963,Attorney General,Lee Merritt,6,0
sabine county,3/1/2022,primary,0,0,1,1963,Comptroller of Public Accounts,Angel Luis Vega,7,0
sabine county,3/1/2022,primary,0,0,1,1963,Comptroller of Public Accounts,Tim Mahoney,4,2
sabine county,3/1/2022,primary,0,0,1,1963,Comptroller of Public Accounts,Janet T. Dudding,6,1
sabine county,3/1/2022,primary,0,0,1,1963,Commissioner of the General Land Office,Jinny Suh,3,1
sabine county,3/1/2022,primary,0,0,1,1963,Commissioner of the General Land Office,Jay Kleberg,7,0
