political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party code,candidate_name,early_votes,election_votes
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"United States Representative, District No. 31",REP,Mike Williams,54,64
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"United States Representative, District No. 31",REP,Abhiram Garapati,47,38
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"United States Representative, District No. 31",REP,John Carter,216,145
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Chad Prather,10,17
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Danny Harrison,2,2
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Rick Perry,10,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Don Huffines,13,18
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Greg Abbott,248,162
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Kandy Kaye Horn,4,3
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Allen B. West,41,51
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Governor,REP,Paul Belew,2,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,REP,Dan Patrick,264,181
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,REP,Aaron Sorrells,10,13
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,REP,Daniel Miller,15,25
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,REP,Trayce Bradford,19,20
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,REP,Zach Vance,8,10
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Lieutenant Governor,REP,Todd M. Bullis,7,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,REP,Louie Gohmert,41,35
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,REP,George P. Bush,69,59
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,REP,Ken Paxton,157,128
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Attorney General,REP,Eva Guzman,61,37
