COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST BLANK,"DEM US Rep, District 1","DEM US Rep, District 1","DEM US Rep, District 1","DEM US Rep, District 1","DEM US Rep, District 1","DEM US Rep, District 1",DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 9","DEM Justice, Supreme Court, Pl 9","DEM Justice, Supreme Court, Pl 9","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 6","DEM Judge, Ct of Crim App, Pl 6","DEM Judge, Ct of Crim App, Pl 6","DEM State Representative, Dist 6","DEM State Representative, Dist 6","DEM State Representative, Dist 6",DEM County Commissioner Pct 4,DEM County Commissioner Pct 4,DEM County Commissioner Pct 4,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 3,DEM JOP Pct 3,DEM JOP Pct 3,DEM JOP Pct 4,DEM JOP Pct 4,DEM JOP Pct 4,DEM County Chair,DEM County Chair,DEM County Chair,DEM County Chair,
,,,,,REP,DEM,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Jrmar (JJ) Jefferson,Gavin Dass,Victor D. Dunn,Stephen Kocen,OVER VOTES,UNDER VOTES,Michael Cooper,Joy Diaz,Inocencio (Inno) Barrientez,Rich Wakeland,Beto O'Rourke,OVER VOTES,UNDER VOTES,Michelle Beckley,Carla Brailey,Mike Collier,OVER VOTES,UNDER VOTES,Lee Merritt,Rochelle Mercedes Garza,"S. ""TBONE"" Raynor",Mike Fields,Joe Jaworski,OVER VOTES,UNDER VOTES,Jinny Suh,Sandragrace Martinez,Michael Lange,Jay Kleberg,OVER VOTES,UNDER VOTES,Susan Hays,Ed Ireson,OVER VOTES,UNDER VOTES,Luke Warford,OVER VOTES,UNDER VOTES,Erin A Nowell,OVER VOTES,UNDER VOTES,Amanda Reichek,OVER VOTES,UNDER VOTES,Julia Maldonado,OVER VOTES,UNDER VOTES,Dana Huffman,OVER VOTES,UNDER VOTES,Robert Johnson,OVER VOTES,UNDER VOTES,Cody J. Grace,OVER VOTES,UNDER VOTES,"Ralph E. Caraway, Sr.",OVER VOTES,UNDER VOTES,Derrick Choice,"Quincy Beavers, Jr.",OVER VOTES,UNDER VOTES,Dustin G. Stephens,OVER VOTES,UNDER VOTES,Randy Hawkins,OVER VOTES,UNDER VOTES,Hank Gilbert,Hector Garza,OVER VOTES,UNDER VOTES,
SMITH,0001,Precinct 0001,526,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
SMITH,0001,Precinct 0001,526,15,6,9,0,6,2,1,0,0,0,1,0,0,0,8,0,0,5,3,1,0,0,6,2,0,0,1,0,0,1,4,4,0,0,0,7,2,0,0,7,0,2,9,0,0,8,0,1,8,0,1,8,0,1,8,0,1,9,0,0,9,0,0,5,4,0,0,0,0,0,0,0,0,4,5,0,0,
SMITH,0001,Precinct 0001,526,17,5,12,0,6,2,0,1,0,3,1,2,0,0,7,0,2,4,4,0,0,4,4,3,0,2,0,0,3,2,5,1,0,0,4,8,0,0,4,8,0,4,7,0,5,9,0,3,10,0,2,8,0,4,7,0,5,8,0,4,10,0,2,6,4,0,2,0,0,0,0,0,0,4,7,0,1,
SMITH,0002,Precinct 0002,811,6,0,6,0,1,1,2,0,0,2,2,0,0,0,4,0,0,5,0,0,0,1,3,0,0,1,1,0,1,1,0,2,2,0,1,4,1,0,1,6,0,0,6,0,0,6,0,0,5,0,1,6,0,0,6,0,0,5,0,1,6,0,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,
SMITH,0002,Precinct 0002,811,31,2,29,0,14,2,6,5,0,2,3,2,1,0,22,0,1,10,14,4,0,1,13,8,3,1,3,0,1,2,8,11,5,0,3,24,3,0,2,23,0,6,22,0,7,23,0,6,21,0,8,21,0,8,21,0,8,21,0,8,25,0,4,17,10,0,2,0,0,0,0,0,0,10,16,0,3,
SMITH,0002,Precinct 0002,811,21,4,17,0,3,3,5,1,0,5,3,2,0,0,11,0,1,4,5,2,0,6,7,5,1,0,1,0,3,0,6,6,2,0,3,12,0,0,5,9,0,8,10,0,7,9,0,8,11,0,6,10,0,7,11,0,6,9,0,8,13,0,4,7,8,0,2,0,0,0,0,0,0,4,10,0,3,
SMITH,0003,Precinct 0003,2420,31,13,18,0,4,5,5,3,0,1,0,0,0,0,18,0,0,2,4,10,0,2,6,4,0,1,6,0,1,3,1,4,8,0,2,9,7,0,2,15,0,3,14,0,4,14,0,4,14,0,4,15,0,3,14,0,4,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,
SMITH,0003,Precinct 0003,2420,321,268,53,0,22,10,9,5,0,7,6,0,0,1,45,0,1,5,18,23,0,7,13,10,0,9,16,0,5,12,10,7,16,0,8,39,8,0,6,43,0,10,42,0,11,44,0,9,43,0,10,42,0,11,41,0,12,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,0,3,
