COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,"DEM US Representative, District 27","DEM US Representative, District 27","DEM US Representative, District 27",DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Railroad Commissioner,"DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 9","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 6","DEM Member, State BoE, Dist 5","DEM Member, State BoE, Dist 5","DEM Member, State BoE, Dist 5","DEM State Senator, Dist 21","DEM State Representative, Dist 17","DEM Justice, 3rd Ct of App Dist, Pl 4","DEM Justice, 3rd Ct of App Dist, Pl 4","DEM Justice, 3rd Ct of App Dist, Pl 4",DEM Criminal District Attorney,DEM County Judge,"DEM Judge, County Court at Law",DEM County Clerk,DEM County Commissioner Pct 4,DEM County Commissioner Pct 4,DEM JOP Pct 3,DEM JOP Pct 4,
,,,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Anthony J Tristan,Maclovio Perez Jr,Victor Melgoza,Joy Diaz,Beto O'Rourke,Michael Cooper,Inocencio (Inno) Barrientez,Rich Wakeland,Michelle Beckley,Carla Brailey,Mike Collier,Joe Jaworski,Rochelle Mercedes Garza,Mike Fields,Lee Merritt,"S. ""TBONE"" Raynor",Tim Mahoney,Janet T. Dudding,Angel Luis Vega,Jinny Suh,Jay Kleberg,Michael Lange,Sandragrace Martinez,Ed Ireson,Susan Hays,Luke Warford,Erin A Nowell,Amanda Reichek,Julia Maldonado,Dana Huffman,Robert Johnson,Kevin Guico,Rebecca Bell-Metereau,Juan Juarez,Judith Zaffirini,Madeline Eden,Beth Payan,Paula Knippa,Rosa Lopez Theofanis,Fred Weber,Anna Prusaitis Ybarra,Barbara L. Molina,Teresa Rodriguez,Dyral Thomas,Frank Sughrue,Anita Deleon,Yvette Mireles,
CALDW,0001,Precinct 100,0,4,3,2,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,1,1,0,2,2,2,2,2,2,2,0,0,2,3,2,0,1,1,2,3,3,3,0,0,0,0,
CALDW,0001,Precinct 100,0,68,29,13,9,5,0,29,0,0,0,9,7,10,7,14,5,1,0,4,10,11,6,6,2,11,3,22,21,24,24,25,24,23,1,16,9,27,24,13,4,8,23,28,27,27,0,0,0,0,
CALDW,0001,Precinct 100,0,73,36,15,15,5,3,33,0,0,0,11,5,19,15,16,4,1,0,10,18,6,11,11,2,11,5,27,34,34,34,34,34,35,3,26,5,35,34,10,10,13,34,34,35,35,0,0,0,0,
CALDW,0002,Precinct 101,0,6,5,2,0,3,0,5,0,0,0,2,2,1,1,4,0,0,0,1,3,1,1,4,0,0,3,2,5,5,5,5,5,5,0,5,0,5,4,3,1,1,5,5,5,5,0,0,0,0,
CALDW,0002,Precinct 101,0,77,31,11,9,10,0,29,2,0,0,6,11,11,8,20,1,1,0,8,12,10,5,6,9,10,7,22,27,27,27,26,27,26,1,17,11,30,27,2,16,10,27,26,27,30,0,0,0,0,
CALDW,0002,Precinct 101,0,66,33,11,10,8,0,31,0,2,0,11,6,13,5,21,4,0,1,7,14,10,8,9,3,11,6,24,28,28,26,29,28,28,3,13,14,30,29,7,12,9,29,30,30,30,0,0,0,0,
CALDW,0003,Precinct 102,0,10,4,0,2,2,0,4,0,0,0,1,0,3,1,2,0,1,0,1,3,0,0,2,1,1,1,3,4,4,4,4,4,4,0,4,0,4,4,3,1,0,4,4,4,4,0,0,0,0,
CALDW,0003,Precinct 102,0,121,17,10,4,3,0,16,0,0,1,5,5,6,4,11,1,1,0,3,8,6,9,4,1,3,5,12,17,17,17,17,17,17,2,11,4,17,15,8,4,5,17,17,17,17,0,0,0,0,
CALDW,0003,Precinct 102,0,59,11,4,5,1,1,10,0,0,0,4,2,4,2,7,0,1,0,4,4,2,3,2,2,2,2,7,9,9,9,9,9,8,2,5,4,8,9,3,2,6,8,7,8,8,0,0,0,0,
CALDW,0004,Precinct 103,0,36,25,10,6,4,1,24,0,0,0,9,6,8,10,10,1,1,0,5,8,9,5,7,1,10,4,18,17,17,18,17,18,17,1,12,8,17,18,10,4,6,17,17,18,19,0,0,0,0,
CALDW,0004,Precinct 103,0,366,128,36,45,30,5,121,2,0,0,41,26,53,39,60,9,7,3,20,47,48,25,37,14,41,18,100,112,107,109,112,110,109,3,71,42,117,109,46,26,39,109,108,118,113,0,0,0,0,
CALDW,0004,Precinct 103,0,264,90,30,34,20,3,81,2,1,1,30,24,32,17,50,8,9,2,20,36,26,24,17,11,30,9,75,82,81,81,82,79,77,5,49,29,80,79,24,18,36,77,83,84,82,0,0,0,0,
CALDW,0005,Precinct 104,0,7,4,1,2,1,0,4,0,0,0,1,2,1,0,3,1,0,0,0,1,3,0,1,0,3,0,4,4,4,4,4,4,4,0,1,3,4,4,2,0,2,3,4,3,3,0,0,0,0,
CALDW,0005,Precinct 104,0,112,18,5,4,6,2,15,0,0,0,4,6,8,7,8,0,0,1,3,10,3,3,7,2,5,4,13,13,13,13,14,14,13,0,13,3,16,15,6,2,8,14,14,15,16,0,0,0,0,
CALDW,0005,Precinct 104,0,76,13,9,1,2,0,13,0,0,0,3,3,6,2,7,2,0,1,4,7,0,2,7,0,2,4,7,11,12,11,11,11,11,1,8,2,11,11,3,4,3,11,11,11,11,0,0,0,0,
CALDW,0006,Precinct 108,0,9,7,3,3,0,0,6,0,0,1,1,1,5,0,6,0,0,1,2,1,3,1,2,0,4,2,5,7,7,7,7,7,7,0,4,3,7,7,0,2,4,7,7,7,7,0,0,0,0,
