political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,NON Ballots Cast,race_name,candidate_name,Early Voting Votes,early_votes,election_votes
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,"U.S. REPRESENTATIVE, DISTRICT 10",Linda Nuno,8,5,32
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,GOVERNOR,Inocencio (Inno) Barrientez,0,0,0
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,GOVERNOR,Michael Cooper,0,0,0
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,GOVERNOR,Joy Diaz,0,0,0
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,GOVERNOR,Beto O'Rourke,9,5,32
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,GOVERNOR,Rich Wakeland,0,0,0
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,LIEUTENANT GOVERNOR,Michelle Beckley,1,0,7
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,LIEUTENANT GOVERNOR,Mike Collier,4,3,19
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,LIEUTENANT GOVERNOR,Carla Brailey,4,2,6
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,ATTORNEY GENERAL,Mike Fields,0,1,3
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,ATTORNEY GENERAL,"S. ""TBone"" Raynor",1,0,3
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,ATTORNEY GENERAL,Rochelle Mercedes Garza,3,0,10
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,ATTORNEY GENERAL,Joe Jaworski,3,4,4
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,ATTORNEY GENERAL,Lee Merritt,2,0,12
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMPTROLLER OF PUBLIC ACCOUNTS,Tim Mahoney,1,0,13
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMPTROLLER OF PUBLIC ACCOUNTS,Janet T. Dudding,5,5,13
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMPTROLLER OF PUBLIC ACCOUNTS,Angel Luis Vega,3,0,6
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Sandragrace Martinez,3,0,8
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Michael Lange,0,1,8
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Jay Kleberg,5,4,9
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Jinny Suh,1,0,7
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMMISSIONER OF AGRICULTURE,Susan Hays,6,2,23
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,COMMISSIONER OF AGRICULTURE,Ed Ireson,3,2,9
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,RAILROAD COMMISSIONER,Luke Warford,9,5,32
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,"JUSTICE, SUPREME COURT, PLACE 3",Erin A Nowell,9,5,32
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,"JUSTICE, SUPREME COURT, PLACE 5",Amanda Reichek,9,5,32
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,"JUSTICE, SUPREME COURT, PLACE 9",Julia Maldonado,9,5,32
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 5",Dana Huffman,9,5,31
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 6",Robert Johnson,9,5,31
Brazos County,3/1/2022,Democratic Primary,,,1,2144,0,DISTRICT CLERK,Searcy L. Toliver,9,5,32
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,"U.S. REPRESENTATIVE, DISTRICT 10",Linda Nuno,31,6,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,GOVERNOR,Inocencio (Inno) Barrientez,0,0,1
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,GOVERNOR,Michael Cooper,0,0,2
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,GOVERNOR,Joy Diaz,2,0,1
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,GOVERNOR,Beto O'Rourke,29,8,18
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,GOVERNOR,Rich Wakeland,1,0,0
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,LIEUTENANT GOVERNOR,Michelle Beckley,5,1,7
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,LIEUTENANT GOVERNOR,Mike Collier,19,6,12
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,LIEUTENANT GOVERNOR,Carla Brailey,7,0,3
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,ATTORNEY GENERAL,Mike Fields,3,1,3
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,ATTORNEY GENERAL,"S. ""TBone"" Raynor",1,0,3
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,ATTORNEY GENERAL,Rochelle Mercedes Garza,9,2,6
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,ATTORNEY GENERAL,Joe Jaworski,11,4,4
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,ATTORNEY GENERAL,Lee Merritt,6,0,4
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMPTROLLER OF PUBLIC ACCOUNTS,Tim Mahoney,5,2,2
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMPTROLLER OF PUBLIC ACCOUNTS,Janet T. Dudding,21,3,14
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMPTROLLER OF PUBLIC ACCOUNTS,Angel Luis Vega,3,2,5
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Sandragrace Martinez,5,1,5
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Michael Lange,5,1,5
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Jay Kleberg,15,5,7
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Jinny Suh,4,0,4
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMMISSIONER OF AGRICULTURE,Susan Hays,25,5,17
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,COMMISSIONER OF AGRICULTURE,Ed Ireson,5,2,5
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,RAILROAD COMMISSIONER,Luke Warford,30,6,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,"JUSTICE, SUPREME COURT, PLACE 3",Erin A Nowell,29,7,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,"JUSTICE, SUPREME COURT, PLACE 5",Amanda Reichek,29,6,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,"JUSTICE, SUPREME COURT, PLACE 9",Julia Maldonado,29,7,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 5",Dana Huffman,29,6,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 6",Robert Johnson,28,7,20
Brazos County,3/1/2022,Democratic Primary,,,2,2549,0,DISTRICT CLERK,Searcy L. Toliver,29,6,20
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"U.S. REPRESENTATIVE, DISTRICT 10",Linda Nuno,25,6,17
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,GOVERNOR,Inocencio (Inno) Barrientez,0,0,2
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,GOVERNOR,Michael Cooper,2,1,1
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,GOVERNOR,Joy Diaz,2,0,1
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,GOVERNOR,Beto O'Rourke,24,7,16
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,GOVERNOR,Rich Wakeland,0,0,1
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,LIEUTENANT GOVERNOR,Michelle Beckley,11,3,6
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,LIEUTENANT GOVERNOR,Mike Collier,7,3,6
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,LIEUTENANT GOVERNOR,Carla Brailey,8,2,8
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,ATTORNEY GENERAL,Mike Fields,8,6,5
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,ATTORNEY GENERAL,"S. ""TBone"" Raynor",2,0,3
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,ATTORNEY GENERAL,Rochelle Mercedes Garza,10,1,8
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,ATTORNEY GENERAL,Joe Jaworski,5,1,1
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,ATTORNEY GENERAL,Lee Merritt,1,0,3
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMPTROLLER OF PUBLIC ACCOUNTS,Tim Mahoney,9,6,4
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMPTROLLER OF PUBLIC ACCOUNTS,Janet T. Dudding,11,1,10
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMPTROLLER OF PUBLIC ACCOUNTS,Angel Luis Vega,6,1,6
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Sandragrace Martinez,10,1,10
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Michael Lange,6,6,4
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Jay Kleberg,3,0,3
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMMISSIONER OF THE GENERAL LAND OFFICE,Jinny Suh,6,1,3
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMMISSIONER OF AGRICULTURE,Susan Hays,26,6,16
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,COMMISSIONER OF AGRICULTURE,Ed Ireson,1,2,4
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,RAILROAD COMMISSIONER,Luke Warford,27,8,20
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUSTICE, SUPREME COURT, PLACE 3",Erin A Nowell,27,7,19
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUSTICE, SUPREME COURT, PLACE 5",Amanda Reichek,26,7,19
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUSTICE, SUPREME COURT, PLACE 9",Julia Maldonado,26,8,18
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 5",Dana Huffman,26,7,20
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 6",Robert Johnson,27,8,20
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,DISTRICT CLERK,Searcy L. Toliver,28,8,20
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"COUNTY COMMISSIONER, PRECINCT 4",Prentiss E Madison Sr,15,8,11
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"COUNTY COMMISSIONER, PRECINCT 4",Wanda J Watson,8,0,8
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"COUNTY COMMISSIONER, PRECINCT 4",Ann Boney,2,0,1
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"COUNTY COMMISSIONER, PRECINCT 4",Roy Flores,3,0,1
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUSTICE OF THE PEACE, PRECINCT 4",Darrell Booker,16,3,11
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUSTICE OF THE PEACE, PRECINCT 4",Celina Vasquez,6,5,7
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"JUSTICE OF THE PEACE, PRECINCT 4",Loretta Montoya Garcia,5,0,2
Brazos County,3/1/2022,Democratic Primary,,,3,1018,0,"CONSTABLE, PRECINCT 4",Hezekiah Carter Jr,27,8,20
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,"U.S. REPRESENTATIVE, DISTRICT 10",Linda Nuno,93,13,71
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,GOVERNOR,Inocencio (Inno) Barrientez,2,0,1
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,GOVERNOR,Michael Cooper,17,0,16
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,GOVERNOR,Joy Diaz,3,0,1
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,GOVERNOR,Beto O'Rourke,74,14,61
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,GOVERNOR,Rich Wakeland,2,0,0
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,LIEUTENANT GOVERNOR,Michelle Beckley,33,4,17
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,LIEUTENANT GOVERNOR,Mike Collier,33,5,29
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,LIEUTENANT GOVERNOR,Carla Brailey,28,3,32
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,ATTORNEY GENERAL,Mike Fields,28,3,16
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,ATTORNEY GENERAL,"S. ""TBone"" Raynor",12,0,10
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,ATTORNEY GENERAL,Rochelle Mercedes Garza,28,5,32
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,ATTORNEY GENERAL,Joe Jaworski,5,3,9
Brazos County,3/1/2022,Democratic Primary,,,4,1736,0,ATTORNEY GENERAL,Lee Merritt,23,1,12
