,,,,,#FormatVersion 1,,,,,,
political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,#Precinct,Registered Voters,Contest Title,Choice Name,Absentee Voting Votes,Early Voting Votes,Election Day Voting Votes
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,"United States Representative, District No. 13",Kathleen Brown,0,3,5
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Governor,Inocencio (Inno) Barrientez,0,0,1
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Governor,Beto O'Rourke,0,3,3
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Governor,Rich Wakeland,0,0,0
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Governor,Michael Cooper,0,0,1
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Governor,Joy Diaz,0,0,0
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Lieutenant Governor,Mike Collier,0,2,1
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Lieutenant Governor,Michelle Beckley,0,1,1
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Lieutenant Governor,Carla Brailey,0,0,2
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Attorney General,Lee Merritt,0,0,1
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Attorney General,"S. ""TBone"" Raynor",0,0,0
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Attorney General,Joe Jaworski,0,0,0
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Attorney General,Mike Fields,0,0,2
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Attorney General,Rochelle Mercedes Garza,0,3,2
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Comptroller of Public Accounts,Janet T. Dudding,0,2,4
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Comptroller of Public Accounts,Angel Luis Vega,0,1,1
Wheeler County,1-Mar-22,March Primary 2022,0,0,101,871,Comptroller of Public Accounts,Tim Mahoney,0,0,0
