political_subdivsion,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,"United States Representative, District No. 13",Kathleen Brown,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Governor,Joy Diaz,,0,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Governor,Rich Wakeland,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Governor,Inocencio (Inno) Barrientez,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Governor,Michael Cooper,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Governor,Beto O'Rourke,,2,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Lieutenant Governor,Michelle Beckley,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Lieutenant Governor,Mike Collier,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Lieutenant Governor,Carla Brailey,,1,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Attorney General,Rochelle Mercedes Garza,,0,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Attorney General,Lee Merritt,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Attorney General,"S. ""TBone"" Raynor",,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Attorney General,Mike Fields,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Attorney General,Joe Jaworski,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Comptroller of Public Accounts,Tim Mahoney,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Comptroller of Public Accounts,Angel Luis Vega,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Comptroller of Public Accounts,Janet T. Dudding,,1,1
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Commissioner of the General Land Office,Jay Kleberg,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Commissioner of the General Land Office,Sandragrace Martinez,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Commissioner of the General Land Office,Michael Lange,,2,1
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Commissioner of the General Land Office,Jinny Suh,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Commissioner of Agriculture,Susan Hays,,1,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Commissioner of Agriculture,Ed Ireson,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,Railroad Commissioner,Luke Warford,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,"Justice, Supreme Court, Place 3",Erin A Nowell,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,"Justice, Supreme Court, Place 5",Amanda Reichek,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,"Justice, Supreme Court, Place 9",Julia Maldonado,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,1,401,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,,2,2
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,"United States Representative, District No. 13",Kathleen Brown,,13,7
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Governor,Joy Diaz,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Governor,Rich Wakeland,,2,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Governor,Inocencio (Inno) Barrientez,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Governor,Michael Cooper,,1,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Governor,Beto O'Rourke,,12,7
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Lieutenant Governor,Michelle Beckley,,7,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Lieutenant Governor,Mike Collier,,5,3
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Lieutenant Governor,Carla Brailey,,2,4
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Attorney General,Rochelle Mercedes Garza,,5,6
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Attorney General,Lee Merritt,,3,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Attorney General,"S. ""TBone"" Raynor",,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Attorney General,Mike Fields,,4,1
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Attorney General,Joe Jaworski,,2,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Comptroller of Public Accounts,Tim Mahoney,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Comptroller of Public Accounts,Angel Luis Vega,,7,6
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Comptroller of Public Accounts,Janet T. Dudding,,7,1
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Commissioner of the General Land Office,Jay Kleberg,,3,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Commissioner of the General Land Office,Sandragrace Martinez,,4,5
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Commissioner of the General Land Office,Michael Lange,,3,1
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Commissioner of the General Land Office,Jinny Suh,,4,1
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Commissioner of Agriculture,Susan Hays,,12,6
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Commissioner of Agriculture,Ed Ireson,,2,0
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,Railroad Commissioner,Luke Warford,,13,7
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,"Justice, Supreme Court, Place 3",Erin A Nowell,,12,6
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,"Justice, Supreme Court, Place 5",Amanda Reichek,,13,7
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,"Justice, Supreme Court, Place 9",Julia Maldonado,,13,7
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,,13,7
Gray County ,3/1/2022,Dem Primary ,0,0,2,2671,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,,13,7
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,"United States Representative, District No. 13",Kathleen Brown,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Governor,Joy Diaz,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Governor,Rich Wakeland,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Governor,Inocencio (Inno) Barrientez,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Governor,Michael Cooper,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Governor,Beto O'Rourke,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Lieutenant Governor,Michelle Beckley,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Lieutenant Governor,Mike Collier,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Lieutenant Governor,Carla Brailey,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Attorney General,Rochelle Mercedes Garza,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Attorney General,Lee Merritt,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Attorney General,"S. ""TBone"" Raynor",,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Attorney General,Mike Fields,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Attorney General,Joe Jaworski,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Comptroller of Public Accounts,Tim Mahoney,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Comptroller of Public Accounts,Angel Luis Vega,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Comptroller of Public Accounts,Janet T. Dudding,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Commissioner of the General Land Office,Jay Kleberg,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Commissioner of the General Land Office,Sandragrace Martinez,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Commissioner of the General Land Office,Michael Lange,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Commissioner of the General Land Office,Jinny Suh,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Commissioner of Agriculture,Susan Hays,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Commissioner of Agriculture,Ed Ireson,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,Railroad Commissioner,Luke Warford,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,"Justice, Supreme Court, Place 3",Erin A Nowell,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,"Justice, Supreme Court, Place 5",Amanda Reichek,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,"Justice, Supreme Court, Place 9",Julia Maldonado,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,3,113,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,"United States Representative, District No. 13",Kathleen Brown,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Governor,Joy Diaz,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Governor,Rich Wakeland,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Governor,Inocencio (Inno) Barrientez,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Governor,Michael Cooper,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Governor,Beto O'Rourke,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Lieutenant Governor,Michelle Beckley,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Lieutenant Governor,Mike Collier,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Lieutenant Governor,Carla Brailey,,0,1
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Attorney General,Rochelle Mercedes Garza,,0,0
Gray County ,3/1/2022,Dem Primary ,0,0,4,697,Attorney General,Lee Merritt,,0,0
