political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,Precinct_name,Reg_voters,race_name,candidate_name,early_votes,election_votes
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"United States Representative, District 13",RONNY JACKSON,152,183
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,GREG ABBOTT,150,167
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,ALLEN B. WEST,8,18
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,DON HUFFINES,9,14
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,CHAD PRATHER,9,19
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,PAUL BELEW,0,0
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,RICK PERRY,7,7
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,KANDY KAYE HORN,2,1
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,DANNY HARRISON,2,2
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,AARON SORRELLS,20,33
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,ZACH VANCE,6,5
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,TODD M. BULLIS,5,1
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,DAN PATRICK,116,142
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,DANIEL MILLER,11,15
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,TRAYCE BRADFORD,4,15
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,GEORGE P. BUSH,62,83
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,KEN PAXTON,77,92
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,EVA GUZMAN,20,32
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,LOUIE GOHMERT,14,13
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Comptroller of Public Accounts,GLENN HEGAR,133,157
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Comptroller of Public Accounts,MARK V. GOLOBY,22,35
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,DON W. MINTON,48,67
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,DAWN BUCKINGHAM,41,63
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,RUFUS LOPEZ,7,17
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,JON SPIERS,17,19
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,BEN ARMENTA,4,3
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,TIM WESTLEY,20,11
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,VICTOR AVILA,7,7
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of The General Land Ofice,WESTON MARTINEZ,6,4
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of Agriculture,SID MILLER,107,140
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of Agriculture,JAMES WHITE,50,55
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of Agriculture,CAREY A. COUNSIL,2,9
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Railroad Commissioner,"MARVIN ""SARGE"" SUMMERS",50,74
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Railroad Commissioner,TOM SLOCUM JR,28,30
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Railroad Commissioner,SARAH STOGNER,20,31
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Railroad Commissioner,DAWAYNE TIPTON,12,19
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Railroad Commissioner,WAYNE CHRISTIAN,38,37
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Justice, Supreme Court, Place 3",DEBRA LEHRMANN,141,185
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Justice, Supreme Court, Place 5",REBECA HUDDLE,130,181
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Justice, Supreme Court, Place 9",DAVID J. SCHENCK,82,106
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Justice, Supreme Court, Place 9",EVAN YOUNG,63,81
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Judge, Court of Criminal Appeals Place 2",MARY LOU KEEL,133,183
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Judge, Court of Criminal Appeals Place 5",SCOTT WALKER,99,117
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Judge, Court of Criminal Appeals Place 5",CLINT MORGAN,44,68
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Judge, Court of Criminal Appeals Place 6","JESSE F. MCCLURE, III",132,184
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Member, State Board of Education, District 15",AARON KINSEY,78,110
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Member, State Board of Education, District 15",JAY JOHNSON,59,75
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"State Senator, District 28",CHARLES PERRY,145,190
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,State Representative District 69,JAMES B. FRANK,137,187
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"Justice, 7th Court of Appeals District, Place 4",LARRY DOSS,135,178
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"District Judge, 46th Judicial District","CORNELL D. ""CORY"" CURTIS",154,202
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,County Attorney - Unexpired Term,JONATHAN JACK WHITSITT,155,191
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,District Clerk,BRENDA PETERSON,168,208
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,County Clerk,JANA KENNON,158,196
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,County Treasurer,AMBER LAGUNAS COBB,85,85
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,County Treasurer,ANGIE BOYD,104,133
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Justice of The Peace Precinct 1,GENE MORTON,119,130
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Justice of The Peace Precinct 1,SHARON MCCARTY GOINS,67,100
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,County Chairman,MEREDITH A. WRIGHT,116,167
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,"United States Representative, District 13",KATHLEEN BROWN,6,12
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,INOCENCIO (INNO) BARRIENTEZ,0,1
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,JOY DIAZ,0,0
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,MICHAEL COOPER,0,0
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,RICH WAKELAND,0,0
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Governor,BETO O'ROURKE,7,11
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,MIKE COLLIER,4,5
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,CARLA BRAILEY,0,5
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Lieutenant Governor,MICHELLE BECKLEY,2,4
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,"S. ""TBONE"" RAYNOR",0,2
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,LEE MERRITT,2,0
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,ROCHELLE MERCEDES GARZA,0,7
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,JOE JAWORSKI,3,3
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Attorney General,MIKE FIELDS,1,2
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Comptroller of Public Accounts,TIM MAHONEY,4,3
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Comptroller of Public Accounts,ANGEL LUIS VEGA,2,7
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Comptroller of Public Accounts,JANET T. DUDDING,0,4
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of the General Land Office,JINNY SUH,1,2
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of the General Land Office,JAY KLEBERG,4,3
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of the General Land Office,MICHAEL LANGE,1,3
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,0,6
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of Agriculture,ED IRESON,3,2
Wilbarger County,3/1/2022,2022 Primary,0,0,Precinct 1,1308,Commissioner of Agriculture,SUSAN HAYS,3,12
