political_subdivision,election_date,election_name,total provisional ballots ,total provisional ballots counted,#FormatVersion 1,,,,,,,,,
Red River,3/1/2022,Primary Election,,,precinct_precinct,reg_voters,NON Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",Gavin Dass,,1,0,1,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",Stephen Kocen,,3,2,1,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",Victor D. Dunn,,0,1,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,,5,0,0,5
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Beto O'Rourke,,9,2,2,7
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Inocencio (Inno) Barrientez,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Michael Cooper,,1,1,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Rich Wakeland,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Joy Diaz,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Carla Brailey,,1,1,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Michelle Beckley,,3,2,0,3
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Mike Collier,,4,0,2,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Rochelle Mercedes Garza,,2,2,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Lee Merritt,,6,1,2,4
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,"S. ""TBone"" Raynor",,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Joe Jaworski,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Mike Fields,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Comptroller of Public Accounts,Janet T. Dudding,,2,2,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Comptroller of Public Accounts,Tim Mahoney,,4,0,2,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Comptroller of Public Accounts,Angel Luis Vega,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Jinny Suh,,2,2,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Jay Kleberg,,2,1,2,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Michael Lange,,3,0,0,3
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of Agriculture,Ed Ireson,,3,0,2,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of Agriculture,Susan Hays,,5,3,0,5
Red River,3/1/2022,Primary Election,,,2-1,112,0,Railroad Commissioner,Luke Warford,,6,2,2,4
