,,,,,#FormatVersion 1,,,,,,,
Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,#Precinct,Registered Voters,Contest Title,Choice Name,Total Votes,Absentee Voting Votes,Early Voting Votes,Election Day Voting Votes
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"United States Representative, District No. 21",Dana Zavorka,36,,17,19
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"United States Representative, District No. 21",Chip Roy,335,,221,114
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"United States Representative, District No. 21",Michael Alexander French,19,,6,13
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"United States Representative, District No. 21",Robert Lowry,27,,20,7
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Rick Perry,24,,16,8
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Don Huffines,42,,28,14
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Danny Harrison,3,,3,0
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Kandy Kaye Horn,6,,4,2
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Allen B. West,61,,38,23
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Paul Belew,3,,2,1
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Greg Abbott,264,,163,101
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Governor,Chad Prather,21,,14,7
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Lieutenant Governor,Aaron Sorrells,16,,12,4
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Lieutenant Governor,Zach Vance,13,,8,5
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Lieutenant Governor,Todd M. Bullis,10,,6,4
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Lieutenant Governor,Daniel Miller,42,,24,18
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Lieutenant Governor,Trayce Bradford,11,,7,4
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Lieutenant Governor,Dan Patrick,319,,205,114
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Attorney General,George P. Bush,96,,59,37
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Attorney General,Eva Guzman,61,,43,18
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Attorney General,Ken Paxton,184,,119,65
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Attorney General,Louie Gohmert,77,,44,33
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Comptroller of Public Accounts,Glenn Hegar,290,,183,107
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Comptroller of Public Accounts,Mark V. Goloby,79,,52,27
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Tim Westley,75,,47,28
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Jon Spiers,29,,15,14
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Dawn Buckingham,169,,114,55
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Victor Avila,25,,12,13
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Don W. Minton,19,,14,5
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Rufus Lopez,8,,6,2
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Ben Armenta,7,,5,2
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of the General Land Office,Weston Martinez,27,,20,7
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of Agriculture,James White,114,,78,36
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of Agriculture,Carey A. Counsil,38,,18,20
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Commissioner of Agriculture,Sid Miller,211,,140,71
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Railroad Commissioner,"Marvin ""Sarge"" Summers",68,,36,32
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Railroad Commissioner,Dawayne Tipton,34,,24,10
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Railroad Commissioner,Wayne Christian,136,,96,40
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Railroad Commissioner,Tom Slocum Jr,39,,28,11
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Railroad Commissioner,Sarah Stogner,64,,37,27
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice, Supreme Court, Place 3",Debra Lehrmann,351,,218,133
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice, Supreme Court, Place 5",Rebeca Huddle,346,,216,130
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice, Supreme Court, Place 9",David J. Schenck,143,,84,59
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice, Supreme Court, Place 9",Evan Young,197,,138,59
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,344,,215,129
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,213,,148,65
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,129,,74,55
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",337,,210,127
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",238,,159,79
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Member, State Board of Education, District No. 1",Lani Popp,99,,60,39
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"State Senator, District No. 24",Lamar Lewis,132,,80,52
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"State Senator, District No. 24",Pete Flores,136,,92,44
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"State Senator, District No. 24",Raul Reyes,113,,73,40
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"State Representative,  District No. 53","Wesley ""Wes"" Virdell",147,,87,60
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"State Representative,  District No. 53",Andrew S. Murr,227,,150,77
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,332,,206,126
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,332,,206,126
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"District Judge, 198th Judicial District","M. Patrick ""Pat"" Maguire",332,,209,123
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,County Judge,Richard A. Evans,206,,128,78
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,County Judge,Susan Junker,180,,116,64
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,County Judge,Dennis Alonzo Fitzgerald,24,,17,7
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,District Clerk,Tammy Kneuper,349,,216,133
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,County Clerk,Tandie Mansfield,351,,218,133
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,County Treasurer,Beverly Schmidt,343,,212,131
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,"Justice of the Peace, Precinct No. 1",Mike Towers,342,,210,132
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,County Chairman,Conrad (Butch) Striegl,332,,204,128
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 1,YES,390,,243,147
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 1,NO,26,,18,8
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 2,YES,320,,200,120
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 2,NO,86,,59,27
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 3,YES,361,,220,141
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 3,NO,58,,43,15
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 4,YES,376,,237,139
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 4,NO,37,,23,14
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 5,YES,338,,211,127
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 5,NO,73,,48,25
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 6,YES,343,,208,135
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 6,NO,67,,51,16
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 7,YES,399,,251,148
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 7,NO,21,,13,8
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 8,YES,387,,243,144
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 8,NO,31,,20,11
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 9,YES,374,,231,143
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 9,NO,42,,31,11
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 10,YES,376,,235,141
Bandera County,1-Mar-22,Republican Primary ,17,2,101,1856,Proposition 10,NO,36,,26,10
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"United States Representative, District No. 21",Dana Zavorka,65,,37,28
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"United States Representative, District No. 21",Chip Roy,539,,298,241
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"United States Representative, District No. 21",Michael Alexander French,40,,27,13
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"United States Representative, District No. 21",Robert Lowry,42,,26,16
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Rick Perry,34,,15,19
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Don Huffines,57,,30,27
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Danny Harrison,3,,3,0
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Kandy Kaye Horn,6,,4,2
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Allen B. West,98,,59,39
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Paul Belew,7,,4,3
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Greg Abbott,467,,264,203
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Governor,Chad Prather,30,,17,13
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Lieutenant Governor,Aaron Sorrells,45,,26,19
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Lieutenant Governor,Zach Vance,24,,11,13
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Lieutenant Governor,Todd M. Bullis,15,,10,5
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Lieutenant Governor,Daniel Miller,35,,11,24
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Lieutenant Governor,Trayce Bradford,29,,14,15
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Lieutenant Governor,Dan Patrick,528,,315,213
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Attorney General,George P. Bush,129,,51,78
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Attorney General,Eva Guzman,104,,69,35
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Attorney General,Ken Paxton,347,,206,141
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Attorney General,Louie Gohmert,112,,66,46
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Comptroller of Public Accounts,Glenn Hegar,506,,286,220
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Comptroller of Public Accounts,Mark V. Goloby,103,,59,44
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Tim Westley,114,,64,50
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Jon Spiers,55,,29,26
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Dawn Buckingham,292,,165,127
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Victor Avila,33,,19,14
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Don W. Minton,31,,16,15
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Rufus Lopez,16,,11,5
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Ben Armenta,5,,4,1
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of the General Land Office,Weston Martinez,42,,27,15
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of Agriculture,James White,183,,104,79
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of Agriculture,Carey A. Counsil,60,,45,15
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Commissioner of Agriculture,Sid Miller,379,,203,176
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Railroad Commissioner,"Marvin ""Sarge"" Summers",115,,66,49
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Railroad Commissioner,Dawayne Tipton,55,,28,27
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Railroad Commissioner,Wayne Christian,223,,124,99
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Railroad Commissioner,Tom Slocum Jr,85,,47,38
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Railroad Commissioner,Sarah Stogner,97,,60,37
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice, Supreme Court, Place 3",Debra Lehrmann,557,,318,239
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice, Supreme Court, Place 5",Rebeca Huddle,546,,313,233
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice, Supreme Court, Place 9",David J. Schenck,274,,154,120
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice, Supreme Court, Place 9",Evan Young,286,,170,116
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,547,,312,235
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,366,,219,147
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,202,,107,95
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",543,,308,235
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",378,,217,161
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Member, State Board of Education, District No. 1",Lani Popp,193,,99,94
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"State Senator, District No. 24",Lamar Lewis,194,,105,89
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"State Senator, District No. 24",Pete Flores,301,,177,124
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"State Senator, District No. 24",Raul Reyes,133,,78,55
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"State Representative,  District No. 53","Wesley ""Wes"" Virdell",253,,141,112
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"State Representative,  District No. 53",Andrew S. Murr,373,,216,157
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,544,,310,234
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,534,,303,231
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"District Judge, 198th Judicial District","M. Patrick ""Pat"" Maguire",540,,306,234
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,County Judge,Richard A. Evans,368,,209,159
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,County Judge,Susan Junker,247,,141,106
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,County Judge,Dennis Alonzo Fitzgerald,52,,24,28
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,District Clerk,Tammy Kneuper,567,,322,245
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,County Clerk,Tandie Mansfield,572,,321,251
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,County Treasurer,Beverly Schmidt,564,,318,246
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,"Justice of the Peace, Precinct No. 1",Mike Towers,585,,328,257
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,County Chairman,Conrad (Butch) Striegl,559,,312,247
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 1,YES,661,,374,287
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 1,NO,35,,18,17
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 2,YES,548,,302,246
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 2,NO,135,,80,55
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 3,YES,632,,353,279
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 3,NO,65,,39,26
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 4,YES,645,,365,280
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 4,NO,50,,28,22
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 5,YES,595,,337,258
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 5,NO,90,,48,42
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 6,YES,555,,313,242
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 6,NO,115,,66,49
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 7,YES,671,,379,292
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 7,NO,23,,12,11
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 8,YES,656,,370,286
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 8,NO,36,,19,17
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 9,YES,632,,352,280
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 9,NO,57,,37,20
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 10,YES,655,,367,288
Bandera County,1-Mar-22,Republican Primary ,17,2,102,2781,Proposition 10,NO,35,,21,14
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"United States Representative, District No. 21",Dana Zavorka,78,,52,26
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"United States Representative, District No. 21",Chip Roy,409,,264,145
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"United States Representative, District No. 21",Michael Alexander French,31,,20,11
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"United States Representative, District No. 21",Robert Lowry,36,,20,16
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Rick Perry,27,,12,15
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Don Huffines,58,,39,19
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Danny Harrison,1,,0,1
