political_subsdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,"U. S. Representative, District No. 13",Ronny Jackson,,45,41,3,42
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Allen B. West,,2,5,0,2
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Paul Belew,,0,0,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Don Huffines,,2,1,0,2
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Kandy Kaye Horn,,0,0,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Greg Abbott,,38,26,3,35
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Rick Perry,,2,1,0,2
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Danny Harrison,,0,0,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Governor,Chad Prather,,4,8,0,4
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Lieutenant Governor,Dan Patrick,,30,32,3,27
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Lieutenant Governor,Trayce Bradford,,5,2,0,5
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Lieutenant Governor,Aaron Sorrells,,0,1,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Lieutenant Governor,Zach Vance,,6,2,0,6
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Lieutenant Governor,Daniel Miller,,1,1,0,1
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Lieutenant Governor,Todd M. Bullis,,0,0,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Attorney General,Ken Paxton,,24,27,2,22
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Attorney General,Eva Guzman,,12,2,0,12
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Attorney General,Louie Gohmert,,3,5,0,3
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Attorney General,George P. Bush,,7,5,1,6
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Comptroller of Public Accounts,Mark V. Goloby,,5,11,0,5
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Comptroller of Public Accounts,Glenn Hegar,,33,24,1,32
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Tim Westley,,14,14,0,14
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Ben Armenta,,1,0,0,1
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Jon Spiers,,3,8,0,3
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Don W. Minton,,2,4,0,2
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Dawn Buckingham,,14,7,1,13
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Rufus Lopez,,0,1,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Weston Martinez,,0,0,0,0
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of the General Land Office,Victor Avila,,1,1,0,1
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of Agriculture,Sid Miller,,29,27,2,27
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of Agriculture,James White,,13,10,1,12
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Commisioner of Agriculture,Carey A. Counsil,,1,1,0,1
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Railroad Commissioner,Tom Slocum Jr,,10,12,0,10
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Railroad Commissioner,"Marvin ""Sarge"" Summers",,3,7,0,3
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Railroad Commissioner,Dawayne Tipton,,6,6,0,6
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Railroad Commissioner,Wayne Christian,,16,9,1,15
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,Railroad Commissioner,Sarah Stogner,,3,1,0,3
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,,35,36,0,35
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,,35,35,0,35
Roberts County,3/1/2022,Primary,0,0,1 - REP,0,"Justice, Supreme Court, Place 9",David J. Schenck,,22,14,1,21
