"Box 101" ,5 ,"Straight Party" ,20 ,"Republican" ,"REP" ,"Election Day" ,108 ,
"Box 101" ,5 ,"Straight Party" ,20 ,"Republican" ,"REP" ,"Early Voting" ,191 ,
"Box 101" ,5 ,"Straight Party" ,20 ,"Republican" ,"REP" ,"EV Mail" ,10 ,
"Box 101" ,5 ,"Straight Party" ,20 ,"Republican" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,5 ,"Straight Party" ,20 ,"Republican" ,"REP" ,"Total" ,309 ,
"Box 101" ,5 ,"Straight Party" ,30 ,"Democratic" ,"DEM" ,"Election Day" ,103 ,
"Box 101" ,5 ,"Straight Party" ,30 ,"Democratic" ,"DEM" ,"Early Voting" ,130 ,
"Box 101" ,5 ,"Straight Party" ,30 ,"Democratic" ,"DEM" ,"EV Mail" ,4 ,
"Box 101" ,5 ,"Straight Party" ,30 ,"Democratic" ,"DEM" ,"Provisional" ,1 ,
"Box 101" ,5 ,"Straight Party" ,30 ,"Democratic" ,"DEM" ,"Total" ,238 ,
"Box 101" ,5 ,"Straight Party" ,40 ,"Libertarian" ,"LIB" ,"Election Day" ,3 ,
"Box 101" ,5 ,"Straight Party" ,40 ,"Libertarian" ,"LIB" ,"Early Voting" ,2 ,
"Box 101" ,5 ,"Straight Party" ,40 ,"Libertarian" ,"LIB" ,"EV Mail" ,0 ,
"Box 101" ,5 ,"Straight Party" ,40 ,"Libertarian" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,5 ,"Straight Party" ,40 ,"Libertarian" ,"LIB" ,"Total" ,5 ,
"Box 101" ,5 ,"Straight Party" ,50 ,"Green" ,"GRN" ,"Election Day" ,0 ,
"Box 101" ,5 ,"Straight Party" ,50 ,"Green" ,"GRN" ,"Early Voting" ,1 ,
"Box 101" ,5 ,"Straight Party" ,50 ,"Green" ,"GRN" ,"EV Mail" ,2 ,
"Box 101" ,5 ,"Straight Party" ,50 ,"Green" ,"GRN" ,"Provisional" ,0 ,
"Box 101" ,5 ,"Straight Party" ,50 ,"Green" ,"GRN" ,"Total" ,3 ,
"Box 101" ,10 ,"President/V President" ,10 ,"Romney/Ryan" ,"REP" ,"Election Day" ,253 ,
"Box 101" ,10 ,"President/V President" ,10 ,"Romney/Ryan" ,"REP" ,"Early Voting" ,488 ,
"Box 101" ,10 ,"President/V President" ,10 ,"Romney/Ryan" ,"REP" ,"EV Mail" ,25 ,
"Box 101" ,10 ,"President/V President" ,10 ,"Romney/Ryan" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"President/V President" ,10 ,"Romney/Ryan" ,"REP" ,"Total" ,766 ,
"Box 101" ,10 ,"President/V President" ,20 ,"Obama/Biden" ,"DEM" ,"Election Day" ,197 ,
"Box 101" ,10 ,"President/V President" ,20 ,"Obama/Biden" ,"DEM" ,"Early Voting" ,266 ,
"Box 101" ,10 ,"President/V President" ,20 ,"Obama/Biden" ,"DEM" ,"EV Mail" ,4 ,
"Box 101" ,10 ,"President/V President" ,20 ,"Obama/Biden" ,"DEM" ,"Provisional" ,1 ,
"Box 101" ,10 ,"President/V President" ,20 ,"Obama/Biden" ,"DEM" ,"Total" ,468 ,
"Box 101" ,10 ,"President/V President" ,30 ,"Johsnon/Gray" ,"LIB" ,"Election Day" ,6 ,
"Box 101" ,10 ,"President/V President" ,30 ,"Johsnon/Gray" ,"LIB" ,"Early Voting" ,5 ,
"Box 101" ,10 ,"President/V President" ,30 ,"Johsnon/Gray" ,"LIB" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"President/V President" ,30 ,"Johsnon/Gray" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,10 ,"President/V President" ,30 ,"Johsnon/Gray" ,"LIB" ,"Total" ,11 ,
"Box 101" ,10 ,"President/V President" ,40 ,"Stein/Honkala" ,"GRN" ,"Election Day" ,2 ,
"Box 101" ,10 ,"President/V President" ,40 ,"Stein/Honkala" ,"GRN" ,"Early Voting" ,2 ,
"Box 101" ,10 ,"President/V President" ,40 ,"Stein/Honkala" ,"GRN" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"President/V President" ,40 ,"Stein/Honkala" ,"GRN" ,"Provisional" ,0 ,
"Box 101" ,10 ,"President/V President" ,40 ,"Stein/Honkala" ,"GRN" ,"Total" ,4 ,
"Box 101" ,10 ,"President/V President" ,50 ,"Write-in 50" ,"NP" ,"Election Day" ,0 ,
"Box 101" ,10 ,"President/V President" ,50 ,"Write-in 50" ,"NP" ,"Early Voting" ,1 ,
"Box 101" ,10 ,"President/V President" ,50 ,"Write-in 50" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"President/V President" ,50 ,"Write-in 50" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"President/V President" ,50 ,"Write-in 50" ,"NP" ,"Total" ,1 ,
"Box 101" ,30 ,"US Senator" ,10 ,"Ted Cruz" ,"REP" ,"Election Day" ,251 ,
"Box 101" ,30 ,"US Senator" ,10 ,"Ted Cruz" ,"REP" ,"Early Voting" ,468 ,
"Box 101" ,30 ,"US Senator" ,10 ,"Ted Cruz" ,"REP" ,"EV Mail" ,23 ,
"Box 101" ,30 ,"US Senator" ,10 ,"Ted Cruz" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,30 ,"US Senator" ,10 ,"Ted Cruz" ,"REP" ,"Total" ,742 ,
"Box 101" ,30 ,"US Senator" ,20 ,"Paul Sadler" ,"DEM" ,"Election Day" ,183 ,
"Box 101" ,30 ,"US Senator" ,20 ,"Paul Sadler" ,"DEM" ,"Early Voting" ,260 ,
"Box 101" ,30 ,"US Senator" ,20 ,"Paul Sadler" ,"DEM" ,"EV Mail" ,4 ,
"Box 101" ,30 ,"US Senator" ,20 ,"Paul Sadler" ,"DEM" ,"Provisional" ,1 ,
"Box 101" ,30 ,"US Senator" ,20 ,"Paul Sadler" ,"DEM" ,"Total" ,448 ,
"Box 101" ,30 ,"US Senator" ,30 ,"John Jay Myers" ,"LIB" ,"Election Day" ,14 ,
"Box 101" ,30 ,"US Senator" ,30 ,"John Jay Myers" ,"LIB" ,"Early Voting" ,19 ,
"Box 101" ,30 ,"US Senator" ,30 ,"John Jay Myers" ,"LIB" ,"EV Mail" ,2 ,
"Box 101" ,30 ,"US Senator" ,30 ,"John Jay Myers" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,30 ,"US Senator" ,30 ,"John Jay Myers" ,"LIB" ,"Total" ,35 ,
"Box 101" ,30 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Election Day" ,1 ,
"Box 101" ,30 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Early Voting" ,6 ,
"Box 101" ,30 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"EV Mail" ,0 ,
"Box 101" ,30 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Provisional" ,0 ,
"Box 101" ,30 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Total" ,7 ,
