"101" ,10 ,"President" ,"NP" ,5 ,"Rick Santorum" ,"NP" ,"Election Day TS" ,7 ,
"101" ,10 ,"President" ,"NP" ,5 ,"Rick Santorum" ,"NP" ,"Election Day OS" ,0 ,
"101" ,10 ,"President" ,"NP" ,5 ,"Rick Santorum" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,5 ,"Rick Santorum" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,10 ,"President" ,"NP" ,5 ,"Rick Santorum" ,"NP" ,"Early Voting" ,9 ,
"101" ,10 ,"President" ,"NP" ,5 ,"Rick Santorum" ,"NP" ,"Total" ,16 ,
"101" ,10 ,"President" ,"NP" ,8 ,"Ron Paul" ,"NP" ,"Election Day TS" ,8 ,
"101" ,10 ,"President" ,"NP" ,8 ,"Ron Paul" ,"NP" ,"Election Day OS" ,0 ,
"101" ,10 ,"President" ,"NP" ,8 ,"Ron Paul" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,8 ,"Ron Paul" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,10 ,"President" ,"NP" ,8 ,"Ron Paul" ,"NP" ,"Early Voting" ,10 ,
"101" ,10 ,"President" ,"NP" ,8 ,"Ron Paul" ,"NP" ,"Total" ,18 ,
"101" ,10 ,"President" ,"NP" ,11 ,"Mitt Romney" ,"NP" ,"Election Day TS" ,42 ,
"101" ,10 ,"President" ,"NP" ,11 ,"Mitt Romney" ,"NP" ,"Election Day OS" ,0 ,
"101" ,10 ,"President" ,"NP" ,11 ,"Mitt Romney" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,11 ,"Mitt Romney" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,10 ,"President" ,"NP" ,11 ,"Mitt Romney" ,"NP" ,"Early Voting" ,50 ,
"101" ,10 ,"President" ,"NP" ,11 ,"Mitt Romney" ,"NP" ,"Total" ,92 ,
"101" ,10 ,"President" ,"NP" ,16 ,"Michele Bachmann" ,"NP" ,"Election Day TS" ,0 ,
"101" ,10 ,"President" ,"NP" ,16 ,"Michele Bachmann" ,"NP" ,"Election Day OS" ,0 ,
"101" ,10 ,"President" ,"NP" ,16 ,"Michele Bachmann" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,16 ,"Michele Bachmann" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,10 ,"President" ,"NP" ,16 ,"Michele Bachmann" ,"NP" ,"Early Voting" ,1 ,
"101" ,10 ,"President" ,"NP" ,16 ,"Michele Bachmann" ,"NP" ,"Total" ,1 ,
"101" ,10 ,"President" ,"NP" ,19 ,"Jon Huntsman" ,"NP" ,"Election Day TS" ,1 ,
"101" ,10 ,"President" ,"NP" ,19 ,"Jon Huntsman" ,"NP" ,"Election Day OS" ,0 ,
"101" ,10 ,"President" ,"NP" ,19 ,"Jon Huntsman" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,19 ,"Jon Huntsman" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,10 ,"President" ,"NP" ,19 ,"Jon Huntsman" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,19 ,"Jon Huntsman" ,"NP" ,"Total" ,1 ,
"101" ,10 ,"President" ,"NP" ,23 ,"John Davis" ,"NP" ,"Election Day TS" ,0 ,
"101" ,10 ,"President" ,"NP" ,23 ,"John Davis" ,"NP" ,"Election Day OS" ,0 ,
"101" ,10 ,"President" ,"NP" ,23 ,"John Davis" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,23 ,"John Davis" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,10 ,"President" ,"NP" ,23 ,"John Davis" ,"NP" ,"Early Voting" ,0 ,
"101" ,10 ,"President" ,"NP" ,23 ,"John Davis" ,"NP" ,"Total" ,0 ,
"101" ,10 ,"President" ,"NP" ,27 ,"Newt Gingrich" ,"NP" ,"Election Day TS" ,4 ,
