Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
101,,1,11,1,1,567,0.16,4,4,President,DEMOCRAT,1,1,John Wolfe,C,1,,93,7,7,0,0,0,0,0,13,1,0,0,80,6,7,0
101,,1,11,1,1,567,0.16,4,4,President,DEMOCRAT,1,2,Darcy G. Richardson,C,2,,93,3,7,0,0,0,0,0,13,1,0,0,80,2,7,0
101,,1,11,1,1,567,0.16,4,4,President,DEMOCRAT,1,3,Bob Ely,C,3,,93,1,7,0,0,0,0,0,13,0,0,0,80,1,7,0
101,,1,11,1,1,567,0.16,4,4,President,DEMOCRAT,1,4,Barack Obama,C,4,,93,27,7,0,0,0,0,0,13,1,0,0,80,26,7,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,1,Rick Santorum,C,1,,93,10,2,0,0,0,0,0,13,2,0,0,80,8,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,2,Newt Gingrich,C,2,,93,5,2,0,0,0,0,0,13,1,0,0,80,4,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,3,"Charles ""Buddy"" Roemer",C,3,,93,0,2,0,0,0,0,0,13,0,0,0,80,0,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,4,Mitt Romney,C,4,,93,26,2,0,0,0,0,0,13,6,0,0,80,20,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,5,Jon Huntsman,C,5,,93,0,2,0,0,0,0,0,13,0,0,0,80,0,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,6,John Davis,C,6,,93,1,2,0,0,0,0,0,13,0,0,0,80,1,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,7,Ron Paul,C,7,,93,2,2,0,0,0,0,0,13,0,0,0,80,2,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,8,Michele Bachmann,C,8,,93,0,2,0,0,0,0,0,13,0,0,0,80,0,2,0
101,,1,11,1,1,567,0.16,5,5,President,REPUBLICAN,1,9,Uncommitted,C,9,,93,2,2,0,0,0,0,0,13,1,0,0,80,1,2,0
101,,1,11,1,1,567,0.16,6,6,United States Senator,DEMOCRAT,1,1,Sean Hubbard,C,1,,93,8,15,0,0,0,0,0,13,1,2,0,80,7,13,0
101,,1,11,1,1,567,0.16,6,6,United States Senator,DEMOCRAT,1,2,Paul Sadler,C,2,,93,10,15,0,0,0,0,0,13,0,2,0,80,10,13,0
101,,1,11,1,1,567,0.16,6,6,United States Senator,DEMOCRAT,1,3,Grady Yarbrough,C,3,,93,11,15,0,0,0,0,0,13,0,2,0,80,11,13,0
101,,1,11,1,1,567,0.16,6,6,United States Senator,DEMOCRAT,1,4,Addie Dainell Allen,C,4,,93,1,15,0,0,0,0,0,13,0,2,0,80,1,13,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,1,David Dewhurst,C,1,,93,29,3,0,0,0,0,0,13,5,1,0,80,24,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,2,Ted Cruz,C,2,,93,15,3,0,0,0,0,0,13,4,1,0,80,11,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,3,Craig James,C,3,,93,1,3,0,0,0,0,0,13,0,1,0,80,1,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,4,Ben Gambini,C,4,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,5,Joe Agris,C,5,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,6,Curt Cleaver,C,6,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,7,Tom Leppert,C,7,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,8,Lela Pittenger,C,8,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,7,7,United States Senator,REPUBLICAN,1,9,Glenn Addison,C,9,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,8,8,"United States Representative, District 27",DEMOCRAT,1,1,Jerry J. Trevino,C,1,,93,26,10,0,0,0,0,0,13,0,2,0,80,26,8,0
101,,1,11,1,1,567,0.16,8,8,"United States Representative, District 27",DEMOCRAT,1,2,Murphy Alade Junaid,C,2,,93,0,10,0,0,0,0,0,13,0,2,0,80,0,8,0
101,,1,11,1,1,567,0.16,8,8,"United States Representative, District 27",DEMOCRAT,1,3,Rose Meza Harrison,C,3,,93,7,10,0,0,0,0,0,13,0,2,0,80,7,8,0
101,,1,11,1,1,567,0.16,8,8,"United States Representative, District 27",DEMOCRAT,1,4,Ronnie C. McDonald,C,4,,93,2,10,0,0,0,0,0,13,1,2,0,80,1,8,0
101,,1,11,1,1,567,0.16,9,9,"United States Representative, District 27",REPUBLICAN,1,1,Blake Farenthold,C,1,,93,39,3,0,0,0,0,0,13,7,1,0,80,32,2,0
101,,1,11,1,1,567,0.16,9,9,"United States Representative, District 27",REPUBLICAN,1,2,Trey Roberts,C,2,,93,3,3,0,0,0,0,0,13,1,1,0,80,2,2,0
101,,1,11,1,1,567,0.16,9,9,"United States Representative, District 27",REPUBLICAN,1,3,John Grunwold,C,3,,93,3,3,0,0,0,0,0,13,1,1,0,80,2,2,0
101,,1,11,1,1,567,0.16,9,9,"United States Representative, District 27",REPUBLICAN,1,4,Don Al Middlebrook,C,4,,93,0,3,0,0,0,0,0,13,0,1,0,80,0,2,0
101,,1,11,1,1,567,0.16,12,12,Railroad Commissioner,DEMOCRAT,1,1,Dale Henry,C,1,,93,25,20,0,0,0,0,0,13,1,2,0,80,24,18,0
101,,1,11,1,1,567,0.16,13,13,Railroad Commissioner,REPUBLICAN,1,1,Warren Chisum,C,1,,93,6,8,0,0,0,0,0,13,0,1,0,80,6,7,0
101,,1,11,1,1,567,0.16,13,13,Railroad Commissioner,REPUBLICAN,1,2,Becky Berger,C,2,,93,4,8,0,0,0,0,0,13,2,1,0,80,2,7,0
101,,1,11,1,1,567,0.16,13,13,Railroad Commissioner,REPUBLICAN,1,3,Beryl Burgess,C,3,,93,3,8,0,0,0,0,0,13,0,1,0,80,3,7,0
101,,1,11,1,1,567,0.16,13,13,Railroad Commissioner,REPUBLICAN,1,4,Roland Sledge,C,4,,93,2,8,0,0,0,0,0,13,1,1,0,80,1,7,0
101,,1,11,1,1,567,0.16,13,13,Railroad Commissioner,REPUBLICAN,1,5,Joe Cotton,C,5,,93,19,8,0,0,0,0,0,13,4,1,0,80,15,7,0
101,,1,11,1,1,567,0.16,13,13,Railroad Commissioner,REPUBLICAN,1,6,Christi Craddick,C,6,,93,6,8,0,0,0,0,0,13,2,1,0,80,4,7,0
101,,1,11,1,1,567,0.16,14,14,Railroad Commissioner(Unexpired Term),REPUBLICAN,1,1,Elizabeth Murray-Kolb,C,1,,93,12,5,0,0,0,0,0,13,4,2,0,80,8,3,0
101,,1,11,1,1,567,0.16,14,14,Railroad Commissioner(Unexpired Term),REPUBLICAN,1,2,Barry Smitherman,C,2,,93,14,5,0,0,0,0,0,13,2,2,0,80,12,3,0
101,,1,11,1,1,567,0.16,14,14,Railroad Commissioner(Unexpired Term),REPUBLICAN,1,3,Greg Parker,C,3,,93,14,5,0,0,0,0,0,13,2,2,0,80,12,3,0
101,,1,11,1,1,567,0.16,14,14,Railroad Commissioner(Unexpired Term),REPUBLICAN,1,4,Al Lee,C,4,,93,3,5,0,0,0,0,0,13,0,2,0,80,3,3,0
101,,1,11,1,1,567,0.16,15,15,"Justice, Supreme Court, Place 2",REPUBLICAN,1,1,Steve Smith,C,1,,93,17,8,0,0,0,0,0,13,2,1,0,80,15,7,0
101,,1,11,1,1,567,0.16,15,15,"Justice, Supreme Court, Place 2",REPUBLICAN,1,2,Don Willett,C,2,,93,23,8,0,0,0,0,0,13,7,1,0,80,16,7,0
101,,1,11,1,1,567,0.16,16,16,"Justice, Supreme Court, Place 4",REPUBLICAN,1,1,John Devine,C,1,,93,20,9,0,0,0,0,0,13,4,2,0,80,16,7,0
101,,1,11,1,1,567,0.16,16,16,"Justice, Supreme Court, Place 4",REPUBLICAN,1,2,"Joe Pool, Jr.",C,2,,93,10,9,0,0,0,0,0,13,1,2,0,80,9,7,0
101,,1,11,1,1,567,0.16,16,16,"Justice, Supreme Court, Place 4",REPUBLICAN,1,3,David Medina,C,3,,93,9,9,0,0,0,0,0,13,3,2,0,80,6,7,0
101,,1,11,1,1,567,0.16,17,17,"Justice, Supreme Court, Place 6",DEMOCRAT,1,1,Michele Petty,C,1,,93,24,21,0,0,0,0,0,13,1,2,0,80,23,19,0
