COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 25","US Representative, Dist 25","US Representative, Dist 25",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 14","Member, State BoE, Dist 14","State Senator, Dist 24","State Senator, Dist 24","State Representative, Dist 54","State Representative, Dist 54","Chief Justice, 3rd Ct of App Dist","Chief Justice, 3rd Ct of App Dist","Dist Judge, 27th Judicial Dist",County Attorney,Sheriff,County Tax Assessor-Collector,County Commissioner,County Commissioner,Constable,Constable,Constable,"Council Member, Position 6","Council Member, Position 6","Council Member, Position 6","Council Member, Position 6","Council Member, Position 7",Proposition No. 1,Proposition No. 1,Councilperson Place I,Councilperson Place I,Councilperson Place II,Councilperson Place II,Councilperson Place V,Councilperson Place V,Special Election to Adopt City Manager,Special Election to Adopt City Manager,Councilperson Place Three,Councilperson Place Three,Councilperson Place Four,Councilperson Place Five,Councilperson Place Five,Mayor,Mayor,Mayor,Councilmember,Councilmember,Councilmember,Councilmember,Trustees,Trustees,Trustees,School Board Member,School Board Member,
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,REP Roger Williams,DEM Julie Oliver,LIB Bill Kelsey,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,"GRN Katija ""Kat"" Gruene",REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Sue Melton-Malone,DEM Greg Alvord,REP Dawn Buckingham,DEM Clayton Tucker,REP Brad Buckley,"DEM Likeithia ""Keke"" Williams",REP Jeff Rose,DEM Darlene Byrne,REP John Gauntt,REP John Greenwood,REP Jess G. Ramos,REP Betty Salinas,REP Bobby Carroll,REP Lewis Bridges,REP Dennis A. James,REP Misty Maldonado,REP Gilbert Esparza,"Theresa ""Terri"" Deans",Gary Kent,Marc Payne,Vonya Hart,Jack Smith,For,Against,Norm Parker,Vance Rodgers,Jared B. Jones,Betty M. Parker,Melba Vandeveer,Anelicia Cheney-Campbell,For,Against,Gordon G. Nelson,Chuck Williamson,Catherine Haby Kuehne,Bob Goodart,Zachary Taylor,Carlos Garcia,Stephen Brister Hicks,Sarah J. Salinas,Shirl Rae Shineldecker,Doug Brister,"Luella ""Ronnie"" Cartwright",Larry Koch,Tom Guthrie,Ty-Bo Tyson,Brian Geeslin,Amanda Tower,Tabitha Whitehead,
LAMPA,0001,Precinct 1,2117,169,0,74,90,4,0,74,84,7,1,75,86,5,76,77,6,5,74,84,6,81,82,73,84,5,73,82,7,77,85,78,82,76,86,81,79,80,83,84,82,75,86,110,114,114,116,114,0,0,0,112,10,3,4,7,21,29,8,4,9,7,6,5,9,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0001,Precinct 1,2117,1021,0,731,271,15,2,739,251,15,8,704,241,21,743,230,24,10,726,252,31,753,248,732,247,25,739,239,26,742,261,752,246,753,246,724,221,727,244,724,233,716,247,868,855,869,863,862,0,0,0,862,79,63,47,31,219,168,87,41,34,50,24,33,43,44,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0001,Precinct 1,2117,307,0,242,58,4,2,239,54,7,4,245,50,9,245,49,6,4,237,54,14,250,55,237,55,13,242,53,9,245,59,248,57,249,55,242,61,250,55,243,59,248,56,291,292,292,290,291,0,0,0,290,23,12,17,8,61,49,17,19,14,24,11,23,11,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0002,Precinct 2,3561,268,0,158,105,2,1,164,94,4,3,163,97,3,161,92,5,3,165,95,3,166,96,162,97,4,163,95,5,160,100,163,97,165,97,167,95,165,97,173,90,160,100,198,203,214,204,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,62,134,74,70,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0002,Precinct 2,3561,2012,0,1686,302,13,5,1680,274,27,11,1682,290,26,1683,258,28,17,1673,287,28,1705,278,1675,269,34,1688,258,33,1700,278,1711,266,1700,269,1700,273,1708,282,1755,244,1702,270,1867,1906,1902,1925,0,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,519,1271,689,608,0,0,0,0,0,0,0,0,0,0,2,9,
LAMPA,0002,Precinct 2,3561,236,0,201,28,5,0,209,18,5,2,202,21,8,201,23,6,3,198,23,11,211,23,199,24,10,201,22,10,206,27,208,26,211,22,211,21,206,28,211,23,207,27,218,222,225,226,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,60,152,67,88,0,0,0,0,0,0,0,0,0,0,0,1,
LAMPA,0003,Precinct 3,2225,138,0,66,68,1,0,69,65,0,1,72,64,0,72,63,1,1,70,67,0,68,66,66,67,1,73,63,0,70,64,72,63,71,64,67,67,64,70,73,61,71,65,91,92,102,96,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,38,72,37,41,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0003,Precinct 3,2225,973,0,752,199,15,2,749,179,20,8,759,186,15,753,172,21,7,753,177,23,771,179,757,176,20,760,167,22,765,186,765,185,773,176,773,180,766,190,786,172,773,178,882,890,896,900,0,894,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,249,669,367,303,0,0,0,0,0,0,0,0,0,0,2,1,
