#FormatVersion 1
#Precinct,Precinct ID,Precinct Reporting,"Registered Voters","Ballots Cast","Turnout Percentage",Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,"Absentee Voting Votes","Absentee Voting Overvotes","Absentee Voting Undervotes","Absentee Voting Invalid Votes","Early Voting Votes","Early Voting Overvotes","Early Voting Undervotes","Early Voting Invalid Votes","Election Day Voting Votes","Election Day Voting Overvotes","Election Day Voting Undervotes","Election Day Voting Invalid Votes"
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Donald J. Trump Michael R. Pence",1,"REP",1926,2,20,0,220,2,5,0,1512,0,14,0,194,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Joseph R. Biden Kamala D. Harris",2,"DEM",1073,2,20,0,223,2,5,0,775,0,14,0,75,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Jo Jorgensen Jeremy ""Spike"" Cohen",3,"LIB",46,2,20,0,2,2,5,0,35,0,14,0,9,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Howie Hawkins Angela Walker",4,"GRN",9,2,20,0,1,2,5,0,6,0,14,0,2,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Abram Loeb/Jennifer Jairala",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Brian Carroll/Amar Patel",0,"",1,2,20,0,0,2,5,0,1,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Gloria La Riva/Leonard Peltier",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Jesse Cuellar/Jimmy Monreal",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Kasey Wells/Rachel Wells",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","President R. Bodie/Eric Stoneham",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Robert Morrow/Anne Beckett",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Todd Cella/Tim Cella",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Tom Hoefling/Andy Prior",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Rejected write-ins",0,"",10,2,20,0,3,2,5,0,7,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"President and Vice President",9,"","Unassigned write-ins",0,"",0,2,20,0,0,2,5,0,0,0,14,0,0,0,1,0
"101",1,Reporting         ,4000,3087,77.18,"United States Senator",17,"","John Cornyn",1,"REP",2016,0,36,0,246,0,8,0,1572,0,26,0,198,0,2,0
"101",1,Reporting         ,4000,3087,77.18,"United States Senator",17,"","Mary ""MJ"" Hegar",2,"DEM",940,0,36,0,195,0,8,0,682,0,26,0,63,0,2,0
"101",1,Reporting         ,4000,3087,77.18,"United States Senator",17,"","Kerry Douglas McKennon",3,"LIB",78,0,36,0,6,0,8,0,55,0,26,0,17,0,2,0
"101",1,Reporting         ,4000,3087,77.18,"United States Senator",17,"","David B. Collins",4,"GRN",16,0,36,0,1,0,8,0,14,0,26,0,1,0,2,0
"101",1,Reporting         ,4000,3087,77.18,"United States Senator",17,"","Ricardo Turullois-Bonilla",0,"",0,0,36,0,0,0,8,0,0,0,26,0,0,0,2,0
"101",1,Reporting         ,4000,3087,77.18,"United States Senator",17,"","Rejected write-ins",0,"",1,0,36,0,0,0,8,0,1,0,26,0,0,0,2,0
