political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Donald J. Trump/Michael R. Pence,REP,2831,469,150,2681
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,414,73,101,313
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LIB,26,8,2,24
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Howie Hawkins/Angela Walker,GRN,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Abram Loeb/Jennifer Jairala,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Brian Carroll/Amar Patel,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Gloria La Riva/Leonard Peltier,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Jesse Cuellar/Jimmy Monreal,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Kasey Wells/Rachel Wells,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,President R. Boddie/Eric C. Stoneham,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Robert Morrow/Anne Beckett,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Todd Cella/Tim Cella,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Tom Hoefling/Andy Prior,,2,0,0,2
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Rejected write-ins,,4,0,0,4
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,President/Vice President,Unassigned write-ins,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,John Cornyn,REP,2803,458,152,2651
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,"Mary ""MJ"" Hegar",DEM,388,68,91,297
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,Kerry Douglas McKennon,LIB,55,14,4,51
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,David B. Collins,GRN,7,4,1,6
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,Ricardo Turullols-Bonilla,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,Rejected write-ins,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,United States Senator,Unassigned write-ins,,0,0,0,0
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"United States Representative, District 13",Ronny Jackson,REP,2794,460,150,2644
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"United States Representative, District 13",Gus Trujillo,DEM,408,71,93,315
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"United States Representative, District 13",Jack B. Westbrook,LIB,55,16,4,51
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,Railroad Commissioner,"James ""Jim"" Wright",REP,2787,453,150,2637
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,Railroad Commissioner,Chrysta Castañeda,DEM,379,70,90,289
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,Railroad Commissioner,Matt Sterett,LIB,64,17,4,60
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,11,3,1,10
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Chief Justice, Supreme Court",Nathan Hecht,REP,2776,451,150,2626
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,404,71,93,311
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Chief Justice, Supreme Court",Mark Ash,LIB,63,21,3,60
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 6, Unexpired Term",Jane Bland,REP,2848,472,151,2697
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 6, Unexpired Term",Kathy Cheng,DEM,385,69,94,291
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,2785,457,146,2639
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 7",Staci Williams,DEM,394,66,95,299
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 7",William Bryan Strange III,LIB,63,19,4,59
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 8",Brett Busby,REP,2801,454,151,2650
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 8",Gisela D. Triana,DEM,379,65,89,290
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Justice, Supreme Court, Place 8",Tom Oxford,LIB,59,21,5,54
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,REP,2817,469,152,2665
Randall County,11/3/20,General Election,34,27,110 COUNTY,5331,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,DEM,412,69,94,318
