political_subdivison,election_date,election_name,total provisionals ballots,total provisional ballots counted,#FormatVersion 1,,,,,,
Red River,11/3/2020,General,18,6,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Red River,11/3/2020,General,18,6,11,233,President and Vice President,Donald J. Trump Michael R. Pence,REP,101,38
Red River,11/3/2020,General,18,6,11,233,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,16,3
Red River,11/3/2020,General,18,6,11,233,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,0
Red River,11/3/2020,General,18,6,11,233,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0
Red River,11/3/2020,General,18,6,11,233,President and Vice President,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,11,233,President and Vice President,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,11,233,United States Senator,John Cornyn,REP,99,35
Red River,11/3/2020,General,18,6,11,233,United States Senator,"Mary ""MJ"" Hegar",DEM,13,4
Red River,11/3/2020,General,18,6,11,233,United States Senator,Kerry Douglas McKennon,LIB,1,0
Red River,11/3/2020,General,18,6,11,233,United States Senator,David B. Collins,GRN,0,0
Red River,11/3/2020,General,18,6,11,233,United States Senator,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,11,233,United States Senator,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,11,233,"United States Representative, District No. 4",Pat Fallon,REP,98,36
Red River,11/3/2020,General,18,6,11,233,"United States Representative, District No. 4",Russell Foster,DEM,11,2
Red River,11/3/2020,General,18,6,11,233,"United States Representative, District No. 4",Lou Antonelli,LIB,4,0
Red River,11/3/2020,General,18,6,11,233,"United States Representative, District No. 4",Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,11,233,"United States Representative, District No. 4",Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,11,233,Railroad Commissioner,"James ""Jim"" Wright",REP,100,36
Red River,11/3/2020,General,18,6,11,233,Railroad Commissioner,Chrysta Castañeda,DEM,13,3
Red River,11/3/2020,General,18,6,11,233,Railroad Commissioner,Matt Sterett,LIB,0,0
Red River,11/3/2020,General,18,6,11,233,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,0,0
Red River,11/3/2020,General,18,6,11,233,"Chief Justice, Supreme Court",Nathan Hecht,REP,102,35
Red River,11/3/2020,General,18,6,11,233,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,11,3
Red River,11/3/2020,General,18,6,11,233,"Chief Justice, Supreme Court",Mark Ash,LIB,1,0
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,101,36
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,12,2
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,101,35
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,12,2
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,0,0
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,102,35
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,11,2
Red River,11/3/2020,General,18,6,11,233,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,0,0
Red River,11/3/2020,General,18,6,11,233,"Judge, Court of Criminal Appeals, Place No. 3",Bert Richardson,REP,99,34
Red River,11/3/2020,General,18,6,11,233,"Judge, Court of Criminal Appeals, Place No. 3",Elizabeth Davis Frizell,DEM,14,3
