Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
President and Vice President,2,Absentee Voting,Donald J. Trump Michael R. Pence,REP,48,77.42%,1224,90.60%,62,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Early Voting,Donald J. Trump Michael R. Pence,REP,1025,92.09%,1224,90.60%,1113,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Election Day Voting,Donald J. Trump Michael R. Pence,REP,151,85.80%,1224,90.60%,176,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Absentee Voting,Joseph R. Biden Kamala D. Harris,DEM,13,20.97%,112,8.29%,62,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Early Voting,Joseph R. Biden Kamala D. Harris,DEM,80,7.19%,112,8.29%,1113,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Election Day Voting,Joseph R. Biden Kamala D. Harris,DEM,19,10.80%,112,8.29%,176,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Absentee Voting,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,1,1.61%,13,0.96%,62,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Early Voting,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,6,0.54%,13,0.96%,1113,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Election Day Voting,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,6,3.41%,13,0.96%,176,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Absentee Voting,Howie Hawkins Angela Walker,GRN,0,0.00%,1,0.07%,62,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Early Voting,Howie Hawkins Angela Walker,GRN,1,0.09%,1,0.07%,1113,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Election Day Voting,Howie Hawkins Angela Walker,GRN,0,0.00%,1,0.07%,176,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Absentee Voting,Brian Carroll (W),,0,0.00%,1,0.07%,62,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Early Voting,Brian Carroll (W),,1,0.09%,1,0.07%,1113,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Election Day Voting,Brian Carroll (W),,0,0.00%,1,0.07%,176,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Absentee Voting,JOAQUIN GUZMAN (W),,0,0.00%,0,0.00%,62,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Early Voting,JOAQUIN GUZMAN (W),,0,0.00%,0,0.00%,1113,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
President and Vice President,2,Election Day Voting,JOAQUIN GUZMAN (W),,0,0.00%,0,0.00%,176,100.00%,1351,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator,2,Absentee Voting,John Cornyn,REP,49,79.03%,1178,89.86%,62,100.00%,1311,100.00%,0,40,0,0,0,0,0,0,0,0
United States Senator,2,Early Voting,John Cornyn,REP,984,91.20%,1178,89.86%,1079,100.00%,1311,100.00%,34,40,0,0,0,0,0,0,0,0
United States Senator,2,Election Day Voting,John Cornyn,REP,145,85.29%,1178,89.86%,170,100.00%,1311,100.00%,6,40,0,0,0,0,0,0,0,0
United States Senator,2,Absentee Voting,"Mary ""MJ"" Hegar",DEM,13,20.97%,111,8.47%,62,100.00%,1311,100.00%,0,40,0,0,0,0,0,0,0,0
United States Senator,2,Early Voting,"Mary ""MJ"" Hegar",DEM,78,7.23%,111,8.47%,1079,100.00%,1311,100.00%,34,40,0,0,0,0,0,0,0,0
United States Senator,2,Election Day Voting,"Mary ""MJ"" Hegar",DEM,20,11.76%,111,8.47%,170,100.00%,1311,100.00%,6,40,0,0,0,0,0,0,0,0
United States Senator,2,Absentee Voting,Kerry Douglas McKennon,LIB,0,0.00%,19,1.45%,62,100.00%,1311,100.00%,0,40,0,0,0,0,0,0,0,0
United States Senator,2,Early Voting,Kerry Douglas McKennon,LIB,14,1.30%,19,1.45%,1079,100.00%,1311,100.00%,34,40,0,0,0,0,0,0,0,0
United States Senator,2,Election Day Voting,Kerry Douglas McKennon,LIB,5,2.94%,19,1.45%,170,100.00%,1311,100.00%,6,40,0,0,0,0,0,0,0,0
United States Senator,2,Absentee Voting,David B. Collins,GRN,0,0.00%,3,0.23%,62,100.00%,1311,100.00%,0,40,0,0,0,0,0,0,0,0
United States Senator,2,Early Voting,David B. Collins,GRN,3,0.28%,3,0.23%,1079,100.00%,1311,100.00%,34,40,0,0,0,0,0,0,0,0
United States Senator,2,Election Day Voting,David B. Collins,GRN,0,0.00%,3,0.23%,170,100.00%,1311,100.00%,6,40,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Absentee Voting,Jodey C. Arrington,REP,46,77.97%,1184,90.52%,59,100.00%,1308,100.00%,3,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Early Voting,Jodey C. Arrington,REP,989,91.74%,1184,90.52%,1078,100.00%,1308,100.00%,35,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Election Day Voting,Jodey C. Arrington,REP,149,87.13%,1184,90.52%,171,100.00%,1308,100.00%,5,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Absentee Voting,Tom Watson,DEM,13,22.03%,101,7.72%,59,100.00%,1308,100.00%,3,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Early Voting,Tom Watson,DEM,71,6.59%,101,7.72%,1078,100.00%,1308,100.00%,35,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Election Day Voting,Tom Watson,DEM,17,9.94%,101,7.72%,171,100.00%,1308,100.00%,5,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Absentee Voting,Joe Burnes,LIB,0,0.00%,23,1.76%,59,100.00%,1308,100.00%,3,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Early Voting,Joe Burnes,LIB,18,1.67%,23,1.76%,1078,100.00%,1308,100.00%,35,43,0,0,0,0,0,0,0,0
"United States Representative, District No. 19",2,Election Day Voting,Joe Burnes,LIB,5,2.92%,23,1.76%,171,100.00%,1308,100.00%,5,43,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Absentee Voting,"James ""Jim"" Wright",REP,47,78.33%,1156,89.34%,60,100.00%,1294,100.00%,2,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Early Voting,"James ""Jim"" Wright",REP,965,90.61%,1156,89.34%,1065,100.00%,1294,100.00%,48,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Election Day Voting,"James ""Jim"" Wright",REP,144,85.21%,1156,89.34%,169,100.00%,1294,100.00%,7,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Absentee Voting,Chrysta Castañeda,DEM,13,21.67%,110,8.50%,60,100.00%,1294,100.00%,2,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Early Voting,Chrysta Castañeda,DEM,81,7.61%,110,8.50%,1065,100.00%,1294,100.00%,48,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Election Day Voting,Chrysta Castañeda,DEM,16,9.47%,110,8.50%,169,100.00%,1294,100.00%,7,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Absentee Voting,Matt Sterett,LIB,0,0.00%,24,1.85%,60,100.00%,1294,100.00%,2,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Early Voting,Matt Sterett,LIB,17,1.60%,24,1.85%,1065,100.00%,1294,100.00%,48,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Election Day Voting,Matt Sterett,LIB,7,4.14%,24,1.85%,169,100.00%,1294,100.00%,7,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Absentee Voting,"Katija ""Kat"" Gruene",GRN,0,0.00%,4,0.31%,60,100.00%,1294,100.00%,2,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Early Voting,"Katija ""Kat"" Gruene",GRN,2,0.19%,4,0.31%,1065,100.00%,1294,100.00%,48,57,0,0,0,0,0,0,0,0
Railroad Commissioner,2,Election Day Voting,"Katija ""Kat"" Gruene",GRN,2,1.18%,4,0.31%,169,100.00%,1294,100.00%,7,57,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Absentee Voting,Nathan Hecht,REP,46,79.31%,1146,89.39%,58,100.00%,1282,100.00%,4,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Early Voting,Nathan Hecht,REP,955,90.44%,1146,89.39%,1056,100.00%,1282,100.00%,57,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Election Day Voting,Nathan Hecht,REP,145,86.31%,1146,89.39%,168,100.00%,1282,100.00%,8,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Absentee Voting,Amy Clark Meachum,DEM,12,20.69%,111,8.66%,58,100.00%,1282,100.00%,4,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Early Voting,Amy Clark Meachum,DEM,80,7.58%,111,8.66%,1056,100.00%,1282,100.00%,57,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Election Day Voting,Amy Clark Meachum,DEM,19,11.31%,111,8.66%,168,100.00%,1282,100.00%,8,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Absentee Voting,Mark Ash,LIB,0,0.00%,25,1.95%,58,100.00%,1282,100.00%,4,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Early Voting,Mark Ash,LIB,21,1.99%,25,1.95%,1056,100.00%,1282,100.00%,57,69,0,0,0,0,0,0,0,0
"Chief Justice, Supreme Court",2,Election Day Voting,Mark Ash,LIB,4,2.38%,25,1.95%,168,100.00%,1282,100.00%,8,69,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 6 Unexpired Term",2,Absentee Voting,Jane Bland,REP,45,77.59%,1177,91.67%,58,100.00%,1284,100.00%,4,67,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 6 Unexpired Term",2,Early Voting,Jane Bland,REP,981,92.72%,1177,91.67%,1058,100.00%,1284,100.00%,55,67,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 6 Unexpired Term",2,Election Day Voting,Jane Bland,REP,151,89.88%,1177,91.67%,168,100.00%,1284,100.00%,8,67,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 6 Unexpired Term",2,Absentee Voting,Kathy Cheng,DEM,13,22.41%,107,8.33%,58,100.00%,1284,100.00%,4,67,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 6 Unexpired Term",2,Early Voting,Kathy Cheng,DEM,77,7.28%,107,8.33%,1058,100.00%,1284,100.00%,55,67,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 6 Unexpired Term",2,Election Day Voting,Kathy Cheng,DEM,17,10.12%,107,8.33%,168,100.00%,1284,100.00%,8,67,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Absentee Voting,Jeff Boyd,REP,46,80.70%,1154,89.81%,57,100.00%,1285,100.00%,5,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Early Voting,Jeff Boyd,REP,964,90.86%,1154,89.81%,1061,100.00%,1285,100.00%,52,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Election Day Voting,Jeff Boyd,REP,144,86.23%,1154,89.81%,167,100.00%,1285,100.00%,9,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Absentee Voting,Staci Williams,DEM,11,19.30%,111,8.64%,57,100.00%,1285,100.00%,5,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Early Voting,Staci Williams,DEM,79,7.45%,111,8.64%,1061,100.00%,1285,100.00%,52,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Election Day Voting,Staci Williams,DEM,21,12.57%,111,8.64%,167,100.00%,1285,100.00%,9,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Absentee Voting,William Bryan Strange III,LIB,0,0.00%,20,1.56%,57,100.00%,1285,100.00%,5,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Early Voting,William Bryan Strange III,LIB,18,1.70%,20,1.56%,1061,100.00%,1285,100.00%,52,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 7",2,Election Day Voting,William Bryan Strange III,LIB,2,1.20%,20,1.56%,167,100.00%,1285,100.00%,9,66,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Absentee Voting,Brett Busby,REP,45,77.59%,1160,90.20%,58,100.00%,1286,100.00%,4,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Early Voting,Brett Busby,REP,968,91.23%,1160,90.20%,1061,100.00%,1286,100.00%,52,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Election Day Voting,Brett Busby,REP,147,88.02%,1160,90.20%,167,100.00%,1286,100.00%,9,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Absentee Voting,Gisela D. Triana,DEM,12,20.69%,105,8.16%,58,100.00%,1286,100.00%,4,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Early Voting,Gisela D. Triana,DEM,76,7.16%,105,8.16%,1061,100.00%,1286,100.00%,52,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Election Day Voting,Gisela D. Triana,DEM,17,10.18%,105,8.16%,167,100.00%,1286,100.00%,9,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Absentee Voting,Tom Oxford,LIB,1,1.72%,21,1.63%,58,100.00%,1286,100.00%,4,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Early Voting,Tom Oxford,LIB,17,1.60%,21,1.63%,1061,100.00%,1286,100.00%,52,65,0,0,0,0,0,0,0,0
"Justice, Supreme Court, Place No. 8",2,Election Day Voting,Tom Oxford,LIB,3,1.80%,21,1.63%,167,100.00%,1286,100.00%,9,65,0,0,0,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place No. 3",2,Absentee Voting,Bert Richardson,REP,46,77.97%,1175,91.16%,59,100.00%,1289,100.00%,3,62,0,0,0,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place No. 3",2,Early Voting,Bert Richardson,REP,982,92.29%,1175,91.16%,1064,100.00%,1289,100.00%,49,62,0,0,0,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place No. 3",2,Election Day Voting,Bert Richardson,REP,147,88.55%,1175,91.16%,166,100.00%,1289,100.00%,10,62,0,0,0,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place No. 3",2,Absentee Voting,Elizabeth Davis Frizell,DEM,13,22.03%,114,8.84%,59,100.00%,1289,100.00%,3,62,0,0,0,0,0,0,0,0
