COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 86","Chief Justice, 7th Ct of App Dist","Justice, 7th Ct of App Dist, Pl 4","Dist Attorney, 69th Judicial Dist",
DALLA,0003,Precinct 3,36,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,6,0,0,6,0,0,6,0,6,0,6,0,6,0,6,6,6,6,
DALLA,0004,Precinct 4,42,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,0,4,0,4,0,0,4,0,0,4,0,4,0,4,0,4,0,4,4,4,4,
DALLA,0004,Precinct 4,42,11,0,0,0,12,0,0,0,12,0,0,12,0,0,0,12,0,0,12,0,12,0,0,12,0,0,12,0,12,0,12,0,11,1,12,12,12,12,
DALLA,0004,Precinct 4,42,14,0,0,0,14,0,0,0,14,0,0,14,0,0,0,14,0,0,13,0,14,0,0,14,0,0,14,0,13,0,13,0,14,0,14,13,13,14,
DALLA,0005,Precinct 5 Stratford ISD,33,3,1,0,0,3,1,0,0,3,1,0,3,1,0,0,3,1,0,3,1,3,1,0,3,1,0,3,1,3,1,3,1,3,1,3,3,3,3,
DALLA,0005,Precinct 5 Stratford ISD,33,10,1,0,0,10,1,0,0,10,1,0,10,1,0,0,11,0,0,11,0,11,0,0,11,0,0,11,0,11,0,11,0,10,1,11,11,11,11,
DALLA,0005,Precinct 5 Stratford ISD,33,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,9,0,0,9,0,9,0,0,9,0,0,9,0,9,0,9,0,9,0,9,9,9,9,
DALLA,0006,Precinct 6 Dalhart ISD,373,13,1,0,0,14,0,0,0,14,0,0,14,0,0,0,13,1,0,13,1,13,1,0,13,1,0,13,1,13,1,13,1,13,1,14,14,14,14,
DALLA,0006,Precinct 6 Dalhart ISD,373,105,17,1,1,101,17,2,1,103,17,2,98,17,3,1,99,14,7,99,17,101,14,3,96,19,4,103,17,102,18,102,16,101,18,112,113,113,113,
DALLA,0006,Precinct 6 Dalhart ISD,373,47,4,1,1,47,4,1,0,47,5,1,46,6,0,1,47,3,3,50,3,48,3,2,48,3,2,50,3,50,3,49,4,48,5,53,53,52,52,
DALLA,0007,Precinct 7 Dalhart ISD,603,14,9,0,0,15,9,0,0,15,8,0,15,7,0,0,13,9,0,14,9,14,9,0,15,8,0,15,8,14,8,14,7,14,9,18,17,18,18,
DALLA,0007,Precinct 7 Dalhart ISD,603,136,22,1,1,133,22,3,0,135,21,2,133,24,0,0,129,24,1,135,22,129,24,2,129,24,2,133,22,130,24,129,26,133,23,145,142,140,143,
DALLA,0007,Precinct 7 Dalhart ISD,603,74,29,0,0,73,27,2,1,74,27,0,72,24,4,1,71,25,5,78,23,72,26,3,72,27,1,76,25,78,23,76,25,77,24,96,99,98,97,
DALLA,0008,Precinct 8,810,35,5,0,0,34,5,0,0,36,4,0,35,5,0,0,34,5,1,35,5,36,4,0,35,5,0,36,4,34,6,35,4,35,5,36,35,35,36,
DALLA,0008,Precinct 8,810,241,30,2,2,238,28,4,0,237,25,9,238,24,7,0,234,31,5,244,27,240,28,3,241,27,2,240,30,239,31,235,32,238,30,259,259,258,260,
DALLA,0008,Precinct 8,810,96,11,3,0,96,13,1,0,93,14,3,93,12,3,0,92,15,3,96,14,92,15,2,92,14,3,96,13,93,16,96,14,96,14,108,109,110,110,
DALLA,0009,Precinct 9 Dalhart ISD,689,20,6,0,0,20,6,0,0,20,6,0,21,5,0,0,20,5,1,22,4,21,4,1,21,5,0,22,4,19,5,21,4,22,4,24,22,22,22,
DALLA,0009,Precinct 9 Dalhart ISD,689,171,25,2,0,166,26,3,2,167,27,4,170,25,1,1,170,24,2,172,24,168,26,3,170,25,2,170,27,175,23,172,25,172,24,184,180,183,184,
DALLA,0009,Precinct 9 Dalhart ISD,689,84,12,5,0,78,18,4,1,81,18,2,79,18,3,1,79,19,3,85,13,83,13,5,80,19,1,83,18,84,17,85,16,87,13,98,100,99,99,
DALLA,ZZZ,COUNTY TOTALS,3043,1389,197,18,5,1369,200,21,5,1371,200,26,1365,192,24,5,1354,198,34,1397,187,1370,190,26,1364,202,20,1392,197,1383,200,1381,198,1386,198,1519,1514,1512,1519,
