COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 86","Chief Justice, 7th Ct of App Dist","Justice, 7th Ct of App Dist, Pl 4","Dist Attorney, 69th Judicial Dist",
,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,REP Ronny Jackson,DEM Gus Trujillo,LIB Jack B. Westbrook,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,"GRN Katija ""Kat"" Gruene",REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Jay Johnson,DEM John Betancourt,REP John Smithee,REP Brian Quinn,REP Larry Doss,REP Erin Lands,
DALLA,0001,Precinct 1 County,384,14,7,0,0,13,7,0,0,12,8,0,13,7,0,0,12,7,0,13,7,13,6,0,13,7,0,13,7,12,7,12,7,12,8,14,14,14,14,
DALLA,0001,Precinct 1 County,384,49,3,2,0,50,4,0,0,48,4,3,49,3,3,0,50,3,1,52,2,50,4,0,48,5,1,50,4,50,4,51,3,51,3,54,54,54,53,
DALLA,0001,Precinct 1 County,384,160,12,1,0,160,10,1,0,160,11,0,160,10,0,0,160,10,1,159,12,159,10,1,160,10,1,160,11,160,10,160,11,159,11,170,170,170,170,
DALLA,0002,Precinct 2,73,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,6,0,0,6,0,0,6,0,6,0,6,0,6,0,6,6,6,6,
DALLA,0002,Precinct 2,73,41,1,0,0,41,1,0,0,39,2,0,39,2,0,0,41,1,0,40,2,41,1,0,41,1,0,41,1,41,1,41,1,39,2,42,42,41,42,
DALLA,0002,Precinct 2,73,8,1,0,0,8,1,0,0,8,1,0,8,1,0,0,7,1,1,8,1,7,1,1,7,1,1,8,1,7,2,8,1,8,1,9,9,9,9,
DALLA,0003,Precinct 3,36,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,2,0,2,0,2,0,2,2,2,2,
DALLA,0003,Precinct 3,36,16,0,0,0,16,0,0,0,16,0,0,16,0,0,0,16,0,0,16,0,16,0,0,16,0,0,16,0,16,0,16,0,16,0,16,16,16,16,
