political_subdivision,election_date,election_name,total provisionals ballots,total provisionals ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,Donald J. Trump/Michael R. Pence,Rep,1416,217,162,1254
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,Joseph R. Biden/Kamala D. Harris,Dem,201,38,59,142
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",Lib,9,8,0,9
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,Howie Hawkins/Angela Walker,Grn,4,0,0,4
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,Rejected write-ins,,1,0,1,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,PRESIDENT/VICE-PRESIDENT,Unassigned write-ins,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,John Cornyn,Rep,1395,217,161,1234
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",Dem,181,29,49,132
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,Kerry Douglas McKennon,Lib,25,7,4,21
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,David B. Collins,Grn,2,1,0,2
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,RICARDO TURULLOLS-BONILLA,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,Rejected write-ins,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES SENATOR,Unassigned write-ins,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES REPRESENTATIVE DISTRICT 11,August Pfluger,Rep,1373,213,150,1223
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES REPRESENTATIVE DISTRICT 11,Jon Mark Hogg,Dem,193,34,54,139
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,UNITED STATES REPRESENTATIVE DISTRICT 11,Wacey Alpha Cody,Lib,27,7,3,24
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,RAILROAD COMMISSIONER,"James ""Jim"" Wright",Rep,1408,215,168,1240
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,RAILROAD COMMISSIONER,Chrysta Castañeda,Dem,160,32,44,116
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,RAILROAD COMMISSIONER,Matt Sterett,Lib,22,3,0,22
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,RAILROAD COMMISSIONER,"Katija ""Kat"" Gruene",Grn,7,1,1,6
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"CHIEF JUSTICE, SUPREME COURT",Nathan Hecht,Rep,1365,201,159,1206
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"CHIEF JUSTICE, SUPREME COURT",Amy Clark Meachum,Dem,197,37,49,148
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"CHIEF JUSTICE, SUPREME COURT",Mark Ash,Lib,25,9,1,24
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 6- UNEXPIRED TERM",Jane Bland,Rep,1392,210,152,1240
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 6- UNEXPIRED TERM",Kathy Cheng,Dem,183,37,45,138
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 7",Jeff Boyd,Rep,1373,207,149,1224
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 7",Staci Williams,Dem,189,35,49,140
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 7",William Bryan Strange III,Lib,23,6,1,22
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 8",Brett Busby,Rep,1377,204,152,1225
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 8",Gisela D. Triana,Dem,178,35,46,132
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, SUPREME COURT, PLACE 8",Tom Oxford,Lib,23,9,0,23
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 3",Bert Richardson,Rep,1386,210,150,1236
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 3",Elizabeth Davis Frizell,Dem,197,41,49,148
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",Kevin Patrick Yeary,Rep,1390,214,154,1236
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",Tina Clinton,Dem,183,37,45,138
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",David Newell,Rep,1382,213,152,1230
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",Brandon Birmingham,Dem,182,37,46,136
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",Sue Melton-Malone,Rep,1378,212,153,1225
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",Greg Alvord,Dem,188,39,46,142
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"STATE SENATOR, DISTRICT 28",Charles Perry,Rep,1454,230,159,1295
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,STATE REPRESENTATIVE DISTRICT 60,Glenn Rogers,Rep,1437,228,160,1277
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, 11TH COURT OF APPEALS DISTRICT, PLACE 2",Bruce Williams,Rep,1448,230,163,1285
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"JUSTICE, 11TH COURT OF APPEALS DISTRICT, PLACE 3-UNEXPIRED TERM",W. Stacy Trotter,Rep,1445,228,162,1283
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,"DISTRICT JUDGE, 91ST JUDICIAL DISTRICT",Steven R. Herod,Rep,1464,230,171,1293
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,SHERIFF,Chad Roberts,Rep,934,148,101,833
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,SHERIFF,RUSTY SCHRAEDER,,500,82,78,422
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,SHERIFF,Rejected write-ins,,12,1,1,11
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,SHERIFF,Unassigned write-ins,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,COUNTY TAX ASSESSOR-COLLECTOR,Andrea Caye May,Rep,1485,233,173,1312
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,COUNTY COMMISSIONER PRECINCT 1,Andy Maxwell,Rep,1432,225,165,1267
Eastland County,11/3/2020,2020 November 3rd General,113,23,1-Eastland,2837,CONSTABLE PRECINCT 1,Larry L Jernigan Sr,Rep,1452,232,165,1287
Eastland County,11/3/2020,2020 November 3rd General,113,23,2-Olden,375,PRESIDENT/VICE-PRESIDENT,Donald J. Trump/Michael R. Pence,Rep,172,58,20,152
Eastland County,11/3/2020,2020 November 3rd General,113,23,2-Olden,375,PRESIDENT/VICE-PRESIDENT,Joseph R. Biden/Kamala D. Harris,Dem,19,10,2,17
Eastland County,11/3/2020,2020 November 3rd General,113,23,2-Olden,375,PRESIDENT/VICE-PRESIDENT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",Lib,4,1,0,4
Eastland County,11/3/2020,2020 November 3rd General,113,23,2-Olden,375,PRESIDENT/VICE-PRESIDENT,Howie Hawkins/Angela Walker,Grn,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,2-Olden,375,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,,0,0,0,0
Eastland County,11/3/2020,2020 November 3rd General,113,23,2-Olden,375,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,,0,0,0,0
