COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 11","US Representative, Dist 11","US Representative, Dist 11",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 82","Justice, 11th Ct of App Dist, Pl 2","Justice, 11th Ct of App Dist, Pl 3","Dist Judge, 142nd Judicial Dist","Dist Judge, 385th Judicial Dist","Dist Attorney, 142nd Judicial Dist",Mayor,Mayor,Mayor,"Council Member, At Large","Council Member, At Large","Council Member, At Large","Council Member, At Large","Council Member, District 2","Council Member, District 2","Trustee, Place 7","Trustee, Place 7","Trustee, Place 7","Trustee, Place 8","Trustee, Place 8","Trustee, Place 9","Trustee, District 1","Trustee, District 1","Trustee, District 1","Trustee, District 2","Trustee, District 2","Trustee, District 4","Trustee, District 4","Trustee, District 4","Trustee, District 7","Trustee, District 7",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,REP August Pfluger,DEM Jon Mark Hogg,LIB Wacey Alpha Cody,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,GRN Katija “Kat” Gruene,REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Jay Johnson,DEM John Betancourt,REP Tom Craddick,REP Bruce Williams,REP W. Stacy Trotter,REP David G. Rogers,REP Leah G. Robertson,REP Laura A. Nodolf,Dewey Bryant,Javier Joven,Gloria G. Apolinario,David R. Turner,La-Tasha Gentry,Jo Ann Davenport Littleton,Denise Swanner,Steven P. Thompson,Rachel D. Minor,Adrian Carrasco,Will R. Green,R. Shaun Rainey,Scott Lynch,Ralph Way,Scott Kidwell,James E. Fuller,Michael Booker,Matt Reyes Galindo,Robert Marquez,Rachel Davis,Steve Vargas,Joel Diehl,Katie Wallace Joyner,Joseph Gallegos,Bryan Murry,
MIDLA,0001,Precinct 101,1039,600,0,521,71,7,0,508,72,12,1,506,68,13,509,70,9,3,504,73,13,515,73,504,70,13,503,71,14,509,77,516,72,515,71,514,73,554,557,555,555,551,548,0,0,0,0,0,0,0,0,0,236,164,64,389,75,474,0,0,0,0,0,240,58,181,0,0,
MIDLA,0002,Precinct 102,3810,2520,0,1869,596,42,6,1886,547,56,10,1892,514,63,1873,537,55,13,1850,574,60,1896,565,1844,552,64,1845,548,65,1889,572,1890,565,1894,559,1886,565,2307,2311,2306,2312,2317,2306,0,0,0,0,0,0,0,0,0,1178,497,330,1553,408,2018,0,0,0,0,0,0,0,0,0,0,
MIDLA,0003,Precinct 103,2771,1791,0,1387,355,35,6,1393,344,38,6,1399,325,48,1377,332,51,11,1355,366,51,1397,359,1362,352,47,1358,348,53,1384,375,1387,370,1402,353,1411,346,1622,1627,1620,1627,1620,1610,0,0,0,0,0,0,0,0,0,754,349,325,1088,292,1408,0,0,0,0,0,0,0,0,0,0,
MIDLA,0004,Precinct 104,1120,511,2,332,166,9,1,327,157,11,2,320,160,19,322,159,12,4,309,167,20,324,168,309,169,16,311,169,14,322,172,322,170,327,166,331,164,433,436,435,437,432,435,0,0,0,0,0,0,0,0,0,260,88,62,292,109,387,0,0,0,0,0,248,38,136,0,0,
MIDLA,0005,Precinct 105,1964,1092,0,789,280,12,5,758,284,25,5,766,274,31,728,295,37,12,741,298,37,770,302,746,296,28,733,300,34,760,309,773,298,781,287,784,284,972,973,964,975,971,963,0,0,0,0,0,0,0,0,0,569,177,143,655,195,857,0,0,0,0,0,520,113,293,0,0,
MIDLA,0006,Precinct 106,3781,2233,0,1604,580,33,8,1574,568,51,15,1586,551,62,1541,592,53,17,1545,604,51,1596,594,1568,563,58,1568,570,51,1578,612,1586,593,1585,599,1595,595,2007,1999,1996,1994,1989,1991,0,0,0,0,0,0,0,0,0,1100,410,310,1356,429,1800,0,0,0,0,0,0,0,0,0,0,
MIDLA,0007,Precinct 107,3009,1970,0,1532,402,22,2,1528,360,41,7,1539,351,41,1518,356,36,10,1512,383,34,1552,367,1511,376,34,1511,368,41,1529,390,1535,368,1542,372,1542,382,1785,1780,1777,1786,1785,1776,0,0,0,0,0,0,0,0,0,744,412,384,1148,372,1523,0,0,0,0,0,0,0,0,0,0,
MIDLA,0008,Precinct 108,630,304,0,237,64,1,1,231,61,5,0,233,58,6,232,60,4,1,232,62,1,228,63,227,61,3,226,59,3,231,61,228,63,231,60,227,64,279,277,277,275,278,274,0,0,0,0,0,0,0,0,0,131,67,39,185,50,235,0,0,0,0,0,0,0,0,0,0,
