COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 69","Justice, 2nd Ct of App Dist, Pl 2","Justice, 2nd Ct of App Dist, Pl 6","Justice, 2nd Ct of App Dist, Pl 6","Justice, 2nd Ct of App Dist, Pl 7","Dist Judge, 97th Judicial Dist","Dist Attorney, 97th Judicial Dist",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,Write-in,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,Write-in,REP Ronny Jackson,DEM Gus Trujillo,LIB Jack B. Westbrook,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,GRN Katija “Kat” Gruene,REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Jay Johnson,DEM John Betancourt,REP James B. Frank,REP Dana Womack,REP Mike Wallach,DEM Delonia A. Watson,REP Brian Walker,REP Jack McGaughey,REP Casey Polhemus,
CLAY,0001,Pct. 1,0,86,0,55,31,0,0,0,54,28,0,0,0,42,20,0,41,21,0,0,35,24,1,38,19,34,25,0,39,21,0,39,23,37,25,40,22,39,22,45,45,34,26,42,44,43,
CLAY,0001,Pct. 1,0,515,0,451,60,1,1,1,441,61,3,4,0,443,62,5,442,59,2,1,436,67,5,448,60,440,65,2,443,60,4,442,66,445,62,445,62,441,65,489,489,442,63,490,488,475,
CLAY,0001,Pct. 1,0,86,0,82,3,0,1,0,77,5,1,1,1,81,3,1,80,4,0,1,78,5,2,81,4,78,7,0,80,5,0,80,5,79,6,79,6,81,4,84,84,77,7,84,84,83,
CLAY,0002,Pct. 6,0,29,0,22,6,0,1,0,15,6,0,2,1,16,6,2,15,7,0,1,15,7,1,13,8,15,6,1,14,6,2,14,8,13,9,15,7,15,7,15,11,12,6,11,11,11,
CLAY,0002,Pct. 6,0,141,0,117,23,0,0,0,114,24,0,0,0,118,22,1,116,22,0,2,117,23,1,117,23,118,22,1,117,22,1,117,24,117,23,116,23,117,23,132,131,118,22,133,133,133,
CLAY,0002,Pct. 6,0,137,0,118,15,3,1,0,113,20,2,2,0,117,14,4,115,13,6,2,112,16,8,119,17,117,15,4,116,16,4,116,20,117,19,120,16,112,23,132,133,115,20,133,132,134,
CLAY,0003,Pct. 8,0,33,0,18,14,0,0,1,20,13,0,0,0,17,15,0,19,11,0,0,17,13,0,17,14,17,13,0,17,13,0,17,12,17,13,17,13,17,14,25,24,18,12,24,25,24,
CLAY,0003,Pct. 8,0,479,0,416,52,7,1,1,419,51,6,3,0,418,51,9,416,51,7,3,416,51,8,427,47,417,48,8,419,48,6,418,56,424,49,426,48,419,55,458,462,420,55,461,464,453,
CLAY,0003,Pct. 8,0,93,0,79,8,5,0,1,78,9,4,1,0,78,7,7,82,8,1,1,78,9,5,82,8,75,13,3,79,7,5,80,11,81,10,81,10,80,11,85,88,84,7,87,87,86,
CLAY,0004,Pct. 9,0,24,1,15,7,0,0,0,16,6,0,0,0,13,8,0,15,6,1,0,14,7,1,17,5,13,8,1,15,6,1,15,7,15,6,16,6,16,6,20,20,15,7,19,20,19,
CLAY,0004,Pct. 9,0,292,0,259,28,4,0,0,252,30,6,0,0,253,26,9,252,30,4,0,254,29,2,260,27,255,30,2,255,29,4,255,32,258,29,256,30,257,29,273,273,256,31,273,273,264,
CLAY,0004,Pct. 9,0,56,0,47,9,0,0,0,46,8,0,0,0,49,6,0,47,5,1,0,45,8,0,45,7,45,7,0,46,6,0,44,8,46,6,45,7,44,8,52,51,46,6,51,53,50,
CLAY,0005,Pct. 10,0,16,0,12,4,0,0,0,10,2,1,1,0,11,4,0,10,3,2,0,11,4,0,12,3,11,3,1,10,4,1,12,3,12,3,11,4,12,3,13,13,11,4,13,13,13,
CLAY,0005,Pct. 10,0,115,0,104,7,3,1,0,102,7,2,2,0,100,7,6,102,6,4,1,98,8,7,106,7,102,6,5,100,7,5,103,9,105,8,105,8,102,10,108,107,106,7,108,110,101,
CLAY,0005,Pct. 10,0,101,0,85,13,2,1,0,86,14,0,1,0,85,14,1,82,14,4,0,83,15,3,88,12,84,12,4,85,13,2,86,13,87,13,86,14,86,12,99,99,88,13,99,97,96,
CLAY,0006,Pct. 11,0,31,0,23,8,0,0,0,20,8,0,0,0,21,7,0,20,7,0,0,19,7,0,19,6,20,6,0,21,6,0,19,7,20,7,19,7,20,7,24,23,20,7,24,25,24,
CLAY,0006,Pct. 11,0,502,0,464,34,4,0,0,458,36,4,0,1,456,37,6,453,33,8,3,452,41,4,460,37,459,39,2,461,35,3,458,39,460,37,458,37,458,37,483,482,460,37,479,483,480,
CLAY,0006,Pct. 11,0,147,0,129,15,3,0,0,124,15,5,1,0,125,11,10,128,12,6,0,126,14,6,132,13,126,13,7,128,12,6,132,14,134,12,133,12,133,13,141,141,131,15,140,141,138,
CLAY,0007,Pct. 12,0,12,0,7,5,0,0,0,7,5,0,0,0,7,5,0,7,5,0,0,7,5,0,7,5,7,5,0,7,5,0,7,5,7,5,7,5,7,5,9,9,7,5,9,9,9,
CLAY,0007,Pct. 12,0,166,0,149,16,0,0,0,147,18,1,0,0,144,18,3,146,16,3,1,144,15,5,147,18,148,16,1,146,16,3,146,18,148,18,148,17,149,17,160,160,148,17,159,160,158,
CLAY,0007,Pct. 12,0,82,0,75,5,1,1,0,73,6,2,1,0,72,8,2,71,7,3,0,72,7,2,75,7,72,8,2,74,5,3,73,9,73,8,72,10,73,8,80,79,74,8,79,79,78,
CLAY,0008,Pct. 13,0,8,0,5,2,1,0,0,5,2,1,0,0,6,1,1,5,2,1,0,5,2,1,6,2,5,2,1,5,2,1,5,2,6,2,6,2,5,1,7,6,6,1,6,7,7,
CLAY,0008,Pct. 13,0,73,0,61,12,0,0,0,59,13,0,0,0,60,12,1,61,12,0,0,61,12,0,61,12,59,14,0,61,12,0,61,12,61,12,61,12,60,13,61,61,61,12,61,61,61,
CLAY,0008,Pct. 13,0,36,0,32,4,0,0,0,32,3,1,0,0,33,3,0,32,4,0,0,33,3,0,32,3,32,3,0,32,3,0,32,3,33,3,33,3,33,3,36,36,33,3,36,36,35,
CLAY,0009,Pct. 14,0,4,0,3,1,0,0,0,3,1,0,0,0,3,1,0,3,1,0,0,3,1,0,3,1,1,1,0,3,1,0,3,1,3,1,3,1,3,1,2,2,2,1,2,2,2,
CLAY,0009,Pct. 14,0,54,0,49,5,0,0,0,49,5,0,0,0,48,5,0,48,5,0,0,47,5,1,48,5,46,5,0,47,5,0,45,5,46,5,45,5,46,5,48,49,47,5,48,49,48,
CLAY,0009,Pct. 14,0,80,0,73,7,0,0,0,74,6,0,0,0,73,7,0,73,6,1,0,74,6,0,74,6,74,6,0,74,6,0,74,6,74,6,74,6,74,6,75,76,73,7,76,76,76,
CLAY,0010,Pct. 15,0,20,0,10,9,0,0,0,10,7,0,0,1,10,6,0,13,4,0,0,9,8,0,9,6,8,8,0,9,7,0,9,6,9,7,10,6,11,6,15,13,8,8,13,15,14,
CLAY,0010,Pct. 15,0,215,0,188,25,2,0,0,184,24,5,1,0,187,23,3,187,21,3,0,182,25,4,184,26,185,23,3,181,23,5,187,24,186,24,187,23,190,22,203,202,185,25,200,204,201,
CLAY,0010,Pct. 15,0,63,0,54,9,0,0,0,54,8,0,0,0,52,8,2,52,7,1,0,51,10,0,52,8,51,10,0,53,7,1,51,10,52,9,53,8,53,7,59,60,52,9,59,60,59,
CLAY,0011,Pct. 17,0,43,0,27,15,1,0,0,28,14,1,0,0,26,14,1,27,13,0,0,28,13,0,26,13,27,13,0,25,14,0,26,13,25,12,24,14,25,13,31,29,26,14,29,31,30,
CLAY,0011,Pct. 17,0,528,0,467,54,2,1,3,457,54,5,2,5,463,55,7,468,46,4,3,462,55,6,473,50,469,49,5,467,48,6,469,51,471,49,467,51,470,51,501,503,467,52,502,498,501,
CLAY,0011,Pct. 17,0,198,0,169,24,2,2,1,157,26,5,3,1,164,24,6,161,20,10,3,163,24,7,168,26,166,25,3,163,24,6,167,27,166,28,169,25,169,25,190,189,166,28,188,187,190,
CLAY,0012,Pct. 20,0,16,0,14,2,0,0,0,12,1,1,0,0,13,1,0,13,0,0,0,13,0,0,13,0,13,0,0,13,0,0,12,1,12,1,12,1,12,1,13,13,13,0,13,14,14,
CLAY,0012,Pct. 20,0,221,0,208,12,1,0,0,200,14,4,1,0,204,12,5,200,9,8,1,204,10,6,211,7,203,10,7,202,8,7,208,11,208,10,209,10,204,13,216,217,209,9,215,217,215,
CLAY,0012,Pct. 20,0,145,0,137,4,0,0,3,137,6,1,0,0,133,4,5,133,5,3,1,134,6,1,139,3,138,4,1,137,3,2,136,6,139,4,139,4,139,2,143,143,140,3,142,143,141,
CLAY,0013,Pct. 24,0,10,0,8,2,0,0,0,8,2,0,0,0,8,2,0,8,2,0,0,8,2,0,8,2,8,2,0,8,2,0,8,2,8,2,8,2,8,2,8,9,8,2,9,9,8,
CLAY,0013,Pct. 24,0,210,0,195,14,1,0,0,190,15,2,0,0,197,9,4,194,15,0,0,187,21,1,194,15,189,19,0,194,12,2,192,16,191,18,193,15,196,12,202,203,193,14,205,203,201,
CLAY,0013,Pct. 24,0,41,0,38,3,0,0,0,36,3,1,0,0,36,3,1,36,3,1,0,35,3,2,36,4,36,3,1,35,3,2,37,3,37,3,36,4,37,3,40,40,37,3,40,40,39,
CLAY,0014,Pct. 26,0,14,0,13,1,0,0,0,12,1,0,0,0,11,1,0,12,1,0,0,11,1,0,11,1,11,1,0,11,1,0,11,1,10,1,11,1,11,1,12,9,10,1,9,11,10,
CLAY,0014,Pct. 26,0,80,0,75,5,0,0,0,74,5,0,0,1,75,5,0,74,5,1,0,75,5,0,75,4,74,4,1,74,4,1,75,4,75,4,74,4,75,4,78,78,75,4,78,78,78,
CLAY,0014,Pct. 26,0,54,0,49,3,0,1,0,49,4,0,1,0,47,5,1,49,4,1,0,48,5,1,49,5,47,5,1,48,4,2,50,4,49,5,50,3,50,4,51,52,49,5,53,52,52,
CLAY,0015,Pct. 27,0,12,0,6,5,0,0,0,7,4,0,0,0,7,5,0,7,5,0,0,7,5,0,7,5,7,5,0,7,5,0,7,5,7,5,7,4,7,5,9,9,6,6,9,9,9,
CLAY,0015,Pct. 27,0,180,0,164,13,1,0,0,160,15,3,0,1,164,12,3,162,12,2,2,161,14,3,166,12,163,12,4,163,12,3,165,13,165,13,166,12,166,12,174,174,166,13,174,173,173,
CLAY,0015,Pct. 27,0,129,0,116,11,2,0,0,111,12,2,0,0,113,10,3,114,9,4,0,110,12,4,118,9,112,12,2,115,9,2,115,12,115,11,114,11,118,9,121,121,116,11,122,121,120,
CLAY,0016,Pct. 32,0,10,0,10,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,0,10,0,0,10,0,0,10,0,10,0,10,0,10,0,9,9,9,0,9,10,10,
CLAY,0016,Pct. 32,0,47,0,44,2,0,0,0,45,2,0,0,0,44,2,0,44,2,0,0,45,2,0,45,2,45,2,0,45,2,0,45,1,45,1,44,2,44,1,44,45,44,1,44,42,46,
CLAY,0016,Pct. 32,0,136,0,127,7,0,0,0,123,13,0,0,0,124,11,1,126,7,0,0,121,12,0,121,10,121,12,1,121,11,0,121,12,121,11,122,9,124,9,130,131,121,11,129,131,132,
CLAY,ZZZ,COUNTY TOTALS,0,5770,1,5069,614,46,12,11,4958,632,69,27,12,4977,592,110,4971,560,92,26,4916,637,98,5049,584,4953,617,74,4975,570,90,4994,640,5019,615,5022,602,5018,610,5405,5403,5004,623,5389,5410,5344,
