political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,Reg_voters,race_name,candidate_name,party code,election_votes,Election Day Voting Votes,Absentee Voting Votes,Early Voting Votes
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Donald J. Trump Michael R. Pence,REP,2,2,0,2
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,0,2,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Abram Loeb / Jennifer Jairala,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Brian Carroll / Amar Patel,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Gloria La Riva / Leonard Peltier,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Jesse Cuellar / Jimmy Monreal,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Kasey Wells / Rachel Wells,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,President R. Boddie / Eric C. Stoneham,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Robert Morrow / Anne Beckett,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Todd Cella / Tim Cella,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Tom Hoefling / Andy Prior,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Rejected write-ins,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,President and Vice President,Unassigned write-ins,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,John Cornyn,REP,2,2,0,2
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,"Mary ""MJ"" Hegar",DEM,0,2,0,0
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,Kerry Douglas McKennon,LIB,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,David B. Collins,GRN,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,Ricardo Turullols-Bonilla,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,Rejected write-ins,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,United States Senator,Unassigned write-ins,,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,"United States Representative, District No. 13",Ronny Jackson,REP,2,2,0,2
Gray County ,11/3/2020,General,46,31,1,6,"United States Representative, District No. 13",Gus Trujillo,DEM,0,2,0,0
Gray County ,11/3/2020,General,46,31,1,6,"United States Representative, District No. 13",Jack B. Westbrook,LIB,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,Railroad Commissioner,"James ""Jim"" Wright",REP,2,2,0,2
Gray County ,11/3/2020,General,46,31,1,6,Railroad Commissioner,Chrysta Castañeda,DEM,0,2,0,0
Gray County ,11/3/2020,General,46,31,1,6,Railroad Commissioner,Matt Sterett,LIB,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,"Chief Justice, Supreme Court",Nathan Hecht,REP,2,2,0,2
Gray County ,11/3/2020,General,46,31,1,6,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,0,2,0,0
Gray County ,11/3/2020,General,46,31,1,6,"Chief Justice, Supreme Court",Mark Ash,LIB,0,0,0,0
Gray County ,11/3/2020,General,46,31,1,6,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,2,2,0,2
Gray County ,11/3/2020,General,46,31,1,6,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,0,2,0,0
