poltical_subdivision,election_date,election_name,total provisional ballots,toatal provisional ballots counted,precint_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Bee County,11/3/2020,2020 November 3rd General Election,152,8,1 - BS21,96,President and Vice President,"Donald J. Trump
Michael R. Pence",REP,62,1,3,59
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,"Joseph R. Biden
Kamala D. Harris",DEM,15,0,6,9
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,"Jo Jorgensen
Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,"Howie Hawkins
Angela Walker",GRN,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Abram Loeb/Jennifer Jairala,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Brian Carroll/Amar Patel,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Gloria La Riva/Leonard Peltier,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Jesse Cuellar/Jimmy Monreal,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Kasey Wells/Rachel Wells,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,President R. Boddie/Eric C. Stoneham,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Robert Morrow/Anne Beckett,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Todd Cella/Tim Cella,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Tom Hoefling/Andy Prior,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Rejected write-ins,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,President and Vice President,Unassigned write-ins,,0,0,0,0
Bee County,11/3/2020,2020 November 3rd General Election,,,1 - BS21,96,United States Senator,John Cornyn,REP,62,1,3,59
