political_subdivision,election_date,election_name,total prov ballots,total prov counted,Precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
San Patricio County,11/3/2020,General Election,139,11,101,474,President and Vice President,Donald J. Trump Michael R. Pence,REP,125,34
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,84,41
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,2
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Abram Loeb Jennifer Jairala,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Brian Carroll Amar Patel,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Gloria La Riva Leonard Peltier,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Jesse Cuellar Jimmy Monreal,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Kasey Wells Rachel Wells,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,President Boddie Eric C Stoneham,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Rober Morrow Anne Beckett,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Todd Cella Tim Cella,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Tom Hoefling Andy Prior,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Rejected write-ins,,0,1
San Patricio County,11/3/2020,General Election,,,101,474,President and Vice President,Unassigned write-ins,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,John Cornyn,REP,121,29
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,"Mary ""MJ"" Hegar",DEM,79,43
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,Kerry Douglas McKennon,LIB,5,3
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,David B. Collins,GRN,0,1
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,Ricardo Turullols-Bonilla,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,Rejected write-ins,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,United States Senator,Unassigned write-ins,,0,0
San Patricio County,11/3/2020,General Election,,,101,474,"United States Representative, District No. 27",Michael Cloud,REP,120,32
San Patricio County,11/3/2020,General Election,,,101,474,"United States Representative, District No. 27","Ricardo ""Rick"" De La Fuente",DEM,79,40
San Patricio County,11/3/2020,General Election,,,101,474,"United States Representative, District No. 27",Phil Gray,LIB,3,2
San Patricio County,11/3/2020,General Election,,,101,474,Railroad Commissioner,"James ""Jim"" Wright",REP,118,37
San Patricio County,11/3/2020,General Election,,,101,474,Railroad Commissioner,Chrysta Castañeda,DEM,80,36
San Patricio County,11/3/2020,General Election,,,101,474,Railroad Commissioner,Matt Sterett,LIB,4,1
San Patricio County,11/3/2020,General Election,,,101,474,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,0,0
San Patricio County,11/3/2020,General Election,,,101,474,"Chief Justice, Supreme Court",Nathan Hecht,REP,121,29
San Patricio County,11/3/2020,General Election,,,101,474,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,79,40
San Patricio County,11/3/2020,General Election,,,101,474,"Chief Justice, Supreme Court",Mark Ash,LIB,4,3
San Patricio County,11/3/2020,General Election,,,101,474,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,125,35
