"November 3, 2020 General Election",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 27","US Representative, Dist 27","US Representative, Dist 27","US Representative, Dist 34","US Representative, Dist 34","US Representative, Dist 34","US Representative, Dist 34",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","State Senator, Dist 18","State Senator, Dist 18","State Representative, Dist 17","State Representative, Dist 17","Justice, 13 Ct of App Dist, Pl 4","Justice, 13 Ct of App Dist, Pl 4","Justice, 13 Ct of App Dist, Pl 6","Justice, 13 Ct of App Dist, Pl 6","Dist Judge, 25 Judicial Dist","Dist Judge, 2nd 25 Judicial Dist",County Attorney,Sheriff,Sheriff,County Tax Assessor-Collector,County Commissioner,County Commissioner,Constable,Constable,Constable,"Trustee, Place 4","Trustee, Place 4","Trustee, Place 4","Trustee, Place 6","Board of Trustee, Place 4","Board of Trustee, Place 4","Board of Trustee, Place 5","Board of Trustee, Place 5","Trustee, Place 2","Trustee, Place 4","Trustee, Place 4","Trustee, Place 4","Trustee, Place 4","Trustee, Place 4",Proposition A,Proposition A,Mayor,Mayor,Council Members,Council Members,"Council Member, District 3","Council Member, District 3","Council Member, District 4","Council Member, District 4"
89,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,REP Michael Cloud,"DEM Ricardo ""Rick"" De La Fuente",LIB Phil Gray,REP Rey Gonzalez,DEM Filmon B. Vela,LIB Anthony Cristo,IND Chris B. Royal,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,"GRN Katija ""Kat"" Gruene",REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Lois W. Kolkhorst,DEM Michael Antalan,REP John P. Cyrier,DEM Madeline Eden,REP Jaime Tijerina,DEM Migdalia Lopez,REP Clarissa Silva,DEM Nereida Lopez-Singleterry,REP Bill Old,REP Jessica Richard Crawford,REP Paul Watkins,REP Robert Ynclan,DEM Floyd Toliver,REP Crystal Cedillo,"REP K.O. ""Dell"" Whiddon",REP Kevin T. La Fleur,REP Johnnie Hall,REP Derek Johnson,REP John Moreno,Chris Villasana,Loyce Rice,Bill Griffin,Aly Tschoepe,Debra Luksousky,Nan Pilat,Carol Dvorak,Belinda White Pustka,Tommy Schuette,John M. Davidson,Christine Presley,Max Moore,Denise Overton,Craig Fric,For,Against,Ellis Villasana,Michael K. Mills,Wayne R. Dauer,Paul D. Elder,Bobby O'Neal,Jace Opiela,Dan Blakemore,Rob Brown
,1,Precinct 1 Election Day,2743,257,0,178,69,6,2,180,59,7,4,177,63,9,0,0,0,0,171,67,6,6,169,66,13,190,58,175,62,12,171,66,8,176,71,177,69,178,67,184,62,184,63,183,63,176,67,234,233,233,211,43,239,236,0,235,0,0,0,0,0,0,0,0,0,0,20,2,6,6,5,1,8,13,0,0,0,0,23,4,42,59
,1,Precinct 1 Early Voting,2743,1325,0,1031,279,6,1,1045,248,10,5,1062,234,10,0,0,0,0,1026,256,13,4,1027,258,19,1061,242,1042,247,16,1028,254,15,1052,248,1045,252,1049,248,1058,247,1055,246,1041,256,1056,241,1238,1237,1239,1112,193,1241,1252,0,1244,0,0,0,0,0,0,0,0,0,0,82,29,17,12,14,9,42,42,0,0,0,0,85,52,248,295
,1,Precinct 1 By Mail,2743,189,0,107,78,1,1,115,67,0,1,110,67,2,0,0,0,0,104,75,1,2,104,76,2,107,68,103,74,2,103,73,2,105,72,103,71,103,70,110,68,110,69,103,71,102,75,134,131,135,132,47,144,138,0,135,0,0,0,0,0,0,0,0,0,0,6,2,2,1,3,1,6,5,0,0,0,0,9,8,24,47
,2,Precinct 2 Election Day,1916,141,0,91,46,3,1,86,43,5,1,83,47,8,0,0,0,0,84,48,5,1,83,48,5,90,46,81,48,8,85,46,6,83,53,86,50,89,47,89,49,90,48,86,51,94,43,131,129,130,100,39,132,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0
,2,Precinct 2 Early Voting,1916,800,0,551,230,6,2,550,219,10,8,562,207,12,0,0,0,0,538,222,13,7,536,223,15,555,214,547,218,11,546,212,8,547,225,551,221,553,215,561,212,558,219,552,216,557,212,731,721,722,655,131,740,0,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,0
,2,Precinct 2 By Mail,1916,121,0,53,64,2,0,59,58,2,0,51,59,2,0,0,0,0,54,64,0,0,51,63,1,52,62,52,63,1,52,61,1,51,63,47,64,53,59,50,61,51,62,50,62,49,64,71,70,72,72,45,77,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
,3,Precinct 3 Election Day,1718,187,0,128,57,1,1,121,57,2,3,122,57,1,0,0,0,0,118,59,2,2,118,59,5,126,55,124,54,4,119,57,5,119,64,125,56,125,57,128,54,124,58,126,56,128,53,169,167,169,155,30,171,0,172,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,3,3
,3,Precinct 3 Early Voting,1718,724,0,524,191,6,2,516,181,5,7,518,180,6,0,0,0,0,512,179,7,8,518,175,9,527,179,515,168,16,507,183,10,513,189,526,171,526,170,527,175,533,167,521,175,531,166,651,656,652,587,120,671,0,658,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,49,12,8
