tbContestName,Textbox106,NumberReporting,NumberTotal,PercentageReporting,Textbox99,Textbox104,Textbox105,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Donald J. Trump/Michael R. Pence,REP,"4,098",32.91%,"38,240",44.50%,"5,342",48.51%,"47,680",43.59%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Joseph R. Biden/Kamala D. Harris,DEM,"8,241",66.17%,"46,046",53.59%,"5,237",47.55%,"59,524",54.41%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LIB,85,0.68%,"1,313",1.53%,337,3.06%,"1,735",1.59%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Howie Hawkins/Angela Walker,GRN,26,0.21%,300,0.35%,92,0.84%,418,0.38%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Abram Loeb/Jennifer Jairala (W),,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Brian Carroll/Amar Patel (W),,2,0.02%,21,0.02%,4,0.04%,27,0.02%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Gloria La Riva/Leonard Peltier (W),,1,0.01%,4,0.00%,1,0.01%,6,0.01%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Jesse Cuellar/Jimmy Monreal (W),,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,Kasey Wells/Rachel Wells (W),,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
U.S. President / Vice President - Vote for none or one.,Precincts,77,77,100.00%,"109,963","153,614",71.58%,Absentee Voting,Early Voting,Election Day Voting,President R. Boddie/Eric C. Stoneham (W),,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"12,454",100.00%,"85,928",100.00%,"11,013",100.00%,"109,395",100.00%,93,391,83,567,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
