political_subdivison,election_date,election_name,total provisional ballots ,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_Code,early_votes,election_votes
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Donald J. Trump/Michael R. Pence,REP,1510,199
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Joseph R. Biden/Kamala D. Harris,DEM,706,84
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LIB,31,10
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Howie Hawkins/Angela Walker,GRE,3,4
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Abram Loeb/Jennifer Jairala,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Brian Carroll/Amar Patel,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Gloria La Riva/Leonard Peltier,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Jesse Cuellar/Jimmy Monreal,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Kasey Wells/Rachel Wells,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,President R. Boddie/Eric C. Stoneham,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Robert Morrow/Anne Beckett,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Todd Cella/Tim Cella,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Tom Hoefling/Andy Prior,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Rejected write-ins,,4,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,President/Vice-President,Unassigned write-ins,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,John Cornyn,REP,1481,182
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,"Mary ""MJ"" Hegar",DEM,680,85
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,Kerry Douglas McKennon,LIB,42,14
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,David B. Collins,GRE,14,5
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,Ricardo Turullois-Bonilla,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,Rejected write-ins,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Senator,Unassigned write-ins,,0,0
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Representative District 14,Randy Weber,REP,1529,194
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,U. S. Representative District 14,Adrienne Bell,DEM,691,90
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,Railroad Commissioner,"James ""Jim"" Wright",REP,1442,174
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,Railroad Commissioner,Chrysta Castañeda,DEM,677,85
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,Railroad Commissioner,Matt Sterett,LIB,68,15
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,Railroad Commissioner,"Katija ""Kat"" Gruene",GRE,16,3
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Chief Justice, Supreme Court",Nathan Hecht,REP,1458,181
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,683,87
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Chief Justice, Supreme Court",Mark Ash,LIB,56,14
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 6, Unexpired Term",Jane Bland,REP,1519,190
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 6, Unexpired Term",Kathy Cheng,DEM,683,90
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,1472,184
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 7",Staci Williams,DEM,667,87
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 7",William Bryan Strange III,LIB,60,9
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 8",Brett Busby,REP,1458,175
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 8",Gisela D. Triana,DEM,667,86
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Justice, Supreme Court, Place 8",Tom Oxford,LIB,65,16
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Judge, Court of Criminal Appeals Place 3",Bert Richardson,REP,1495,179
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Judge, Court of Criminal Appeals Place 3",Elizabeth Davis Frizell,DEM,697,99
Brazoria County,11/3/20,General Election ,,,1 - ANGISD,4421,"Judge, Court of Criminal Appeals Place 4",Kevin Patrick Yeary,REP,1504,185
