political subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_Code,early_votes,election_votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Donald J. Trump Michael R. Pence,REP,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Abram Loeb/Jennifer Jairala,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Brian Carroll/Amar Patel,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Gloria La Riva/Leonard Peltier,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Jesse Cuellar/Jimmy Monreal,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,Kasey Wells/Rachel Wells,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,11/3/20,GENERAL,0,0,1 COUNTY,11,President and Vice President,President R. Boddie/Eric C. Stoneham,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
