"Box 101" ,10 ,"President/Vice-President" ,50 ,"Write-in 50" ,"NP" ,"Election Day" ,1 ,
"Box 101" ,10 ,"President/Vice-President" ,50 ,"Write-in 50" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"President/Vice-President" ,50 ,"Write-in 50" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"President/Vice-President" ,50 ,"Write-in 50" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"President/Vice-President" ,50 ,"Write-in 50" ,"NP" ,"Total" ,1 ,
"Box 101" ,20 ,"US Senator" ,10 ,"John Cornyn" ,"REP" ,"Election Day" ,163 ,
"Box 101" ,20 ,"US Senator" ,10 ,"John Cornyn" ,"REP" ,"Early Voting" ,848 ,
"Box 101" ,20 ,"US Senator" ,10 ,"John Cornyn" ,"REP" ,"EV Mail" ,67 ,
"Box 101" ,20 ,"US Senator" ,10 ,"John Cornyn" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,20 ,"US Senator" ,10 ,"John Cornyn" ,"REP" ,"Total" ,1078 ,
"Box 101" ,20 ,"US Senator" ,20 ,"Mary \"MJ\" Hegar" ,"DEM" ,"Election Day" ,64 ,
"Box 101" ,20 ,"US Senator" ,20 ,"Mary \"MJ\" Hegar" ,"DEM" ,"Early Voting" ,440 ,
"Box 101" ,20 ,"US Senator" ,20 ,"Mary \"MJ\" Hegar" ,"DEM" ,"EV Mail" ,111 ,
"Box 101" ,20 ,"US Senator" ,20 ,"Mary \"MJ\" Hegar" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,20 ,"US Senator" ,20 ,"Mary \"MJ\" Hegar" ,"DEM" ,"Total" ,615 ,
"Box 101" ,20 ,"US Senator" ,30 ,"Kerry McKennon" ,"LIB" ,"Election Day" ,5 ,
"Box 101" ,20 ,"US Senator" ,30 ,"Kerry McKennon" ,"LIB" ,"Early Voting" ,12 ,
"Box 101" ,20 ,"US Senator" ,30 ,"Kerry McKennon" ,"LIB" ,"EV Mail" ,0 ,
"Box 101" ,20 ,"US Senator" ,30 ,"Kerry McKennon" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,20 ,"US Senator" ,30 ,"Kerry McKennon" ,"LIB" ,"Total" ,17 ,
