COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 87","Chief Justice, 7th Ct of App Dist","Justice, 7th Ct of App Dist, Pl 4","Dist Judge, 84th Judicial Dist","Dist Attorney, 84th Judicial Dist",County Attorney,Sheriff,Sheriff,County Tax Assessor-Collector,County Commissioner,County Commissioner,Constable,Constable,Trustee,Trustee,Trustee,Trustee,Trustee,"City Council Member, PL 2","City Council Member, PL 2","City Council, PL 3",School Board Trustee,School Board Trustee,School Board Trustee,School Board Trustee,Mayor,Alderman,Alderman,Alderman,Alderman,Alderman,PROPOSITION A,PROPOSITION A,PROPOSITION A,PROPOSITION A,
HUTCH,0003,Precinct 21,3354,314,0,281,23,7,1,1,271,26,10,4,1,274,19,17,279,17,10,3,277,21,12,285,23,276,23,9,278,18,12,285,22,285,21,284,23,282,24,300,300,299,298,300,298,183,120,300,0,0,0,299,1,1,1,0,0,0,0,0,136,128,109,97,113,73,50,57,83,84,2,4,0,0,
HUTCH,0004,Precinct 23,395,19,0,12,6,1,0,0,13,4,1,0,1,12,5,2,12,4,2,0,12,4,2,12,6,12,6,0,14,2,2,14,4,15,2,13,5,13,5,15,14,14,14,14,14,9,9,14,0,0,0,13,0,1,7,6,5,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,
HUTCH,0004,Precinct 23,395,166,0,150,14,2,0,0,143,16,4,1,0,145,13,5,141,17,4,2,141,19,4,147,17,141,17,5,141,18,5,147,17,147,16,147,17,146,17,158,157,157,159,156,157,117,43,159,0,0,0,156,27,18,71,63,74,46,43,90,0,0,0,0,0,0,0,0,0,0,0,0,57,38,
HUTCH,0004,Precinct 23,395,63,0,55,6,1,0,0,54,7,2,0,0,54,6,3,54,7,1,1,53,9,1,57,6,51,10,1,55,7,1,56,7,53,10,57,6,55,8,61,62,61,62,62,62,44,19,62,0,0,0,62,14,14,24,16,37,19,23,40,0,0,0,0,0,0,0,0,0,0,0,0,28,17,
HUTCH,0005,Precinct 31,1727,78,0,58,20,0,0,0,59,17,0,0,0,57,19,0,62,12,1,0,57,19,0,60,15,57,18,0,61,15,0,56,20,59,16,57,17,58,15,65,64,64,65,62,61,45,26,67,0,63,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,0,0,
HUTCH,0005,Precinct 31,1727,869,0,791,67,9,0,1,779,61,13,2,2,786,55,18,782,56,19,1,770,65,19,800,58,779,57,22,783,54,19,801,56,802,52,800,57,790,65,838,833,826,825,823,834,610,236,846,0,830,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,412,0,0,
HUTCH,0005,Precinct 31,1727,274,0,253,18,2,0,0,242,24,5,0,0,249,18,4,243,17,9,1,240,23,3,249,19,241,22,6,240,19,8,249,19,250,19,248,21,249,22,267,263,265,263,267,268,187,82,269,0,264,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,147,0,0,
HUTCH,0006,Precinct 33,1662,71,0,46,21,1,1,0,50,19,0,1,0,48,20,3,49,19,2,1,48,20,2,49,21,47,21,1,47,20,3,49,22,47,23,48,21,49,21,60,57,58,58,58,57,49,16,59,0,58,58,0,4,6,38,18,22,31,28,55,0,0,0,0,0,0,0,0,0,0,0,0,41,24,
HUTCH,0006,Precinct 33,1662,738,0,651,72,10,0,1,653,64,11,3,1,646,65,19,644,73,11,1,645,73,14,654,73,651,67,14,652,67,11,656,76,660,72,664,68,661,64,699,691,696,690,689,692,445,257,693,0,688,690,0,141,94,360,285,303,285,372,618,0,0,0,0,0,0,0,0,0,0,1,3,416,271,
HUTCH,0006,Precinct 33,1662,178,0,140,28,10,0,0,135,26,12,1,1,142,24,8,137,25,9,2,132,31,11,141,33,135,30,10,133,29,12,144,29,145,28,140,33,144,30,167,164,166,167,168,168,108,65,169,0,168,169,0,50,26,74,57,75,59,88,144,0,0,0,0,0,0,0,0,0,0,0,0,95,68,
HUTCH,0007,Precinct 41,70,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HUTCH,0007,Precinct 41,70,29,0,25,4,0,0,0,25,4,0,0,0,25,4,0,25,4,0,0,25,3,0,24,4,25,3,0,24,4,0,25,3,25,3,23,4,25,4,26,26,26,27,23,27,18,11,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,
HUTCH,0007,Precinct 41,70,23,0,22,1,0,0,0,21,1,0,0,0,22,1,0,21,2,0,0,21,2,0,21,2,21,2,0,21,2,0,21,2,21,2,21,2,21,2,22,23,22,22,22,22,14,8,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
HUTCH,0008,Precinct 42,2468,77,0,51,25,0,0,0,46,26,1,1,0,50,25,1,47,24,1,1,46,27,0,48,25,48,25,0,48,24,1,45,29,45,27,47,24,48,25,57,49,51,51,53,53,35,28,56,0,0,52,0,11,7,29,12,19,25,32,49,0,0,0,0,0,0,0,0,0,0,0,0,40,27,
HUTCH,0008,Precinct 42,2468,810,0,658,133,12,2,2,653,118,19,4,2,653,127,21,655,116,20,6,644,136,16,669,133,660,125,14,659,126,14,671,130,667,134,673,124,667,132,750,744,742,741,733,732,486,273,757,0,0,740,0,182,87,316,261,293,307,378,646,0,0,0,0,0,0,0,0,0,0,22,24,435,297,
HUTCH,0008,Precinct 42,2468,306,0,236,58,5,3,1,223,57,12,4,0,223,58,14,215,58,15,2,211,62,15,230,61,218,59,11,212,57,18,221,66,228,60,226,58,224,66,282,282,281,281,285,281,187,105,287,0,0,286,0,95,36,116,95,127,100,164,261,0,0,0,0,0,0,0,0,0,0,3,3,165,117,
HUTCH,ZZZ,COUNTY TOTALS,13537,8815,0,7681,965,115,10,14,7575,900,178,36,11,7595,907,208,7563,873,195,38,7482,997,188,7726,947,7572,924,179,7574,908,186,7704,970,7716,938,7735,921,7695,953,8348,8284,8288,8292,8245,8274,5521,2980,8399,2624,2071,3207,5094,966,676,2432,1835,2267,1787,2212,3861,979,986,797,875,886,564,486,461,638,698,577,662,2653,1621,
