COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 87","Chief Justice, 7th Ct of App Dist","Justice, 7th Ct of App Dist, Pl 4","Dist Judge, 84th Judicial Dist","Dist Attorney, 84th Judicial Dist",County Attorney,Sheriff,Sheriff,County Tax Assessor-Collector,County Commissioner,County Commissioner,Constable,Constable,Trustee,Trustee,Trustee,Trustee,Trustee,"City Council Member, PL 2","City Council Member, PL 2","City Council, PL 3",School Board Trustee,School Board Trustee,School Board Trustee,School Board Trustee,Mayor,Alderman,Alderman,Alderman,Alderman,Alderman,PROPOSITION A,PROPOSITION A,PROPOSITION A,PROPOSITION A,
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,Write-in,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,Write-in,REP Ronny Jackson,DEM Gus Trujillo,LIB Jack B. Westbrook,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,"GRN Katija ""Kat"" Gruene",REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Jay Johnson,DEM John Betancourt,REP Four Price,REP Brian Quinn,REP Larry Doss,REP Curt W. Brancheau,REP Mark W. Snider,REP Craig Jones,REP Blaik Kemp,Write-in,REP Carrie Kimmell,REP Gary Alexander,REP Ben Bentley,REP Terry Webster,REP Scott Jordan,Pedro Murga,James Orcutt,Les Sharp,Payton Lumpkin,Cody Sessions,James Marrs II,Kim Perez,Karen Felker,Stacey Boothe,Logan Bidwell,Brandon Williams,Doug Moneymaker,Richard Hein,Billy Robbins,Jim Story,Ivan Wade,Christopher G. Pierce,Jeremy Rice,FOR,AGAINST,FOR,AGAINST,
HUTCH,0001,Precinct 11,1829,75,0,63,11,1,0,0,63,11,1,0,0,61,11,0,64,9,0,0,62,10,0,61,10,61,10,0,62,9,0,61,9,61,9,63,8,62,9,65,63,63,63,60,64,52,14,65,61,0,0,63,9,5,36,18,28,35,26,54,0,0,0,0,0,0,0,0,0,0,0,0,36,28,
HUTCH,0001,Precinct 11,1829,905,0,797,93,11,0,2,793,82,17,1,0,795,87,16,788,83,20,4,786,93,16,812,84,796,85,15,797,83,14,803,93,802,88,811,83,806,83,862,861,864,864,859,865,574,302,875,866,0,0,860,150,103,496,315,391,347,433,758,0,0,0,0,0,0,0,0,0,0,0,0,543,298,
HUTCH,0001,Precinct 11,1829,287,0,257,22,6,0,1,250,23,10,0,0,247,24,10,249,20,9,1,243,25,12,256,25,251,19,11,248,22,10,256,24,257,22,256,23,252,26,276,279,279,281,277,280,196,85,280,278,0,0,276,54,42,137,98,148,131,127,253,0,0,0,0,0,0,0,0,0,0,0,0,172,94,
HUTCH,0002,Precinct 14,2032,94,0,65,26,1,0,0,67,24,1,1,0,68,24,0,65,25,1,1,67,24,0,69,23,64,26,1,68,24,0,68,24,65,23,67,25,66,23,79,74,73,72,75,77,54,31,77,75,0,0,76,8,5,40,34,36,26,28,55,0,0,0,0,0,0,0,0,0,0,0,0,46,17,
HUTCH,0002,Precinct 14,2032,1074,0,954,111,7,0,0,943,104,15,2,0,945,107,15,950,105,10,0,937,117,13,953,107,944,107,13,941,112,12,953,110,954,110,954,108,956,110,1038,1036,1033,1039,1028,1028,686,371,1052,1046,0,0,1043,159,173,533,458,545,275,366,635,0,0,0,0,0,0,0,0,0,0,0,0,446,234,
HUTCH,0002,Precinct 14,2032,307,0,267,30,7,0,3,263,31,8,3,0,261,34,12,264,29,11,1,260,34,11,273,32,265,27,13,269,29,7,266,38,273,31,274,31,269,36,300,302,299,300,299,297,217,82,298,298,0,0,299,60,56,147,91,159,100,101,198,0,0,0,0,0,0,0,0,0,0,0,0,130,87,
HUTCH,0003,Precinct 21,3354,118,0,90,25,1,0,0,92,24,0,1,0,89,26,2,91,24,0,1,88,24,2,90,25,91,24,2,89,26,2,91,25,88,27,91,25,88,28,104,100,103,104,99,103,69,41,106,0,0,0,102,0,0,0,0,0,0,0,0,37,34,34,30,30,18,17,12,15,22,0,2,0,0,
HUTCH,0003,Precinct 21,3354,1938,0,1757,151,21,3,2,1735,131,36,7,3,1741,135,38,1724,127,40,9,1715,156,35,1764,145,1736,141,31,1730,141,35,1764,145,1765,143,1769,138,1762,138,1855,1838,1844,1844,1831,1832,1134,756,1858,0,0,0,1845,1,2,7,8,5,0,0,0,806,824,654,748,743,473,419,392,540,592,16,16,0,0,
