#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Donald J. Trump/Michael R. Pence,4,REP,830,0,0,0,38,0,0,0,724,0,0,0,98,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Joseph R. Biden/Kamala D. Harris,3,DEM,127,0,0,0,31,0,0,0,120,0,0,0,7,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,"Jo Jorgensen/Jeremy ""Spike"" Cohen",1,LIB,6,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Howie Hawkins/Angela Walker,2,GRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Abram Loeb/Jennifer Jairala,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Brian Carroll/Amar Patel,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Gloria La Riva/Leonard Peltier,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Jesse Cuellar/Jimmy Monreal,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,Kasey Wells/Rachel Wells,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103 - BS2,16,Reporting         ,0,963,0,President/Vice President,85,,President R. Boddie/Eric C. Stoneham,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
