political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_Code,early_votes,election_votes
Coryell County,11/3/20,General Election,42,5,101 BS2,1973,President and Vice President,Donald J. Trump Michael R. Pence,REP,702,84
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,359,39
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,17,4
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Howie Hawkins Angela Walker,GRN,0,1
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Jesse Cuellar,,0,0
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Todd Cella/Tim Cella,,0,0
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Tom Hoefling,,0,0
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Rejected write-ins,,0,0
Coryell County,11/3/20,General Election,,,101 BS2,1973,President and Vice President,Unassigned write-ins,,3,3
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,John Cornyn,REP,702,87
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,"Mary ""MJ"" Hegar",DEM,335,34
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,Kerry Douglas McKennon,LIB,25,4
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,David B. Collins,GRN,6,2
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,Ricardo Turullols-Bonailla,,0,0
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,Rejected write-ins,,0,0
Coryell County,11/3/20,General Election,,,101 BS2,1973,United States Senator,Unassigned write-ins,,2,2
Coryell County,11/3/20,General Election,,,101 BS2,1973,"United States Representative, District No. 25",Roger Williams,REP,697,85
Coryell County,11/3/20,General Election,,,101 BS2,1973,"United States Representative, District No. 25",Julie Oliver,DEM,329,39
Coryell County,11/3/20,General Election,,,101 BS2,1973,"United States Representative, District No. 25",Bill Kelsey,LIB,39,4
Coryell County,11/3/20,General Election,,,101 BS2,1973,Railroad Commissioner,"James ""Jim"" Wright",REP,694,85
Coryell County,11/3/20,General Election,,,101 BS2,1973,Railroad Commissioner,Chrysta Castañeda,DEM,307,35
Coryell County,11/3/20,General Election,,,101 BS2,1973,Railroad Commissioner,Matt Sterett,LIB,41,5
Coryell County,11/3/20,General Election,,,101 BS2,1973,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,12,3
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Chief Justice, Supreme Court",Nathan Hecht,REP,685,85
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,329,37
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Chief Justice, Supreme Court",Mark Ash,LIB,38,7
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,733,88
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,318,40
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,695,87
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,318,36
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,35,5
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,696,86
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,318,35
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,35,7
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Judge, Court of Criminal Appeals, Place No. 3",Bert Richardson,REP,707,90
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Judge, Court of Criminal Appeals, Place No. 3",Elizabeth Davis Frizell,DEM,339,38
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Judge, Court of Criminal Appeals, Place No. 4",Kevin Patrick Yeary,REP,721,89
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Judge, Court of Criminal Appeals, Place No. 4",Tina Clinton,DEM,324,37
Coryell County,11/3/20,General Election,,,101 BS2,1973,"Judge, Court of Criminal Appeals, Place No. 9",David Newell,REP,713,89
