COUNTY NUMBER,ELECTION DATE,ELECTION NAME,TOTAL PROVISIONAL BALLOTS ,TOTAL PROVISIONAL BALLOTS COUNTED,ELECTION DAY VOTES AND EARLY VOTES ,PRECINCT NAME,REGISTERED VOTERS TOTAL,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,"REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13",REP Railroad Commissioner,REP Railroad Commissioner,"REP Chief Justice, Supreme Court","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 8","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 9","REP Member, State BoE, Dist 15","REP State Representative, Dist 68","REP Justice, 2nd Ct of App Dist, Pl 2","REP Justice, 2nd Ct of App Dist, Pl 6","REP Justice, 2nd Ct of App Dist, Pl 7","REP Justice, 2nd Ct of App Dist, Pl 7","REP Justice, 2nd Ct of App Dist, Pl 7","REP Dist Judge, 235th Judicial Dist","REP Dist Judge, 235th Judicial Dist","REP Dist Attorney, 235th Judicial Dist",REP County Attorney,REP Sheriff,REP Sheriff,REP County Tax Assessor-Collector,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP Constable,REP Constable,REP Constable,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10
,,,,,,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP
,,,,,,,VOTERS,Bob Ely,Joe Walsh,Zoltan G. Istvan,Roque Rocky DeLa Fuente Guerra,Bill Weld,Donald J. Trump,Matthew John Matern,Uncommitted,John Anthony Castro,Mark Yancey,Virgil Bierschwale,Dwayne Stovall,John Cornyn,Chris Ekstrom,Jamie Culley,Matt McArthur,"Catherine ""I Swear"" Carr",Vance Snider II,Monique Worthy,Richard Herman,Asusena Resendiz,Ronny Jackson,Mark Neese,Josh Winegarner,Lee Harvey,Jason Foglesong,Elaine Hays,Diane Knowlton,Ryan Sitton,"James ""Jim"" Wright",Nathan Hecht,Jane Bland,Jeff Boyd,Brett Busby,Bert Richardson,Gina Parker,Kevin Patrick Yeary,David Newell,Jay Johnson,Drew Springer,Dana Womack,Mike Wallach,Elizabeth Beach,John P. Chupp,Brian Walker,Kyle Kemp,Janelle M. Haverkamp,John Warren,Ed Zielinski,Ray Sappington,Terry Wayne Gilbert,Brandy Ann Carr,Gary Hollowell,Dwayne Arterbury,Horace Jeffcoat (Jr),John Klement,Adam P. Arendt,Mark Westbrook,Darla Barr,Chuck Owen,Chris McNamara,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 1,1409,0,4,1,2,0,112,0,7,10,12,2,19,73,31,1,2,4,3,3,2,2,8,9,18,2,0,17,6,41,60,96,97,99,99,43,60,99,99,98,108,98,99,43,11,44,56,74,104,107,55,72,108,0,0,0,65,51,0,0,103,104,118,12,98,28,114,11,108,18,106,19,112,11,128,0,124,3,116,8,114,9
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 1,1409,2,2,0,1,1,215,2,25,20,12,3,21,10,64,6,9,6,2,2,1,4,13,11,67,9,6,22,6,76,136,219,213,212,213,112,91,212,210,215,242,212,211,72,29,96,130,127,228,229,124,130,236,0,0,0,111,136,0,0,228,221,208,45,203,46,242,11,214,35,214,36,230,18,239,10,243,6,236,15,230,14
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 2,263,0,1,0,0,0,10,0,0,0,0,0,2,9,5,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,5,9,9,9,9,6,2,9,9,9,10,9,9,2,3,3,7,4,10,11,5,6,9,0,0,0,0,0,6,4,0,9,9,2,8,3,10,1,11,0,9,1,10,1,11,0,10,1,11,0,10,0
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 2,263,0,0,0,0,0,27,0,2,3,1,0,3,19,4,2,0,1,0,1,0,0,4,0,4,2,1,3,2,9,15,22,25,24,25,8,19,25,25,23,23,24,23,9,2,12,14,14,23,23,12,16,24,0,0,0,0,0,14,11,0,24,26,3,22,6,25,4,26,3,24,5,25,3,28,1,27,1,27,2,25,4
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 3,460,0,0,0,0,0,60,0,6,6,5,2,6,44,14,1,4,3,2,1,1,0,5,8,9,4,1,3,2,20,36,53,53,53,52,28,26,52,52,52,60,52,53,15,12,24,30,35,55,59,32,34,57,0,0,0,41,23,0,0,56,58,54,11,49,14,61,4,63,2,58,7,60,3,63,1,65,0,63,1,56,7
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 3,460,0,1,0,0,0,106,0,8,5,7,0,6,89,32,3,6,2,3,1,2,0,5,3,23,5,3,13,1,32,65,101,99,103,101,54,40,102,103,101,108,101,103,22,15,56,57,55,98,101,52,62,103,0,0,0,59,54,0,0,97,102,98,16,92,20,101,8,105,7,107,6,105,6,110,2,112,1,106,7,104,7
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 4,557,1,0,0,0,0,69,0,6,2,4,2,17,45,15,0,1,1,1,1,2,1,10,3,17,3,3,9,2,27,38,66,67,68,69,31,34,70,69,69,71,68,71,23,15,26,29,50,74,75,42,37,73,33,21,21,0,0,37,35,0,72,71,7,65,13,73,6,71,6,69,8,71,8,75,4,73,5,72,6,70,8
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 4,557,0,1,0,0,0,84,0,2,2,5,0,12,58,14,1,6,1,1,1,1,0,12,3,24,2,1,5,1,23,48,79,74,74,74,47,24,72,73,75,79,74,75,14,10,44,45,45,74,77,44,45,81,48,12,28,0,0,50,35,0,80,64,23,68,18,78,5,80,5,75,9,77,6,82,3,80,4,79,4,78,6
