political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,election_votes,early_votes
Palo Pinto County,3/3/2020,March 3rd Primary,24,5,1,0,President,Robby Wells,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Andrew Yang,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,"Roque ""Rocky"" De La Fuente",DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Michael Bennet,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Michael R. Bloomberg,DEM,1,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Tulsi Gabbard,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Julián Castro,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Cory Booker,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Joseph R. Biden,DEM,10,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Marianne Williamson,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Pete Buttigieg,DEM,0,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Tom Steyer,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Bernie Sanders,DEM,11,6
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Deval Patrick,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,John K. Delaney,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Elizabeth Warren,DEM,3,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Amy Klobuchar,DEM,0,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,"Annie ""Mamá"" Garcia",DEM,5,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Michael Cooper,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,"Mary ""MJ"" Hegar",DEM,6,7
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Adrian Ocegueda,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Amanda K. Edwards,DEM,2,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Jack Daniel Foster Jr,DEM,0,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Sema Hernandez,DEM,1,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,D.R. Hunter,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Cristina Tzintzun Ramirez,DEM,2,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Victor Hugo Harris,DEM,1,0
