Polictical_Subdivision,Election_Date,Election_Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precint__Number,Reg_Voters,Race_Name,Canadidate_Name,Party Code,Election_Votes,Early_Votes
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Pete Buttigieg,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Julián Castro,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Deval Patrick,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Cory Booker,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Michael R. Bloomberg,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Marianne Williamson,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,"Roque ""Rocky"" De La Fuente",,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Tulsi Gabbard,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Tom Steyer,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,John K. Delaney,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Michael Bennet,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Andrew Yang,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Joseph R. Biden,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Amy Klobuchar,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Elizabeth Warren,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Robby Wells,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,President,Bernie Sanders,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,"Mary ""MJ"" Hegar",,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Chris Bell,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Cristina Tzintzun Ramirez,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Victor Hugo Harris,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,"Annie ""Mamá"" Garcia",,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Amanda K. Edwards,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Royce West,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Adrian Ocegueda,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,D.R. Hunter,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Michael Cooper,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Jack Daniel Foster Jr,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,United States Senator,Sema Hernandez,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"United States Representative,
District No. 13",Timothy W. Gassaway,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"United States Representative,
District No. 13",Greg Sagan,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"United States Representative,
District No. 13",Gus Trujillo,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Railroad Commissioner,Chrysta Castañeda,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Railroad Commissioner,Kelly Stone,,0,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Railroad Commissioner,Mark Watson,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Chief Justice, Supreme Court",Jerry Zimmerer,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Chief Justice, Supreme Court",Amy Clark Meachum,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Justice, Supreme Court, Place 6
Unexpired Term",Larry Praeger,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Justice, Supreme Court, Place 6
Unexpired Term",Kathy Cheng,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Justice, Supreme Court, Place 7",Brandy Voss,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Justice, Supreme Court, Place 7",Staci Williams,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Justice, Supreme Court, Place 8",Peter Kelly,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Justice, Supreme Court, Place 8",Gisela D. Triana,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Judge, Court of Criminal Appeals, Place 3",William Pieratt Demond,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Judge, Court of Criminal Appeals, Place 3",Dan Wood,,0,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Judge, Court of Criminal Appeals, Place 4",Steven Miears,,1,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,"Member, State Board of Education, District 15",John Betancourt,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #1,Yes,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #1,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #2,Yes,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #2,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #3,Yes,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #3,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #4,Yes,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #4,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #5,Yes,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #5,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #6,Yes,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #6,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #7,Yes,,1,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #7,No,,0,0
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #8,Yes,,2,1
Roberts County,3/3/2020,Democratic Primary,0,0,1,152,Proposition #8,No,,0,0
