political_subdivision,election_date,election_name,total provisional ballots ,total provisionals counted,precinct_number,reg_voters,race_name,candidate_name,party code,early-votes,election_votes
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Bob Ely,REP,0,0
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Donald J. Trump,REP,171,341
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,"Roque ""Rocky"" De La Fuente Guerra",REP,0,2
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Joe Walsh,REP,2,2
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Zoltan G. Istvan,REP,0,0
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Matthew John Matern,REP,0,0
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Bill Weld,REP,1,4
Brazos County,3/3/2020,Primary,1,,1,1969,President / Vice President,Uncommitted,REP,8,22
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Tom Steyer,DEM,1,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Amy Klobuchar,DEM,2,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Andrew Yang,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Cory Booker,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Michael Bennet,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Joseph R. Biden,DEM,10,53
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Robby Wells,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Elizabeth Warren,DEM,3,14
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Tulsi Gabbard,DEM,1,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Julián Castro,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Bernie Sanders,DEM,4,15
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Pete Buttigieg,DEM,2,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Deval Patrick,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Michael R. Bloomberg,DEM,4,5
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,John K. Delaney,DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,"Roque ""Rocky"" De La Fuente",DEM,0,0
Brazos County,3/3/2020,Primary,,,1,1969,President / Vice President,Marianne Williamson,DEM,0,0
Brazos County,3/3/2020,Primary,1,,1,1969,US Senator,John Anthony Castro,REP,2,11
Brazos County,3/3/2020,Primary,1,,1,1969,US Senator,Virgil Bierschwale,REP,2,4
Brazos County,3/3/2020,Primary,1,,1,1969,US Senator,Dwayne Stovall,REP,19,40
Brazos County,3/3/2020,Primary,1,,1,1969,US Senator,Mark Yancey,REP,9,29
