political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,absentee_votes,Early Voting Votes,early_votes,election_votes,party_code
Wheeler County,3/3/20,Primary ,0,0,1,234,President,Zoltan G. Istvan,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,Matthew John Matern,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,Donald J. Trump,9,67,76,59,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,Bill Weld,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,Bob Ely,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,Joe Walsh,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,President,Uncommitted,0,0,0,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,United States Senator,Virgil Bierschwale,0,0,0,2,REP
Wheeler County,3/3/20,Primary ,,,1,234,United States Senator,John Anthony Castro,0,4,4,3,REP
Wheeler County,3/3/20,Primary ,,,1,234,United States Senator,Mark Yancey,0,9,9,5,REP
Wheeler County,3/3/20,Primary ,,,1,234,United States Senator,Dwayne Stovall,0,5,5,11,REP
Wheeler County,3/3/20,Primary ,,,1,234,United States Senator,John Cornyn,9,41,50,28,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Matt McArthur,0,2,2,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Josh Winegarner,6,41,47,30,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Chris Ekstrom,1,0,1,7,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Vance Snider II,0,11,11,5,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Monique Worthy,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Mark Neese,0,0,0,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Asusena Reséndiz,0,0,0,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Ronny Jackson,2,4,6,9,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Diane Knowlton,0,0,0,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Richard Herman,0,0,0,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Lee Harvey,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13","Catherine ""I SWEAR"" Carr",0,1,1,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Jamie Culley,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Elaine Hays,0,1,1,1,REP
Wheeler County,3/3/20,Primary ,,,1,234,"United States Representative, District No. 13",Jason Foglesong,0,0,0,0,REP
Wheeler County,3/3/20,Primary ,,,1,234,Railroad Commissioner,"James ""Jim"" Wright",6,30,36,30,REP
Wheeler County,3/3/20,Primary ,,,1,234,Railroad Commissioner,Ryan Sitton,1,24,25,20,REP
