political_subdivision,election_date,election_name,total Prov ballots,total prov ballots counted,precinct_number,reg_voters,reg_voters,race_name,candidate_name,party  code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
San Patricio County,3/3/2020,Republican Primary Election,7,2,101,479,479,President,Joe Walsh,,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,"Roque ""Rocky"" De La Fuente Guerra",,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,Matthew John Matern,,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,Donald J. Trump,,26,33,0,26
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,Bill Weld,,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,Zoltan G. Istvan,,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,Bob Ely,,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,President,Uncommitted,,0,5,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,United States Senator,Mark Yancey,,0,6,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,United States Senator,Virgil Bierschwale,,0,0,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,United States Senator,Dwayne Stovall,,4,5,0,4
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,United States Senator,John Cornyn,,22,21,0,22
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,United States Senator,John Anthony Castro,,0,3,0,0
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,"United States Representative,
District No. 27",Michael Cloud,,24,37,0,24
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,Railroad Commissioner,Ryan Sitton,,5,9,0,5
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,Railroad Commissioner,"James ""Jim"" Wright",,18,24,0,18
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,"Chief Justice, Supreme Court",Nathan Hecht,,22,36,0,22
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,"Justice, Supreme Court, Place 6 - Unexpired Term",Jane Bland,,22,36,0,22
San Patricio County,3/3/2020,Republican Primary Election,,,101,479,479,"Justice, Supreme Court, Place 7",Jeff Boyd,,21,36,0,21
