Precinct_name,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Zoltan G. Istvan,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Donald J. Trump,2,,114,0,0,0,8,0,0,0,60,0,0,0,46,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Bob Ely,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Joe Walsh,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Matthew John Matern,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,"Roque ""Rocky"" De La Fuente Guerra",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Bill Weld,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,19,REP,Uncommitted  (No comprometido),5,,5,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,34,DEM,Robby Wells,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,34,DEM,Tulsi Gabbard,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,34,DEM,Marianne Williamson,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,34,DEM,John K. Delaney,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,34,DEM,Deval Patrick,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct 101,8,Reporting         ,0,119,37,0,0,President,34,DEM,"Roque ""Rocky"" De La Fuente",12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
