#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precinct,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Michael R. Bloomberg,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Andrew Yang,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Cory Booker,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,John K. Delaney,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Pete Buttigieg,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Marianne Williamson,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,"Roque ""Rocky"" De La Fuente",1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Bernie Sanders,10,,7,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Deval Patrick,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Michael Bennet,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Joseph R. Biden,12,,8,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Tulsi Gabbard,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Elizabeth Warren,7,,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Julián Castro,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Amy Klobuchar,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Robby Wells,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,President,17,DEM,Tom Steyer,3,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Cristina Tzintzun Ramirez,4,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Michael Cooper,12,,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Victor Hugo Harris,2,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,D. R. Hunter,7,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Sema Hernandez,6,,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,"Annie ""Mamá"" Garcia",5,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Chris Bell,8,,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Amanda K. Edwards,9,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Adrian Ocegueda,10,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,"Mary ""MJ"" Hegar",1,,7,0,1,0,3,0,1,0,2,0,0,0,2,0,0,0
1,17,Reporting         ,0,127,18,0,0,United States Senator,63,DEM,Royce West,11,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
