political_subdivision,election_date,election_name,total Prov ballots,total prov ballots counted,precinct_number,reg_voters,reg_voters,race_name,candidate_name,party  code,early_votes,election_votes
San Patricio County,3/3/2020,Democratic Primary Election,20,15,101,479,479,President,Joseph R. Biden,,10,20
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Cory Booker,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Tulsi Gabbard,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Julián Castro,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Andrew Yang,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Amy Klobuchar,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Bernie Sanders,,3,7
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Deval Patrick,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Marianne Williamson,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Michael Bennet,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Tom Steyer,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Robby Wells,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Pete Buttigieg,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,"Roque ""Rocky"" De La Fuente",,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Michael R. Bloomberg,,3,10
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,Elizabeth Warren,,2,2
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,President,John K. Delaney,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Adrian Ocegueda,,1,4
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,"Mary ""MJ"" Hegar",,2,3
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Amanda K. Edwards,,1,3
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Jack Daniel Foster Jr,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,D.R. Hunter,,1,2
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Michael Cooper,,1,6
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Royce West,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Cristina Tzintzun Ramirez,,6,18
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Chris Bell,,5,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Victor Hugo Harris,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,Sema Hernandez,,0,0
