Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provision al Ballots Counted,Precinct ID,Reg_voters,Race Name,Candidate Name,Early Vote Totals,Election Day Vote Totals
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Joe Walsh,2,2
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Donald J. Trump,140,151
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Matthew John Matern,0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,"Roque ""Rocky"" De La Fuente Guerra",0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Bill Weld,0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Bob Ely,0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Zoltan G. Istvan,0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,President,Uncommitted,4,1
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,United States Senator,John Cornyn,109,112
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,United States Senator,Virgil Bierschwale,2,2
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,United States Senator,Mark Yancey,7,7
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,United States Senator,John Anthony Castro,3,1
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,United States Senator,Dwayne Stovall,16,17
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",George W. Hindman,27,28
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Jeff Oppenheim,3,2
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Todd Kent,9,13
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Trent Sutton,10,7
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Laurie Godfrey McReynolds,1,2
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Elianor Vessali,4,20
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Renée Swann,55,45
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Kristen Alamo Rowin,2,1
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",David Saucedo,1,2
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Ahmad Adnan,0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Scott Bland,0,0
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"United States Representative, District 17",Pete Sessions,25,18
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,Railroad Commissioner,"James ""Jim"" Wright",79,92
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,Railroad Commissioner,Ryan Sitton,43,42
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"Chief Justice, Supreme Court",Nathan Hecht,114,127
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"Justice, Supreme Court, Place 6 - Unexpired Term",Jane Bland,116,127
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"Justice, Supreme Court, Place 7",Jeff Boyd,116,126
Burleson County,"Mar. 3, 2020",Republican Primary,0,0,113,664,"Justice, Supreme Court, Place 8",Brett Busby,114,128
