COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - NONPARTISAN,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,BALLOTS CAST TOTAL,BALLOTS CAST - NONPARTISAN,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST BLANK,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,"REP US Representative, Dist 6",REP Railroad Commissioner,REP Railroad Commissioner,"REP Chief Justice, Supreme Court","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 8","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 9","REP Member, State BoE, Dist 14","REP Member, State BoE, Dist 14","REP State Senator, Dist 22","REP State Representative, Dist 8","REP Justice, 10th Ct of App Dist, Pl 2","REP Justice, 10th Ct of App Dist, Pl 3","REP Dist Judge, 13th Judicial Dist",REP Crim Dist Attorney Navarro Co,REP Crim Dist Attorney Navarro Co,"REP Judge, Co Court at Law",REP Sheriff,REP Sheriff,REP County Tax Assessor-Collector,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,"DEM US Representative, Dist 6",DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 9","DEM Member, State BoE, Dist 14","DEM State Senator, Dist 22",DEM County Chair,DEM Proposition #1,DEM Proposition #1,DEM Proposition #2,DEM Proposition #2,DEM Proposition #3,DEM Proposition #3,DEM Proposition #4,DEM Proposition #4,DEM Proposition #5,DEM Proposition #5,DEM Proposition #6,DEM Proposition #6,DEM Proposition #7,DEM Proposition #7,DEM Proposition #8,DEM Proposition #8,DEM Proposition #9,DEM Proposition #9,DEM Proposition #10,DEM Proposition #10,DEM Proposition #11,DEM Proposition #11
,,,,NON,REP,DEM,,NON,REP,DEM,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Bob Ely,Donald J. Trump,Zoltan G. Istvan,Bill Weld,Matthew John Matern,Roque Rocky DeLa Fuente Guerra,Joe Walsh,Uncommitted,John Cornyn,John Anthony Castro,Virgil Bierschwale,Dwayne Stovall,Mark Yancey,Ron Wright,"James ""Jim"" Wright",Ryan Sitton,Nathan Hecht,Jane Bland,Jeff Boyd,Brett Busby,Gina Parker,Bert Richardson,Kevin Patrick Yeary,David Newell,Maria Y. Berry,Sue Melton-Malone,Brian Birdwell,Cody Harris,Matt Johnson,John E. Neill,James Lagomarsino,"William ""Will"" Dixon",Will Thompson,Amanda Putman,Elmer Tanner,David Foreman,Mike Dowd,Jason Grant,Kevin Matthews,Eddie Moore,Mike Davis,Charles Paul,Roy Ivey,Bobby Rachel,Kipp Thomas,Eric Ryan Meyers,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Julian Castro,Marianne Williamson,John K. Delaney,Cory Booker,Andrew Yang,Pete Buttigieg,Bernie Sanders,"Roque ""Rocky"" De La Fuente",Deval Patrick,Robby Wells,Tom Steyer,Tulsi Gabbard,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Michael R. Bloomberg,Michael Bennet,Victor Hugo Harris,Adrian Ocegueda,D. R. Hunter,Royce West,Mary (MJ) Hegar,Amanda K. Edwards,Cristina Tzintzun Ramirez,Chris Bell,"Jack Daniel Foster, Jr.",Michael Cooper,Sema Hernandez,"Annie ""Mama"" Garcia",Stephen Daniel,Chrysta Castaneda,"Roberto R. ""Beto"" Alonzo",Kelly Stone,Mark Watson,Jerry Zimmerer,Amy Clark Meachum,Larry Praeger,Kathy Cheng,Staci Williams,Brandy Voss,Peter Kelly,Gisela D. Triana,Elizabeth Davis Frizell,Dan Wood,William Pieratt Demond,Tina Clinton,Steven Miears,Brandon Birmingham,Greg Alvord,Robert Vick,Enoch Basnett,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
175NAVARRO,1,PRECINCT 101,1944,1944,0,0,564,0,382,182,0,2,337,0,2,1,0,7,27,309,18,1,23,16,362,290,70,358,356,357,356,207,134,349,348,166,182,352,362,355,352,361,133,242,347,321,52,361,358,0,0,355,0,0,0,0,361,304,74,299,80,346,29,340,36,326,51,353,18,369,5,370,7,361,17,348,28,0,0,1,2,0,2,36,0,0,0,6,0,92,4,12,25,0,8,7,0,65,35,8,10,4,4,9,6,14,160,42,52,35,37,46,123,59,108,117,53,77,87,112,43,9,124,43,158,159,158,161,171,6,171,6,176,2,172,6,173,5,176,1,173,5,176,3,176,3,170,10,156,22
175NAVARRO,2,PRECINCT 103,1739,1739,0,0,741,0,621,120,0,3,563,0,5,1,0,2,39,509,23,2,38,26,581,427,150,568,567,566,568,284,260,565,565,244,305,580,582,567,565,583,252,361,576,502,111,590,587,0,0,581,0,0,0,0,583,535,84,505,111,565,52,578,38,543,67,573,40,602,11,599,15,592,24,570,44,0,0,0,1,0,7,29,0,0,1,0,0,43,1,7,28,0,6,3,4,37,28,6,6,4,1,4,4,6,106,37,24,22,21,17,90,23,78,70,36,39,63,81,19,2,83,22,104,105,105,103,114,5,114,5,117,2,113,4,116,2,112,5,112,4,113,5,111,5,108,7,109,5
175NAVARRO,3,PRECINCT 104,708,708,0,0,200,0,174,26,0,0,166,0,1,0,1,1,4,146,7,0,11,7,171,142,27,166,168,166,167,84,82,166,166,63,97,171,167,167,165,169,72,101,167,145,28,168,167,0,0,167,0,0,0,0,166,142,32,140,33,159,12,167,6,163,11,165,9,170,2,173,1,163,10,165,8,0,0,0,1,0,1,3,0,0,0,1,0,12,1,1,6,0,4,0,1,8,5,0,1,0,1,1,0,1,22,7,11,2,2,10,13,6,17,16,5,12,10,14,8,0,15,7,19,20,20,20,24,1,24,1,25,0,25,0,25,0,25,0,24,1,25,0,24,1,23,2,23,2
175NAVARRO,4,PRECINCT 105,299,299,0,0,117,0,107,10,0,0,106,0,0,0,0,1,0,80,3,1,18,3,101,74,26,103,102,101,101,52,47,99,99,40,58,103,104,100,100,101,43,62,101,91,16,104,102,0,0,100,0,0,0,0,102,88,18,83,23,97,8,103,3,96,9,99,7,105,2,104,1,99,7,96,10,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,1,0,2,0,0,1,3,0,1,1,0,0,0,0,6,0,2,0,7,2,6,3,6,7,2,5,3,5,3,1,7,2,7,7,7,7,10,0,10,0,10,0,9,1,10,0,10,0,9,1,10,0,10,0,10,0,8,2
175NAVARRO,5,PRECINCT 106,570,570,0,0,174,0,141,33,0,0,135,0,0,1,0,1,4,112,9,0,12,1,133,98,30,129,132,132,132,67,61,132,130,47,80,132,131,130,129,133,51,89,131,111,29,136,132,0,0,129,0,0,0,0,132,115,23,116,22,129,7,128,7,126,11,133,6,140,0,138,2,132,6,121,18,0,0,0,0,0,2,10,0,0,0,0,0,13,1,1,5,0,1,3,0,8,6,3,5,2,0,2,2,1,30,9,13,3,8,10,22,9,24,26,7,13,20,26,5,2,27,5,32,33,33,31,30,3,31,2,31,2,31,2,31,2,30,3,30,3,30,3,32,1,31,2,30,3
175NAVARRO,6,PRECINCT 107,1246,1246,0,0,268,0,191,77,0,1,176,0,1,1,3,0,8,147,11,3,18,8,188,136,48,182,182,183,181,102,79,182,180,92,89,184,183,183,180,181,80,107,182,132,54,182,184,0,0,182,0,0,0,0,179,148,41,157,33,171,15,176,11,167,21,173,13,183,3,186,2,179,9,168,21,0,0,1,0,0,0,21,0,0,0,0,1,40,1,2,9,1,0,1,2,21,18,3,11,1,0,3,6,5,66,27,21,8,12,16,52,21,45,47,23,29,38,53,9,5,52,15,66,67,67,66,76,1,75,2,75,1,73,3,74,2,72,3,70,5,72,3,73,2,69,7,69,6
175NAVARRO,7,PRECINCT 108,458,458,0,0,162,0,137,25,0,0,131,0,0,0,0,1,4,109,3,1,11,5,136,100,32,131,131,132,132,70,54,131,131,54,72,133,133,132,130,129,53,83,128,108,26,134,135,0,0,133,0,0,0,0,133,120,16,121,16,121,15,132,5,124,13,131,6,135,2,135,2,134,3,126,9,1,0,0,0,0,0,6,0,0,0,0,0,15,0,0,3,0,1,0,1,6,6,1,1,2,0,1,1,2,20,5,10,2,5,6,18,9,12,16,4,11,11,13,5,3,16,5,21,23,21,21,24,1,22,2,24,0,23,1,25,0,24,0,23,0,22,3,25,0,23,1,23,1
175NAVARRO,8,PRECINCT 109,422,422,0,0,146,0,121,25,0,0,116,0,0,0,0,0,4,97,4,0,10,6,113,93,21,114,116,114,115,57,57,116,115,48,66,117,116,115,115,117,38,82,117,93,27,116,116,0,0,117,0,0,0,0,116,98,23,89,32,116,4,114,5,113,8,117,2,117,3,120,0,112,8,113,5,0,0,0,1,0,0,5,0,0,0,1,0,14,0,1,3,0,0,0,0,7,7,0,3,3,0,1,3,1,23,6,10,6,3,5,19,10,14,15,9,10,14,18,4,2,21,3,23,23,23,23,25,0,23,2,25,0,24,1,23,2,24,1,23,2,24,1,25,0,24,1,21,3
