Political Subdivision,Election Date,Elec Name,Total Prov Ballots,Total Prov Counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Deval Patrick,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Joseph R. Biden,DEM,0,4
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Pete Buttigieg,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Amy Klobuchar,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Julián Castro,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Marianne Williamson,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Bernie Sanders,DEM,2,8
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Andrew Yang,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,John K. Delaney,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Robby Wells,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Tulsi Gabbard,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Michael Bennet,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Elizabeth Warren,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Michael R. Bloomberg,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,"Roque ""Rocky"" De La Fuente",DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Cory Booker,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,President,Tom Steyer,DEM,0,0
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,United States Senator,Adrian Ocegueda,DEM,0,1
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,United States Senator,Michael Cooper,DEM,0,1
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,United States Senator,Sema Hernandez,DEM,0,4
Martin County,3/3/20,2020 Dem Primary,0,0,1,252,United States Senator,Cristina Tzintzun Ramirez,DEM,2,0
