Political Subdivision,Election Date,Elec Name,Total Prov Ballots,Total Prov Counted, Pct number ,Reg Voters,Race Name,Candidate Name,Party Code,early votes,Election Day Voting Votes
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Bill Weld,,2,2
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Matthew John Matern,,0,0
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,"Roque ""Rocky"" De La Fuente Guerra",,3,0
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Joe Walsh,,1,1
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Zoltan G. Istvan,,0,0
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Bob Ely,,1,1
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Donald J. Trump,,129,89
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,President,Uncommitted,,9,5
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,United States Senator,John Anthony Castro,,20,8
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,United States Senator,Virgil Bierschwale,,3,3
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,United States Senator,John Cornyn,,91,53
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,United States Senator,Dwayne Stovall,,7,14
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,United States Senator,Mark Yancey,,8,6
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,"United States Representative,
District No. 11",Wesley W. Virdell,,9,4
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,"United States Representative,
District No. 11",Ned Luscombe,,1,2
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,"United States Representative,
District No. 11",August Pfluger,,80,38
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,"United States Representative,
District No. 11",J. Ross Lacy,,16,17
Martin County,3/3/2020,2020 Rep Primary,0,0,1,252,"United States Representative,
District No. 11",Robert Tucker,,7,6
