political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_votes,race_name,candidate_name,party code,early_votes,election_votes
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Donald J. Trump,REP,46,27
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Matthew John Matern,REP,0,1
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Bob Ely,REP,0,0
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Joe Walsh,REP,0,0
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Zoltan G. Istvan,REP,1,0
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Bill Weld,REP,0,0
Refugio County,3/3/2020,Primary Election,1,1,1,457,President,Uncommitted,REP,8,4
Refugio County,3/3/2020,Primary Election,1,1,1,457,United States Senator,John Cornyn,REP,38,22
Refugio County,3/3/2020,Primary Election,1,1,1,457,United States Senator,John Anthony Castro,REP,5,4
Refugio County,3/3/2020,Primary Election,1,1,1,457,United States Senator,Virgil Bierschwale,REP,0,1
Refugio County,3/3/2020,Primary Election,1,1,1,457,United States Senator,Mark Yancey,REP,3,2
Refugio County,3/3/2020,Primary Election,1,1,1,457,United States Senator,Dwayne Stovall,REP,2,1
Refugio County,3/3/2020,Primary Election,1,1,1,457,"United States Representative,
District No. 27",Michael Cloud,REP,45,27
Refugio County,3/3/2020,Primary Election,1,1,1,457,Railroad Commissioner,"James ""Jim"" Wright",REP,35,21
Refugio County,3/3/2020,Primary Election,1,1,1,457,Railroad Commissioner,Ryan Sitton,REP,10,6
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Chief Justice, Supreme Court",Nathan Hecht,REP,40,22
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Justice, Supreme Court, Place 6 - Unexpired Term",Jane Bland,REP,40,21
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,36,21
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Justice, Supreme Court, Place 8",Brett Busby,REP,36,21
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,REP,21,17
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,REP,19,9
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,REP,37,20
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Judge, Court of Criminal Appeals, Place 9",David Newell,REP,38,20
Refugio County,3/3/2020,Primary Election,1,1,1,457,"State Senator, District 18",Lois W. Kolkhorst,REP,40,21
Refugio County,3/3/2020,Primary Election,1,1,1,457,"State Representative, District 30",Vanessa Hicks-Callaway,REP,10,15
Refugio County,3/3/2020,Primary Election,1,1,1,457,"State Representative, District 30",Geanie W. Morrison,REP,37,12
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Justice, 13th Court of Appeals District, Place 4 - Unexpired Term",Jaime Tijerina,REP,37,23
Refugio County,3/3/2020,Primary Election,1,1,1,457,"Justice, 13th Court of Appeals District, Place 6",Clarissa Silva,REP,36,21
Refugio County,3/3/2020,Primary Election,1,1,1,457,"District Judge, 24th Judicial District",Jack W. Marr,REP,38,24
Refugio County,3/3/2020,Primary Election,1,1,1,457,"District Judge, 135th Judicial District",Kemper Stephen Williams,REP,42,22
Refugio County,3/3/2020,Primary Election,1,1,1,457,"District Attorney, 24th Judicial District","Robert C. ""Rob"" Lassmann",REP,45,23
Refugio County,3/3/2020,Primary Election,1,1,1,457,County Attorney,"Deborah ""Deb"" Bauer",REP,51,26
Refugio County,3/3/2020,Primary Election,1,1,1,457,Sheriff,"Raul ""Pinky"" Gonzales",REP,48,30
Refugio County,3/3/2020,Primary Election,1,1,1,457,Sheriff,Sheldon Wiginton,REP,13,7
Refugio County,3/3/2020,Primary Election,1,1,1,457,"County Commissioner, Precinct 1",John Snyder,REP,5,5
Refugio County,3/3/2020,Primary Election,1,1,1,457,"County Commissioner, Precinct 1",Roy Payne,REP,22,15
Refugio County,3/3/2020,Primary Election,1,1,1,457,"County Commissioner, Precinct 1",Louise Aduddell,REP,29,16
Refugio County,3/3/2020,Primary Election,1,1,1,457,Constable No. 1,Mark Winston Moore,REP,41,26
Refugio County,3/3/2020,Primary Election,1,1,1,457,Constable No. 1,Shawn Zak,REP,21,6
Refugio County,3/3/2020,Primary Election,1,1,1,457,County Chairman,Jeff Steele,REP,46,27
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 1,Yes,REP,44,29
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 1,No,REP,9,6
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 2,Yes,REP,40,27
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 2,No,REP,11,7
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 3,Yes,REP,45,31
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 3,No,REP,2,2
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 4,Yes,REP,42,22
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 4,No,REP,6,10
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 5,Yes,REP,38,29
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 5,No,REP,9,5
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 6,Yes,REP,45,29
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 6,No,REP,1,3
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 7,Yes,REP,49,30
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 7,No,REP,1,0
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 8,Yes,REP,48,29
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 8,No,REP,1,1
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 9,Yes,REP,47,29
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 9,No,REP,3,1
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 10,Yes,REP,44,25
Refugio County,3/3/2020,Primary Election,1,1,1,457,Proposition 10,No,REP,5,5
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Donald J. Trump,REP,40,49
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Matthew John Matern,REP,2,2
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Bob Ely,REP,0,0
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Joe Walsh,REP,0,1
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Zoltan G. Istvan,REP,0,0
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Bill Weld,REP,0,1
Refugio County,3/3/2020,Primary Election,0,0,1A,575,President,Uncommitted,REP,7,5
Refugio County,3/3/2020,Primary Election,0,0,1A,575,United States Senator,John Cornyn,REP,27,38
Refugio County,3/3/2020,Primary Election,0,0,1A,575,United States Senator,John Anthony Castro,REP,6,8
Refugio County,3/3/2020,Primary Election,0,0,1A,575,United States Senator,Virgil Bierschwale,REP,4,0
Refugio County,3/3/2020,Primary Election,0,0,1A,575,United States Senator,Mark Yancey,REP,4,0
Refugio County,3/3/2020,Primary Election,0,0,1A,575,United States Senator,Dwayne Stovall,REP,2,6
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"United States Representative,
District No. 27",Michael Cloud,REP,45,49
Refugio County,3/3/2020,Primary Election,0,0,1A,575,Railroad Commissioner,"James ""Jim"" Wright",REP,32,41
Refugio County,3/3/2020,Primary Election,0,0,1A,575,Railroad Commissioner,Ryan Sitton,REP,12,10
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Chief Justice, Supreme Court",Nathan Hecht,REP,40,50
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Justice, Supreme Court, Place 6 - Unexpired Term",Jane Bland,REP,40,49
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,39,48
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Justice, Supreme Court, Place 8",Brett Busby,REP,39,46
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,REP,25,31
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,REP,19,18
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,REP,38,46
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"Judge, Court of Criminal Appeals, Place 9",David Newell,REP,40,46
Refugio County,3/3/2020,Primary Election,0,0,1A,575,"State Senator, District 18",Lois W. Kolkhorst,REP,38,47
