0012004000800000000008000000 REP       REP US Representative, Dist 13                          Catherine "I Swear" Carr                                       01 
0012005000800000000008000000 REP       REP US Representative, Dist 13                          Mark Neese                                                     01 
0012006000800000030008000000 REP       REP US Representative, Dist 13                          Vance Snider II                                                01 
0012007000800000070008000000 REP       REP US Representative, Dist 13                          Elaine Hays                                                    01 
0012008000800000000008000000 REP       REP US Representative, Dist 13                          Lee Harvey                                                     01 
0012009000800000000008000000 REP       REP US Representative, Dist 13                          Monique Worthy                                                 01 
0012010000800000700008000000 REP       REP US Representative, Dist 13                          Josh Winegarner                                                01 
0012011000800000000008000000 REP       REP US Representative, Dist 13                          Diane Knowlton                                                 01 
0012012000800000000008000000 REP       REP US Representative, Dist 13                          Asusena Resendiz                                               01 
0012013000800000010008000000 REP       REP US Representative, Dist 13                          Matt McArthur                                                  01 
0012014000800000010008000000 REP       REP US Representative, Dist 13                          Jamie Culley                                                   01 
0012015000800000020008000000 REP       REP US Representative, Dist 13                          Richard Herman                                                 01 
0013001000800000550008000000 REP       REP Railroad Commissioner                               James "Jim" Wright                                             01 
0013002000800000260008000000 REP       REP Railroad Commissioner                               Ryan Sitton                                                    01 
0014001000800000800008000000 REP       REP Chief Justice, Supreme Court                        Nathan Hecht                                                   01 
0015001000800000800008000000 REP       REP Justice, Supreme Court, Pl 6                        Jane Bland                                                     01 
0016001000800000790008000000 REP       REP Justice, Supreme Court, Pl 7                        Jeff Boyd                                                      01 
0017001000800000770008000000 REP       REP Justice, Supreme Court, Pl 8                        Brett Busby                                                    01 
0018001000800000400008000000 REP       REP Judge, Ct of Crim App, Pl 3                         Gina Parker                                                    01 
0018002000800000400008000000 REP       REP Judge, Ct of Crim App, Pl 3                         Bert Richardson                                                01 
0019001000800000780008000000 REP       REP Judge, Ct of Crim App, Pl 4                         Kevin Patrick Yeary                                            01 
0020001000800000790008000000 REP       REP Judge, Ct of Crim App, Pl 9                         David Newell                                                   01 
0021001000800000750008000000 REP       REP Member, State BoE, Dist 15                          Jay Johnson                                                    01 
0022001000800001080008000000 REP       REP State Representative, Dist 87                       Four Price                                                     01 
0023001000800000790008000000 REP       REP Chief Justice, 7th Ct of App Dist                   Brian Quinn                                                    01 
0024001000800000330008000000 REP       REP Justice, 7th Ct of App Dist, Pl 4                   Steven Denny                                                   01 
0024002000800000520008000000 REP       REP Justice, 7th Ct of App Dist, Pl 4                   Larry Doss                                                     01 
0025001000800000960008000000 REP       REP Dist Judge, 100th Judicial Dist                     Stuart Messer                                                  01 
0026001000800000840008000000 REP       REP Dist Attorney, 100th Judicial Dist                  Luke McLean Inman                                              01 
0026002000800000250008000000 REP       REP Dist Attorney, 100th Judicial Dist                  Bryan David Denham                                             01 
0027001000800001000008000000 REP       REP County Attorney                                     Scott Sherwood                                                 01 
0028001000800000850008000000 REP       REP Sheriff                                             Tam Terry                                                      01 
0029001000800000920008000000 REP       REP County Tax Assessor-Collector                       Jackie Moore                                                   01 
0030001000300000130003000000 REPCOM001 REP County Commissioner Pct 1                           Mike Britten                          Precinct 1               01 
