political_subdivision,election_date,election_name,total provisional ballots,total prov. Ballots counted,precinct_number,reg_voters,NON Ballots Cast,race_name,candidate_name,party code,early-votes,election_votes
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Michael Bennet,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Joseph R. Biden,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Robby Wells,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Michael R. Bloomberg,,2,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Julián Castro,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Elizabeth Warren,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Bernie Sanders,,2,2
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Andrew Yang,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Amy Klobuchar,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Tom Steyer,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,"Roque ""Rocky"" De La Fuente",,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Pete Buttigieg,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,John K. Delaney,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Deval Patrick,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Marianne Williamson,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Cory Booker,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,President,Tulsi Gabbard,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Jack Daniel Foster Jr,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,"Mary ""MJ"" Hegar",,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Royce West,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Adrian Ocegueda,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Michael Cooper,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Chris Bell,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,D.R. Hunter,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Sema Hernandez,,2,1
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Victor Hugo Harris,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Amanda K. Edwards,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,"Annie ""Mamá"" Garcia",,2,1
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,United States Senator,Cristina Tzintzun Ramirez,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"United States Representative,
District No. 23",Ricardo R. Madrid,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"United States Representative,
District No. 23","Rosalinda ""Rosey"" Ramos Abuabara",,1,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"United States Representative,
District No. 23",Gina Ortiz Jones,,1,2
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"United States Representative,
District No. 23",Efrain V Valdez,,2,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"United States Representative,
District No. 23",Jaime Escuder,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,Railroad Commissioner,Chrysta Castañeda,,2,1
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,Railroad Commissioner,Mark Watson,,0,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,Railroad Commissioner,Kelly Stone,,1,0
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,1,1
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"Chief Justice, Supreme Court",Amy Clark Meachum,,4,1
REGAN COUNTY,3/2/2020,PRIMARY,,,1,0,0,"Chief Justice, Supreme Court",Jerry Zimmerer,,0,1
