COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,"REP US Representative, Dist 28","REP US Representative, Dist 28","REP US Representative, Dist 28",REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Chief Justice, Supreme Court","REP Chief Justice, Supreme Court","REP Chief Justice, Supreme Court","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 8","REP Justice, Supreme Court, Pl 8","REP Justice, Supreme Court, Pl 8","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 9","REP Judge, Ct of Crim App, Pl 9","REP Judge, Ct of Crim App, Pl 9","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 21","REP State Senator, Dist 21","REP State Senator, Dist 21","REP State Representative, Dist 31","REP State Representative, Dist 31","REP State Representative, Dist 31","REP Chief Justice, 4th Ct of App Dist","REP Chief Justice, 4th Ct of App Dist","REP Chief Justice, 4th Ct of App Dist","REP Dist Attorney, 81st Judicial Dist","REP Dist Attorney, 81st Judicial Dist","REP Dist Attorney, 81st Judicial Dist",REP County Attorney,REP County Attorney,REP County Attorney,REP Sheriff,REP Sheriff,REP Sheriff,REP Sheriff,REP County Tax Assessor-Collector,REP County Tax Assessor-Collector,REP County Tax Assessor-Collector,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP County Chair,REP County Chair,REP County Chair,REP County Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,REP Proposition 10,REP Proposition 10,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,"DEM US Representative, Dist 28","DEM US Representative, Dist 28","DEM US Representative, Dist 28","DEM US Representative, Dist 28",DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 9","DEM Judge, Ct of Crim App, Pl 9","DEM Judge, Ct of Crim App, Pl 9","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 21","DEM State Senator, Dist 21","DEM State Senator, Dist 21","DEM State Representative, Dist 31","DEM State Representative, Dist 31","DEM State Representative, Dist 31","DEM Chief Justice, 4th Ct of App Dist","DEM Chief Justice, 4th Ct of App Dist","DEM Chief Justice, 4th Ct of App Dist",DEM Sheriff,DEM Sheriff,DEM Sheriff,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM Constable,DEM Constable,DEM Constable,DEM Constable,DEM County Chair,DEM County Chair,DEM County Chair,DEM Proposition #1,DEM Proposition #1,DEM Proposition #1,DEM Proposition #1,DEM Proposition #2,DEM Proposition #2,DEM Proposition #2,DEM Proposition #2,DEM Proposition #3,DEM Proposition #3,DEM Proposition #3,DEM Proposition #3,DEM Proposition #4,DEM Proposition #4,DEM Proposition #4,DEM Proposition #4,DEM Proposition #5,DEM Proposition #5,DEM Proposition #5,DEM Proposition #5,DEM Proposition #6,DEM Proposition #6,DEM Proposition #6,DEM Proposition #6,DEM Proposition #7,DEM Proposition #7,DEM Proposition #7,DEM Proposition #7,DEM Proposition #8,DEM Proposition #8,DEM Proposition #8,DEM Proposition #8,DEM Proposition #9,DEM Proposition #9,DEM Proposition #9,DEM Proposition #9,DEM Proposition #10,DEM Proposition #10,DEM Proposition #10,DEM Proposition #10,DEM Proposition #11,DEM Proposition #11,DEM Proposition #11,DEM Proposition #11
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Zoltan G. Istvan,Donald J. Trump,Roque Rocky DeLa Fuente Guerra,Matthew John Matern,Joe Walsh,Bill Weld,Bob Ely,Uncommitted,OVER VOTES,UNDER VOTES,Mark Yancey,Dwayne Stovall,John Cornyn,John Anthony Castro,Virgil Bierschwale,OVER VOTES,UNDER VOTES,Sandra Whitten,OVER VOTES,UNDER VOTES,"James ""Jim"" Wright",Ryan Sitton,OVER VOTES,UNDER VOTES,Nathan Hecht,OVER VOTES,UNDER VOTES,Jane Bland,OVER VOTES,UNDER VOTES,Jeff Boyd,OVER VOTES,UNDER VOTES,Brett Busby,OVER VOTES,UNDER VOTES,Gina Parker,Bert Richardson,OVER VOTES,UNDER VOTES,Kevin Patrick Yeary,OVER VOTES,UNDER VOTES,David Newell,OVER VOTES,UNDER VOTES,Jennifer Ivey,OVER VOTES,UNDER VOTES,"Peter P. ""Pete"" Flores",OVER VOTES,UNDER VOTES,Frank Pomeroy,OVER VOTES,UNDER VOTES,Marian Knowlton,OVER VOTES,UNDER VOTES,Renee Yanta,OVER VOTES,UNDER VOTES,Audrey Gossett Louis,OVER VOTES,UNDER VOTES,Lucinda A. Vickers,OVER VOTES,UNDER VOTES,David Soward,Tina Egelston,OVER VOTES,UNDER VOTES,Loretta Holley,OVER VOTES,UNDER VOTES,Mark Gillespie,OVER VOTES,UNDER VOTES,Joe Paez,"Miguel ""Mike"" Mares Jr",John Rothenbach,OVER VOTES,UNDER VOTES,"Edward ""Ed"" Richter",OVER VOTES,UNDER VOTES,Cregg M. Thompson,OVER VOTES,UNDER VOTES,"William ""Bill"" Meadows",Rex Newman Jr,David Douglas,OVER VOTES,UNDER VOTES,Wayne S. Vaughn,David Emery,OVER VOTES,UNDER VOTES,Larry Bartek,Danelle Pascarella,OVER VOTES,UNDER VOTES,Chris Brauchle,Catherine Vaughn,OVER VOTES,UNDER VOTES,Pamela Fintel,D.R. Powell,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,"Roque ""Rocky"" De La Fuente",Marianne Williamson,Michael R. Bloomberg,Pete Buttigieg,Bernie Sanders,Andrew Yang,Cory Booker,Robby Wells,Julian Castro,Deval Patrick,Tulsi Gabbard,Elizabeth Warren,John K. Delaney,Tom Steyer,Michael Bennet,Amy Klobuchar,Joseph R. Biden,OVER VOTES,UNDER VOTES,Mary (MJ) Hegar,Victor Hugo Harris,Amanda K. Edwards,D. R. Hunter,Adrian Ocegueda,Chris Bell,"Jack Daniel Foster, Jr.",Sema Hernandez,Cristina Tzintzun Ramirez,Michael Cooper,Royce West,"Annie ""Mama"" Garcia",OVER VOTES,UNDER VOTES,Jessica Cisneros,Henry Cuellar,OVER VOTES,UNDER VOTES,"Roberto R. ""Beto"" Alonzo",Mark Watson,Kelly Stone,Chrysta Castaneda,OVER VOTES,UNDER VOTES,Amy Clark Meachum,Jerry Zimmerer,OVER VOTES,UNDER VOTES,Larry Praeger,Kathy Cheng,OVER VOTES,UNDER VOTES,Brandy Voss,Staci Williams,OVER VOTES,UNDER VOTES,Peter Kelly,Gisela D. Triana,OVER VOTES,UNDER VOTES,Elizabeth Davis Frizell,Dan Wood,William Pieratt Demond,OVER VOTES,UNDER VOTES,Tina Clinton,Steven Miears,OVER VOTES,UNDER VOTES,Brandon Birmingham,OVER VOTES,UNDER VOTES,Georgina Perez,OVER VOTES,UNDER VOTES,Roland Gutierrez,Freddy Ramirez,Xochil Pena Rodriguez,OVER VOTES,UNDER VOTES,Judith Zaffirini,OVER VOTES,UNDER VOTES,Ryan Guillen,OVER VOTES,UNDER VOTES,Rebeca Martinez,OVER VOTES,UNDER VOTES,Rick Luna,OVER VOTES,UNDER VOTES,David Caballero,OVER VOTES,UNDER VOTES,Eliseo Perez,OVER VOTES,UNDER VOTES,"Armando ""Mando"" Vidales",Albert Estrada Trevino,OVER VOTES,UNDER VOTES,Julie E. Hilberg,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES,Yes,No,OVER VOTES,UNDER VOTES
ATASC,1,VB #1,0,0,0,0,109,80,29,0,0,0,77,0,0,0,1,0,1,0,1,9,5,56,8,1,0,1,77,0,3,55,24,0,1,79,0,1,77,0,3,79,0,1,79,0,1,42,37,0,1,79,0,1,79,0,1,78,0,2,79,0,1,0,0,0,79,0,1,78,0,2,80,0,0,79,0,1,63,17,0,0,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,27,0,0,48,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,13,0,0,67,13,0,0,77,3,0,0,76,3,0,1,70,9,0,1,71,9,0,0,77,2,0,1,77,3,0,0,75,5,0,0,73,6,0,1,0,0,4,0,9,0,0,0,1,0,0,1,0,0,0,0,14,0,0,2,0,3,1,0,1,0,5,9,1,2,4,0,1,11,18,0,0,13,4,2,9,0,1,15,13,0,1,11,17,0,1,6,22,0,1,10,18,0,1,17,10,1,0,1,23,5,0,1,28,0,1,28,0,1,9,5,14,0,1,0,0,0,29,0,0,28,0,1,26,0,3,0,0,0,0,0,0,0,0,0,0,28,0,1,28,0,0,1,29,0,0,0,28,1,0,0,29,0,0,0,29,0,0,0,29,0,0,0,29,0,0,0,29,0,0,0,28,1,0,0,26,2,0,1,25,3,0,1
ATASC,1,VB #1,0,0,0,0,129,107,22,0,0,0,102,0,0,0,0,0,5,0,0,10,4,87,4,1,0,1,100,0,7,78,28,0,1,104,0,3,104,0,3,106,0,1,105,0,2,52,53,0,2,104,0,3,105,0,2,104,0,3,103,0,4,0,0,0,105,0,2,104,0,3,104,0,3,103,0,4,88,19,0,0,105,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,42,10,0,2,54,51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,82,24,0,1,87,20,0,0,100,6,0,1,100,7,0,0,97,9,0,1,98,9,0,0,107,0,0,0,106,1,0,0,100,7,0,0,96,10,0,1,0,0,5,0,3,0,0,0,1,0,0,1,0,3,0,1,8,0,0,5,3,3,0,0,1,0,1,5,0,1,3,0,0,10,12,0,0,12,4,2,3,0,1,19,2,0,1,12,9,0,1,11,10,0,1,7,14,0,1,17,3,1,0,1,16,5,0,1,20,0,2,20,0,2,13,1,8,0,0,0,0,0,21,0,1,20,0,2,21,0,1,0,0,0,0,0,0,0,0,0,0,20,0,2,19,3,0,0,20,2,0,0,21,1,0,0,21,1,0,0,21,1,0,0,21,1,0,0,20,2,0,0,21,1,0,0,21,1,0,0,19,3,0,0,19,3,0,0
ATASC,1,VB #1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,1,VB #1,0,0,0,0,8,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,0,5,0,0,1,0,0,3,3,0,0,4,2,0,0,3,3,0,0,4,2,0,0,4,2,0,0,0,4,2,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0
ATASC,1,VB #1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,2,VB #2,0,0,0,0,119,69,50,0,0,0,68,0,0,0,0,0,1,0,0,7,8,48,6,0,0,0,68,0,1,48,18,0,3,66,0,3,65,0,4,64,0,5,63,0,6,43,24,0,2,64,0,5,65,0,4,62,0,7,65,0,4,0,0,0,65,0,4,65,0,4,63,0,6,65,0,4,51,17,0,1,67,0,2,0,0,0,0,0,0,0,0,64,0,5,0,0,0,0,0,0,0,0,41,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64,5,0,0,63,5,0,1,68,1,0,0,67,1,0,1,61,8,0,0,64,5,0,0,67,2,0,0,68,1,0,0,65,4,0,0,64,4,0,1,0,0,1,0,17,1,0,0,0,0,0,5,0,0,0,0,26,0,0,11,2,4,1,0,1,0,8,12,1,1,7,0,2,31,18,0,1,21,2,12,11,0,4,35,12,0,3,8,38,0,4,16,30,0,4,13,33,0,4,34,8,4,0,4,34,12,0,4,44,0,6,44,0,6,20,7,20,0,3,0,0,0,44,0,6,46,0,4,46,0,4,0,0,0,0,0,0,0,0,0,0,45,0,5,47,3,0,0,49,1,0,0,50,0,0,0,49,1,0,0,49,0,0,1,49,0,0,1,46,4,0,0,44,4,0,2,48,1,0,1,49,0,0,1,42,6,0,2
ATASC,2,VB #2,0,0,0,0,51,36,15,0,0,0,34,0,0,1,0,0,1,0,0,2,2,26,3,2,0,1,33,0,3,20,14,0,2,34,0,2,35,0,1,33,0,3,33,0,3,13,22,0,1,33,0,3,34,0,2,31,0,5,34,0,2,0,0,0,32,0,4,33,0,3,35,0,1,33,0,3,29,7,0,0,36,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,21,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,1,33,2,0,1,32,3,0,1,34,1,0,1,33,1,0,2,30,3,0,3,35,0,0,1,35,0,0,1,32,3,0,1,35,0,0,1,0,0,6,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,3,0,0,0,0,1,4,1,0,2,0,1,5,10,0,0,4,3,1,6,0,1,11,3,0,1,4,10,0,1,5,9,0,1,4,10,0,1,12,1,1,0,1,11,3,0,1,13,0,2,13,0,2,7,0,7,0,1,0,0,0,14,0,1,13,0,2,13,0,2,0,0,0,0,0,0,0,0,0,0,13,0,2,13,2,0,0,12,3,0,0,13,2,0,0,13,2,0,0,13,2,0,0,12,3,0,0,14,1,0,0,12,3,0,0,13,2,0,0,13,2,0,0,13,2,0,0
ATASC,2,VB #2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
